vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Adult_Slinky,1,1,1,grey_onset,540
AL38_Adult_Slinky,1,1,1,still_onset,630
AL38_Adult_Slinky,1,1,1,event_onset,720
AL38_Adult_Slinky,1,1,1,boundary,778
AL38_Adult_Slinky,1,1,1,trial_offset,989
SF28_Infant_OballStacker,2,1,2,grey_onset,1090
SF28_Infant_OballStacker,2,1,2,still_onset,1180
SF28_Infant_OballStacker,2,1,2,event_onset,1270
SF28_Infant_OballStacker,2,1,2,boundary,1558
SF28_Infant_OballStacker,2,1,2,trial_offset,1630
HH09_Infant_TwistyGlasses,3,1,3,grey_onset,1730
HH09_Infant_TwistyGlasses,3,1,3,still_onset,1820
HH09_Infant_TwistyGlasses,3,1,3,event_onset,1910
HH09_Infant_TwistyGlasses,3,1,3,boundary,2028
HH09_Infant_TwistyGlasses,3,1,3,trial_offset,2090
CN14_Adult_StickyBall,4,1,4,grey_onset,2190
CN14_Adult_StickyBall,4,1,4,still_onset,2280
CN14_Adult_StickyBall,4,1,4,event_onset,2370
CN14_Adult_StickyBall,4,1,4,boundary,2458
CN14_Adult_StickyBall,4,1,4,trial_offset,2580
OH29_Adult_MassageRoller,5,1,5,grey_onset,2682
OH29_Adult_MassageRoller,5,1,5,still_onset,2772
OH29_Adult_MassageRoller,5,1,5,event_onset,2862
OH29_Adult_MassageRoller,5,1,5,boundary,2976
OH29_Adult_MassageRoller,5,1,5,trial_offset,3162
SA03_Infant_GreenTube,6,1,6,grey_onset,3263
SA03_Infant_GreenTube,6,1,6,still_onset,3353
SA03_Infant_GreenTube,6,1,6,event_onset,3443
SA03_Infant_GreenTube,6,1,6,boundary,3565.0000001
SA03_Infant_GreenTube,6,1,6,trial_offset,3713
SF28_Infant_OballStacker,7,2,1,grey_onset,4054
SF28_Infant_OballStacker,7,2,1,still_onset,4144
SF28_Infant_OballStacker,7,2,1,event_onset,4234
SF28_Infant_OballStacker,7,2,1,boundary,4522
SF28_Infant_OballStacker,7,2,1,trial_offset,4594
AL38_Adult_Slinky,8,2,2,grey_onset,4694
AL38_Adult_Slinky,8,2,2,still_onset,4784
AL38_Adult_Slinky,8,2,2,event_onset,4874
AL38_Adult_Slinky,8,2,2,boundary,4932
AL38_Adult_Slinky,8,2,2,trial_offset,5143
CN14_Adult_StickyBall,9,2,3,grey_onset,5244
CN14_Adult_StickyBall,9,2,3,still_onset,5334
CN14_Adult_StickyBall,9,2,3,event_onset,5424
CN14_Adult_StickyBall,9,2,3,boundary,5512
CN14_Adult_StickyBall,9,2,3,trial_offset,5634
HH09_Infant_TwistyGlasses,10,2,4,grey_onset,5734
HH09_Infant_TwistyGlasses,10,2,4,still_onset,5824
HH09_Infant_TwistyGlasses,10,2,4,event_onset,5914
HH09_Infant_TwistyGlasses,10,2,4,boundary,6032
HH09_Infant_TwistyGlasses,10,2,4,trial_offset,6094
SA03_Infant_GreenTube,11,2,5,grey_onset,6195
SA03_Infant_GreenTube,11,2,5,still_onset,6285
SA03_Infant_GreenTube,11,2,5,event_onset,6375
SA03_Infant_GreenTube,11,2,5,boundary,6497.0000001
SA03_Infant_GreenTube,11,2,5,trial_offset,6645
OH29_Adult_MassageRoller,12,2,6,grey_onset,6746
OH29_Adult_MassageRoller,12,2,6,still_onset,6836
OH29_Adult_MassageRoller,12,2,6,event_onset,6926
OH29_Adult_MassageRoller,12,2,6,boundary,7040
OH29_Adult_MassageRoller,12,2,6,trial_offset,7226
AL38_Adult_Slinky,13,3,1,grey_onset,7565
AL38_Adult_Slinky,13,3,1,still_onset,7655
AL38_Adult_Slinky,13,3,1,event_onset,7745
AL38_Adult_Slinky,13,3,1,boundary,7803
AL38_Adult_Slinky,13,3,1,trial_offset,8014
SF28_Infant_OballStacker,14,3,2,grey_onset,8116
SF28_Infant_OballStacker,14,3,2,still_onset,8206
SF28_Infant_OballStacker,14,3,2,event_onset,8296
SF28_Infant_OballStacker,14,3,2,boundary,8584
SF28_Infant_OballStacker,14,3,2,trial_offset,8656
HH09_Infant_TwistyGlasses,15,3,3,grey_onset,8756
HH09_Infant_TwistyGlasses,15,3,3,still_onset,8846
HH09_Infant_TwistyGlasses,15,3,3,event_onset,8936
HH09_Infant_TwistyGlasses,15,3,3,boundary,9054
HH09_Infant_TwistyGlasses,15,3,3,trial_offset,9116
CN14_Adult_StickyBall,16,3,4,grey_onset,9216
CN14_Adult_StickyBall,16,3,4,still_onset,9306
CN14_Adult_StickyBall,16,3,4,event_onset,9396
CN14_Adult_StickyBall,16,3,4,boundary,9484
CN14_Adult_StickyBall,16,3,4,trial_offset,9606
OH29_Adult_MassageRoller,17,3,5,grey_onset,9707
OH29_Adult_MassageRoller,17,3,5,still_onset,9797
OH29_Adult_MassageRoller,17,3,5,event_onset,9887
OH29_Adult_MassageRoller,17,3,5,boundary,10001
OH29_Adult_MassageRoller,17,3,5,trial_offset,10187
SA03_Infant_GreenTube,18,3,6,grey_onset,10288
SA03_Infant_GreenTube,18,3,6,still_onset,10378
SA03_Infant_GreenTube,18,3,6,event_onset,10468
SA03_Infant_GreenTube,18,3,6,boundary,10590.0000001
SA03_Infant_GreenTube,18,3,6,trial_offset,10738
SF28_Infant_OballStacker,19,4,1,grey_onset,11081
SF28_Infant_OballStacker,19,4,1,still_onset,11171
SF28_Infant_OballStacker,19,4,1,event_onset,11261
SF28_Infant_OballStacker,19,4,1,boundary,11549
SF28_Infant_OballStacker,19,4,1,trial_offset,11621
AL38_Adult_Slinky,20,4,2,grey_onset,11721
AL38_Adult_Slinky,20,4,2,still_onset,11811
AL38_Adult_Slinky,20,4,2,event_onset,11901
AL38_Adult_Slinky,20,4,2,boundary,11959
AL38_Adult_Slinky,20,4,2,trial_offset,12170
CN14_Adult_StickyBall,21,4,3,grey_onset,12270
CN14_Adult_StickyBall,21,4,3,still_onset,12360
CN14_Adult_StickyBall,21,4,3,event_onset,12450
CN14_Adult_StickyBall,21,4,3,boundary,12538
CN14_Adult_StickyBall,21,4,3,trial_offset,12660
HH09_Infant_TwistyGlasses,22,4,4,grey_onset,12759
HH09_Infant_TwistyGlasses,22,4,4,still_onset,12849
HH09_Infant_TwistyGlasses,22,4,4,event_onset,12939
HH09_Infant_TwistyGlasses,22,4,4,boundary,13057
HH09_Infant_TwistyGlasses,22,4,4,trial_offset,13119
SA03_Infant_GreenTube,23,4,5,grey_onset,13220
SA03_Infant_GreenTube,23,4,5,still_onset,13310
SA03_Infant_GreenTube,23,4,5,event_onset,13400
SA03_Infant_GreenTube,23,4,5,boundary,13522.0000001
SA03_Infant_GreenTube,23,4,5,trial_offset,13670
OH29_Adult_MassageRoller,24,4,6,grey_onset,13772
OH29_Adult_MassageRoller,24,4,6,still_onset,13862
OH29_Adult_MassageRoller,24,4,6,event_onset,13952
OH29_Adult_MassageRoller,24,4,6,boundary,14066
OH29_Adult_MassageRoller,24,4,6,trial_offset,14252
AL38_Adult_Slinky,25,5,1,grey_onset,14593
AL38_Adult_Slinky,25,5,1,still_onset,14683
AL38_Adult_Slinky,25,5,1,event_onset,14773
AL38_Adult_Slinky,25,5,1,boundary,14831
AL38_Adult_Slinky,25,5,1,trial_offset,15042
SF28_Infant_OballStacker,26,5,2,grey_onset,15144
SF28_Infant_OballStacker,26,5,2,still_onset,15234
SF28_Infant_OballStacker,26,5,2,event_onset,15324
SF28_Infant_OballStacker,26,5,2,boundary,15612
SF28_Infant_OballStacker,26,5,2,trial_offset,15684
HH09_Infant_TwistyGlasses,27,5,3,grey_onset,15783
HH09_Infant_TwistyGlasses,27,5,3,still_onset,15873
HH09_Infant_TwistyGlasses,27,5,3,event_onset,15963
HH09_Infant_TwistyGlasses,27,5,3,boundary,16081
HH09_Infant_TwistyGlasses,27,5,3,trial_offset,16143
CN14_Adult_StickyBall,28,5,4,grey_onset,16242
