vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Adult_GreenTube,1,1,1,grey_onset,954
SA03_Adult_GreenTube,1,1,1,still_onset,1044
SA03_Adult_GreenTube,1,1,1,event_onset,1134
SA03_Adult_GreenTube,1,1,1,boundary,1308
SA03_Adult_GreenTube,1,1,1,trial_offset,1404
AL38_Infant_Slinky,2,1,2,grey_onset,1505
AL38_Infant_Slinky,2,1,2,still_onset,1595
AL38_Infant_Slinky,2,1,2,event_onset,1685
AL38_Infant_Slinky,2,1,2,boundary,1745
AL38_Infant_Slinky,2,1,2,trial_offset,1954
CN14_Infant_StickyBall,3,1,3,grey_onset,2053
CN14_Infant_StickyBall,3,1,3,still_onset,2143
CN14_Infant_StickyBall,3,1,3,event_onset,2233
CN14_Infant_StickyBall,3,1,3,boundary,2322
CN14_Infant_StickyBall,3,1,3,trial_offset,2443
SF28_Adult_OballStacker,4,1,4,grey_onset,2544
SF28_Adult_OballStacker,4,1,4,still_onset,2634
SF28_Adult_OballStacker,4,1,4,event_onset,2724
SF28_Adult_OballStacker,4,1,4,boundary,3017.0000001
SF28_Adult_OballStacker,4,1,4,trial_offset,3084
HH09_Adult_TwistyGlasses,5,1,5,grey_onset,3184
HH09_Adult_TwistyGlasses,5,1,5,still_onset,3274
HH09_Adult_TwistyGlasses,5,1,5,event_onset,3364
HH09_Adult_TwistyGlasses,5,1,5,boundary,3472
HH09_Adult_TwistyGlasses,5,1,5,trial_offset,3544
OH29_Infant_MassageRoller,6,1,6,grey_onset,3644
OH29_Infant_MassageRoller,6,1,6,still_onset,3734
OH29_Infant_MassageRoller,6,1,6,event_onset,3824
OH29_Infant_MassageRoller,6,1,6,boundary,3942
OH29_Infant_MassageRoller,6,1,6,trial_offset,4124
AL38_Infant_Slinky,7,2,1,grey_onset,4465
AL38_Infant_Slinky,7,2,1,still_onset,4555
AL38_Infant_Slinky,7,2,1,event_onset,4645
AL38_Infant_Slinky,7,2,1,boundary,4705
AL38_Infant_Slinky,7,2,1,trial_offset,4914
SA03_Adult_GreenTube,8,2,2,grey_onset,5014
SA03_Adult_GreenTube,8,2,2,still_onset,5104
SA03_Adult_GreenTube,8,2,2,event_onset,5194
SA03_Adult_GreenTube,8,2,2,boundary,5368
SA03_Adult_GreenTube,8,2,2,trial_offset,5464
SF28_Adult_OballStacker,9,2,3,grey_onset,5563
SF28_Adult_OballStacker,9,2,3,still_onset,5653
SF28_Adult_OballStacker,9,2,3,event_onset,5743
SF28_Adult_OballStacker,9,2,3,boundary,6036.0000001
SF28_Adult_OballStacker,9,2,3,trial_offset,6103
CN14_Infant_StickyBall,10,2,4,grey_onset,6202
CN14_Infant_StickyBall,10,2,4,still_onset,6292
CN14_Infant_StickyBall,10,2,4,event_onset,6382
CN14_Infant_StickyBall,10,2,4,boundary,6471
CN14_Infant_StickyBall,10,2,4,trial_offset,6592
OH29_Infant_MassageRoller,11,2,5,grey_onset,6694
OH29_Infant_MassageRoller,11,2,5,still_onset,6784
OH29_Infant_MassageRoller,11,2,5,event_onset,6874
OH29_Infant_MassageRoller,11,2,5,boundary,6992
OH29_Infant_MassageRoller,11,2,5,trial_offset,7174
HH09_Adult_TwistyGlasses,12,2,6,grey_onset,7272
HH09_Adult_TwistyGlasses,12,2,6,still_onset,7362
HH09_Adult_TwistyGlasses,12,2,6,event_onset,7452
HH09_Adult_TwistyGlasses,12,2,6,boundary,7560
