vid,trial_number,block,inBlock_trial_number,event,frames_from_start
CN14_Infant_StickyBall,1,1,1,grey_onset,490
CN14_Infant_StickyBall,1,1,1,still_onset,580
CN14_Infant_StickyBall,1,1,1,event_onset,670
CN14_Infant_StickyBall,1,1,1,boundary,759
CN14_Infant_StickyBall,1,1,1,trial_offset,880
SA03_Adult_GreenTube,2,1,2,grey_onset,981
SA03_Adult_GreenTube,2,1,2,still_onset,1071
SA03_Adult_GreenTube,2,1,2,event_onset,1161
SA03_Adult_GreenTube,2,1,2,boundary,1335
SA03_Adult_GreenTube,2,1,2,trial_offset,1431
SF28_Adult_OballStacker,3,1,3,grey_onset,1531
SF28_Adult_OballStacker,3,1,3,still_onset,1621
SF28_Adult_OballStacker,3,1,3,event_onset,1711
SF28_Adult_OballStacker,3,1,3,boundary,2004.0000001
SF28_Adult_OballStacker,3,1,3,trial_offset,2071
OH29_Infant_MassageRoller,4,1,4,grey_onset,2171
OH29_Infant_MassageRoller,4,1,4,still_onset,2261
OH29_Infant_MassageRoller,4,1,4,event_onset,2351
OH29_Infant_MassageRoller,4,1,4,boundary,2469
OH29_Infant_MassageRoller,4,1,4,trial_offset,2651
AL38_Infant_Slinky,5,1,5,grey_onset,2751
AL38_Infant_Slinky,5,1,5,still_onset,2841
AL38_Infant_Slinky,5,1,5,event_onset,2931
AL38_Infant_Slinky,5,1,5,boundary,2991
AL38_Infant_Slinky,5,1,5,trial_offset,3200
HH09_Adult_TwistyGlasses,6,1,6,grey_onset,3299
HH09_Adult_TwistyGlasses,6,1,6,still_onset,3389
HH09_Adult_TwistyGlasses,6,1,6,event_onset,3479
HH09_Adult_TwistyGlasses,6,1,6,boundary,3587
HH09_Adult_TwistyGlasses,6,1,6,trial_offset,3659
SA03_Adult_GreenTube,7,2,1,grey_onset,3999
SA03_Adult_GreenTube,7,2,1,still_onset,4089
SA03_Adult_GreenTube,7,2,1,event_onset,4179
SA03_Adult_GreenTube,7,2,1,boundary,4353
SA03_Adult_GreenTube,7,2,1,trial_offset,4449
CN14_Infant_StickyBall,8,2,2,grey_onset,4549
