vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Adult_Slinky,1,1,1,grey_onset,775
AL38_Adult_Slinky,1,1,1,still_onset,865
AL38_Adult_Slinky,1,1,1,event_onset,955
AL38_Adult_Slinky,1,1,1,boundary,1013
AL38_Adult_Slinky,1,1,1,trial_offset,1224
SA03_Infant_GreenTube,2,1,2,grey_onset,1323
SA03_Infant_GreenTube,2,1,2,still_onset,1413
SA03_Infant_GreenTube,2,1,2,event_onset,1503
SA03_Infant_GreenTube,2,1,2,boundary,1625.0000001
SA03_Infant_GreenTube,2,1,2,trial_offset,1773
HH09_Infant_TwistyGlasses,3,1,3,grey_onset,1873
HH09_Infant_TwistyGlasses,3,1,3,still_onset,1963
HH09_Infant_TwistyGlasses,3,1,3,event_onset,2053
HH09_Infant_TwistyGlasses,3,1,3,boundary,2171
HH09_Infant_TwistyGlasses,3,1,3,trial_offset,2233
OH29_Adult_MassageRoller,4,1,4,grey_onset,2333
OH29_Adult_MassageRoller,4,1,4,still_onset,2423
OH29_Adult_MassageRoller,4,1,4,event_onset,2513
OH29_Adult_MassageRoller,4,1,4,boundary,2627
OH29_Adult_MassageRoller,4,1,4,trial_offset,2813
CN14_Adult_StickyBall,5,1,5,grey_onset,2913
CN14_Adult_StickyBall,5,1,5,still_onset,3003
CN14_Adult_StickyBall,5,1,5,event_onset,3093
CN14_Adult_StickyBall,5,1,5,boundary,3181
CN14_Adult_StickyBall,5,1,5,trial_offset,3303
SF28_Infant_OballStacker,6,1,6,grey_onset,3403
SF28_Infant_OballStacker,6,1,6,still_onset,3493
SF28_Infant_OballStacker,6,1,6,event_onset,3583
SF28_Infant_OballStacker,6,1,6,boundary,3871
SF28_Infant_OballStacker,6,1,6,trial_offset,3943
SA03_Infant_GreenTube,7,2,1,grey_onset,4284
SA03_Infant_GreenTube,7,2,1,still_onset,4374
SA03_Infant_GreenTube,7,2,1,event_onset,4464
SA03_Infant_GreenTube,7,2,1,boundary,4586.0000001
SA03_Infant_GreenTube,7,2,1,trial_offset,4734
AL38_Adult_Slinky,8,2,2,grey_onset,4834
AL38_Adult_Slinky,8,2,2,still_onset,4924
AL38_Adult_Slinky,8,2,2,event_onset,5014
AL38_Adult_Slinky,8,2,2,boundary,5072
AL38_Adult_Slinky,8,2,2,trial_offset,5283
OH29_Adult_MassageRoller,9,2,3,grey_onset,5383
OH29_Adult_MassageRoller,9,2,3,still_onset,5473
OH29_Adult_MassageRoller,9,2,3,event_onset,5563
OH29_Adult_MassageRoller,9,2,3,boundary,5677
OH29_Adult_MassageRoller,9,2,3,trial_offset,5863
HH09_Infant_TwistyGlasses,10,2,4,grey_onset,5962
HH09_Infant_TwistyGlasses,10,2,4,still_onset,6052
HH09_Infant_TwistyGlasses,10,2,4,event_onset,6142
HH09_Infant_TwistyGlasses,10,2,4,boundary,6260
HH09_Infant_TwistyGlasses,10,2,4,trial_offset,6322
SF28_Infant_OballStacker,11,2,5,grey_onset,6423
SF28_Infant_OballStacker,11,2,5,still_onset,6513
SF28_Infant_OballStacker,11,2,5,event_onset,6603
SF28_Infant_OballStacker,11,2,5,boundary,6891
SF28_Infant_OballStacker,11,2,5,trial_offset,6963
CN14_Adult_StickyBall,12,2,6,grey_onset,7063
CN14_Adult_StickyBall,12,2,6,still_onset,7153
CN14_Adult_StickyBall,12,2,6,event_onset,7243
CN14_Adult_StickyBall,12,2,6,boundary,7331
CN14_Adult_StickyBall,12,2,6,trial_offset,7453
AL38_Adult_Slinky,13,3,1,grey_onset,7791
AL38_Adult_Slinky,13,3,1,still_onset,7881
AL38_Adult_Slinky,13,3,1,event_onset,7971
AL38_Adult_Slinky,13,3,1,boundary,8029
AL38_Adult_Slinky,13,3,1,trial_offset,8240
SA03_Infant_GreenTube,14,3,2,grey_onset,8342
SA03_Infant_GreenTube,14,3,2,still_onset,8432
SA03_Infant_GreenTube,14,3,2,event_onset,8522
SA03_Infant_GreenTube,14,3,2,boundary,8644.0000001
SA03_Infant_GreenTube,14,3,2,trial_offset,8792
HH09_Infant_TwistyGlasses,15,3,3,grey_onset,8890
HH09_Infant_TwistyGlasses,15,3,3,still_onset,8980
HH09_Infant_TwistyGlasses,15,3,3,event_onset,9070
HH09_Infant_TwistyGlasses,15,3,3,boundary,9188
HH09_Infant_TwistyGlasses,15,3,3,trial_offset,9250
OH29_Adult_MassageRoller,16,3,4,grey_onset,9350
