vid,trial_number,block,inBlock_trial_number,event,frames_from_start
HH09_Infant_TwistyGlasses,1,1,1,grey_onset,707
HH09_Infant_TwistyGlasses,1,1,1,still_onset,797
HH09_Infant_TwistyGlasses,1,1,1,event_onset,887
HH09_Infant_TwistyGlasses,1,1,1,boundary,1005
HH09_Infant_TwistyGlasses,1,1,1,trial_offset,1067
CN14_Adult_StickyBall,2,1,2,grey_onset,1167
CN14_Adult_StickyBall,2,1,2,still_onset,1257
CN14_Adult_StickyBall,2,1,2,event_onset,1347
CN14_Adult_StickyBall,2,1,2,boundary,1435
CN14_Adult_StickyBall,2,1,2,trial_offset,1557
AL38_Adult_Slinky,3,1,3,grey_onset,1656
AL38_Adult_Slinky,3,1,3,still_onset,1746
AL38_Adult_Slinky,3,1,3,event_onset,1836
AL38_Adult_Slinky,3,1,3,boundary,1894
AL38_Adult_Slinky,3,1,3,trial_offset,2105
SA03_Infant_GreenTube,4,1,4,grey_onset,2204
SA03_Infant_GreenTube,4,1,4,still_onset,2294
SA03_Infant_GreenTube,4,1,4,event_onset,2384
SA03_Infant_GreenTube,4,1,4,boundary,2506.0000001
SA03_Infant_GreenTube,4,1,4,trial_offset,2654
SF28_Infant_OballStacker,5,1,5,grey_onset,2754
SF28_Infant_OballStacker,5,1,5,still_onset,2844
SF28_Infant_OballStacker,5,1,5,event_onset,2934
SF28_Infant_OballStacker,5,1,5,boundary,3222
SF28_Infant_OballStacker,5,1,5,trial_offset,3294
OH29_Adult_MassageRoller,6,1,6,grey_onset,3396
OH29_Adult_MassageRoller,6,1,6,still_onset,3486
OH29_Adult_MassageRoller,6,1,6,event_onset,3576
OH29_Adult_MassageRoller,6,1,6,boundary,3690
OH29_Adult_MassageRoller,6,1,6,trial_offset,3876
CN14_Adult_StickyBall,7,2,1,grey_onset,4215
CN14_Adult_StickyBall,7,2,1,still_onset,4305
CN14_Adult_StickyBall,7,2,1,event_onset,4395
CN14_Adult_StickyBall,7,2,1,boundary,4483
CN14_Adult_StickyBall,7,2,1,trial_offset,4605
HH09_Infant_TwistyGlasses,8,2,2,grey_onset,4703
HH09_Infant_TwistyGlasses,8,2,2,still_onset,4793
HH09_Infant_TwistyGlasses,8,2,2,event_onset,4883
