vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SF28_Adult_OballStacker,1,1,1,grey_onset,1514
SF28_Adult_OballStacker,1,1,1,still_onset,1604
SF28_Adult_OballStacker,1,1,1,event_onset,1694
SF28_Adult_OballStacker,1,1,1,boundary,1987.0000001
SF28_Adult_OballStacker,1,1,1,trial_offset,2054
CN14_Infant_StickyBall,2,1,2,grey_onset,2153
CN14_Infant_StickyBall,2,1,2,still_onset,2243
CN14_Infant_StickyBall,2,1,2,event_onset,2333
CN14_Infant_StickyBall,2,1,2,boundary,2422
CN14_Infant_StickyBall,2,1,2,trial_offset,2543
OH29_Infant_MassageRoller,3,1,3,grey_onset,2642
OH29_Infant_MassageRoller,3,1,3,still_onset,2732
OH29_Infant_MassageRoller,3,1,3,event_onset,2822
OH29_Infant_MassageRoller,3,1,3,boundary,2940
OH29_Infant_MassageRoller,3,1,3,trial_offset,3122
HH09_Adult_TwistyGlasses,4,1,4,grey_onset,3221
HH09_Adult_TwistyGlasses,4,1,4,still_onset,3311
HH09_Adult_TwistyGlasses,4,1,4,event_onset,3401
HH09_Adult_TwistyGlasses,4,1,4,boundary,3509
HH09_Adult_TwistyGlasses,4,1,4,trial_offset,3581
SA03_Adult_GreenTube,5,1,5,grey_onset,3680
SA03_Adult_GreenTube,5,1,5,still_onset,3770
SA03_Adult_GreenTube,5,1,5,event_onset,3860
SA03_Adult_GreenTube,5,1,5,boundary,4034
SA03_Adult_GreenTube,5,1,5,trial_offset,4130
AL38_Infant_Slinky,6,1,6,grey_onset,4231
AL38_Infant_Slinky,6,1,6,still_onset,4321
AL38_Infant_Slinky,6,1,6,event_onset,4411
AL38_Infant_Slinky,6,1,6,boundary,4471
AL38_Infant_Slinky,6,1,6,trial_offset,4680
CN14_Infant_StickyBall,7,2,1,grey_onset,5018
CN14_Infant_StickyBall,7,2,1,still_onset,5108
CN14_Infant_StickyBall,7,2,1,event_onset,5198
CN14_Infant_StickyBall,7,2,1,boundary,5287
CN14_Infant_StickyBall,7,2,1,trial_offset,5408
SF28_Adult_OballStacker,8,2,2,grey_onset,5510
SF28_Adult_OballStacker,8,2,2,still_onset,5600
SF28_Adult_OballStacker,8,2,2,event_onset,5690
SF28_Adult_OballStacker,8,2,2,boundary,5983.0000001
SF28_Adult_OballStacker,8,2,2,trial_offset,6050
HH09_Adult_TwistyGlasses,9,2,3,grey_onset,6149
HH09_Adult_TwistyGlasses,9,2,3,still_onset,6239
HH09_Adult_TwistyGlasses,9,2,3,event_onset,6329
HH09_Adult_TwistyGlasses,9,2,3,boundary,6437
HH09_Adult_TwistyGlasses,9,2,3,trial_offset,6509
OH29_Infant_MassageRoller,10,2,4,grey_onset,6609
OH29_Infant_MassageRoller,10,2,4,still_onset,6699
OH29_Infant_MassageRoller,10,2,4,event_onset,6789
OH29_Infant_MassageRoller,10,2,4,boundary,6907
OH29_Infant_MassageRoller,10,2,4,trial_offset,7089
AL38_Infant_Slinky,11,2,5,grey_onset,7189
AL38_Infant_Slinky,11,2,5,still_onset,7279
AL38_Infant_Slinky,11,2,5,event_onset,7369
AL38_Infant_Slinky,11,2,5,boundary,7429
AL38_Infant_Slinky,11,2,5,trial_offset,7638
SA03_Adult_GreenTube,12,2,6,grey_onset,7739
SA03_Adult_GreenTube,12,2,6,still_onset,7829
SA03_Adult_GreenTube,12,2,6,event_onset,7919
SA03_Adult_GreenTube,12,2,6,boundary,8093
SA03_Adult_GreenTube,12,2,6,trial_offset,8189
SF28_Adult_OballStacker,13,3,1,grey_onset,8530
SF28_Adult_OballStacker,13,3,1,still_onset,8620
SF28_Adult_OballStacker,13,3,1,event_onset,8710
SF28_Adult_OballStacker,13,3,1,boundary,9003.0000001
SF28_Adult_OballStacker,13,3,1,trial_offset,9070
CN14_Infant_StickyBall,14,3,2,grey_onset,9168
CN14_Infant_StickyBall,14,3,2,still_onset,9258
CN14_Infant_StickyBall,14,3,2,event_onset,9348
CN14_Infant_StickyBall,14,3,2,boundary,9437
CN14_Infant_StickyBall,14,3,2,trial_offset,9558
OH29_Infant_MassageRoller,15,3,3,grey_onset,9660
OH29_Infant_MassageRoller,15,3,3,still_onset,9750
OH29_Infant_MassageRoller,15,3,3,event_onset,9840
OH29_Infant_MassageRoller,15,3,3,boundary,9958
OH29_Infant_MassageRoller,15,3,3,trial_offset,10140
HH09_Adult_TwistyGlasses,16,3,4,grey_onset,10239
HH09_Adult_TwistyGlasses,16,3,4,still_onset,10329
HH09_Adult_TwistyGlasses,16,3,4,event_onset,10419
HH09_Adult_TwistyGlasses,16,3,4,boundary,10527
HH09_Adult_TwistyGlasses,16,3,4,trial_offset,10599
SA03_Adult_GreenTube,17,3,5,grey_onset,10700
SA03_Adult_GreenTube,17,3,5,still_onset,10790
SA03_Adult_GreenTube,17,3,5,event_onset,10880
SA03_Adult_GreenTube,17,3,5,boundary,11054
SA03_Adult_GreenTube,17,3,5,trial_offset,11150
AL38_Infant_Slinky,18,3,6,grey_onset,11251
AL38_Infant_Slinky,18,3,6,still_onset,11341
AL38_Infant_Slinky,18,3,6,event_onset,11431
AL38_Infant_Slinky,18,3,6,boundary,11491
AL38_Infant_Slinky,18,3,6,trial_offset,11700
CN14_Infant_StickyBall,19,4,1,grey_onset,12040
CN14_Infant_StickyBall,19,4,1,still_onset,12130
CN14_Infant_StickyBall,19,4,1,event_onset,12220
CN14_Infant_StickyBall,19,4,1,boundary,12309
CN14_Infant_StickyBall,19,4,1,trial_offset,12430
SF28_Adult_OballStacker,20,4,2,grey_onset,12530
SF28_Adult_OballStacker,20,4,2,still_onset,12620
SF28_Adult_OballStacker,20,4,2,event_onset,12710
SF28_Adult_OballStacker,20,4,2,boundary,13003.0000001
SF28_Adult_OballStacker,20,4,2,trial_offset,13070
HH09_Adult_TwistyGlasses,21,4,3,grey_onset,13169
HH09_Adult_TwistyGlasses,21,4,3,still_onset,13259
HH09_Adult_TwistyGlasses,21,4,3,event_onset,13349
HH09_Adult_TwistyGlasses,21,4,3,boundary,13457
HH09_Adult_TwistyGlasses,21,4,3,trial_offset,13529
OH29_Infant_MassageRoller,22,4,4,grey_onset,13628
OH29_Infant_MassageRoller,22,4,4,still_onset,13718
OH29_Infant_MassageRoller,22,4,4,event_onset,13808
OH29_Infant_MassageRoller,22,4,4,boundary,13926
OH29_Infant_MassageRoller,22,4,4,trial_offset,14108
AL38_Infant_Slinky,23,4,5,grey_onset,14209
AL38_Infant_Slinky,23,4,5,still_onset,14299
AL38_Infant_Slinky,23,4,5,event_onset,14389
AL38_Infant_Slinky,23,4,5,boundary,14449
AL38_Infant_Slinky,23,4,5,trial_offset,14658
SA03_Adult_GreenTube,24,4,6,grey_onset,14759
SA03_Adult_GreenTube,24,4,6,still_onset,14849
SA03_Adult_GreenTube,24,4,6,event_onset,14939
SA03_Adult_GreenTube,24,4,6,boundary,15113
SA03_Adult_GreenTube,24,4,6,trial_offset,15209
SF28_Adult_OballStacker,25,5,1,grey_onset,15551
SF28_Adult_OballStacker,25,5,1,still_onset,15641
SF28_Adult_OballStacker,25,5,1,event_onset,15731
SF28_Adult_OballStacker,25,5,1,boundary,16024.0000001
SF28_Adult_OballStacker,25,5,1,trial_offset,16091
CN14_Infant_StickyBall,26,5,2,grey_onset,16189
CN14_Infant_StickyBall,26,5,2,still_onset,16279
CN14_Infant_StickyBall,26,5,2,event_onset,16369
CN14_Infant_StickyBall,26,5,2,boundary,16458
CN14_Infant_StickyBall,26,5,2,trial_offset,16579
OH29_Infant_MassageRoller,27,5,3,grey_onset,16679
OH29_Infant_MassageRoller,27,5,3,still_onset,16769
OH29_Infant_MassageRoller,27,5,3,event_onset,16859
OH29_Infant_MassageRoller,27,5,3,boundary,16977
OH29_Infant_MassageRoller,27,5,3,trial_offset,17159
HH09_Adult_TwistyGlasses,28,5,4,grey_onset,17258
HH09_Adult_TwistyGlasses,28,5,4,still_onset,17348
HH09_Adult_TwistyGlasses,28,5,4,event_onset,17438
HH09_Adult_TwistyGlasses,28,5,4,boundary,17546
HH09_Adult_TwistyGlasses,28,5,4,trial_offset,17618
