vid,trial_number,block,inBlock_trial_number,event,frames_from_start
CN14_Adult_StickyBall,1,1,1,grey_onset,886
CN14_Adult_StickyBall,1,1,1,still_onset,976
CN14_Adult_StickyBall,1,1,1,event_onset,1066
CN14_Adult_StickyBall,1,1,1,boundary,1154
CN14_Adult_StickyBall,1,1,1,trial_offset,1276
SA03_Infant_GreenTube,2,1,2,grey_onset,1376
SA03_Infant_GreenTube,2,1,2,still_onset,1466
SA03_Infant_GreenTube,2,1,2,event_onset,1556
SA03_Infant_GreenTube,2,1,2,boundary,1678.0000001
SA03_Infant_GreenTube,2,1,2,trial_offset,1826
HH09_Infant_TwistyGlasses,3,1,3,grey_onset,1925
HH09_Infant_TwistyGlasses,3,1,3,still_onset,2015
HH09_Infant_TwistyGlasses,3,1,3,event_onset,2105
HH09_Infant_TwistyGlasses,3,1,3,boundary,2223
HH09_Infant_TwistyGlasses,3,1,3,trial_offset,2285
AL38_Adult_Slinky,4,1,4,grey_onset,2385
AL38_Adult_Slinky,4,1,4,still_onset,2475
AL38_Adult_Slinky,4,1,4,event_onset,2565
AL38_Adult_Slinky,4,1,4,boundary,2623
AL38_Adult_Slinky,4,1,4,trial_offset,2834
OH29_Adult_MassageRoller,5,1,5,grey_onset,2934
OH29_Adult_MassageRoller,5,1,5,still_onset,3024
OH29_Adult_MassageRoller,5,1,5,event_onset,3114
OH29_Adult_MassageRoller,5,1,5,boundary,3228
OH29_Adult_MassageRoller,5,1,5,trial_offset,3414
SF28_Infant_OballStacker,6,1,6,grey_onset,3515
SF28_Infant_OballStacker,6,1,6,still_onset,3605
SF28_Infant_OballStacker,6,1,6,event_onset,3695
SF28_Infant_OballStacker,6,1,6,boundary,3983
SF28_Infant_OballStacker,6,1,6,trial_offset,4055
SA03_Infant_GreenTube,7,2,1,grey_onset,4396
SA03_Infant_GreenTube,7,2,1,still_onset,4486
SA03_Infant_GreenTube,7,2,1,event_onset,4576
SA03_Infant_GreenTube,7,2,1,boundary,4698.0000001
SA03_Infant_GreenTube,7,2,1,trial_offset,4846
CN14_Adult_StickyBall,8,2,2,grey_onset,4946
CN14_Adult_StickyBall,8,2,2,still_onset,5036
CN14_Adult_StickyBall,8,2,2,event_onset,5126
CN14_Adult_StickyBall,8,2,2,boundary,5214
CN14_Adult_StickyBall,8,2,2,trial_offset,5336
AL38_Adult_Slinky,9,2,3,grey_onset,5436
AL38_Adult_Slinky,9,2,3,still_onset,5526
AL38_Adult_Slinky,9,2,3,event_onset,5616
AL38_Adult_Slinky,9,2,3,boundary,5674
AL38_Adult_Slinky,9,2,3,trial_offset,5885
HH09_Infant_TwistyGlasses,10,2,4,grey_onset,5985
HH09_Infant_TwistyGlasses,10,2,4,still_onset,6075
HH09_Infant_TwistyGlasses,10,2,4,event_onset,6165
HH09_Infant_TwistyGlasses,10,2,4,boundary,6283
HH09_Infant_TwistyGlasses,10,2,4,trial_offset,6345
SF28_Infant_OballStacker,11,2,5,grey_onset,6445
SF28_Infant_OballStacker,11,2,5,still_onset,6535
SF28_Infant_OballStacker,11,2,5,event_onset,6625
SF28_Infant_OballStacker,11,2,5,boundary,6913
SF28_Infant_OballStacker,11,2,5,trial_offset,6985
OH29_Adult_MassageRoller,12,2,6,grey_onset,7085
OH29_Adult_MassageRoller,12,2,6,still_onset,7175
OH29_Adult_MassageRoller,12,2,6,event_onset,7265
OH29_Adult_MassageRoller,12,2,6,boundary,7379
OH29_Adult_MassageRoller,12,2,6,trial_offset,7565
CN14_Adult_StickyBall,13,3,1,grey_onset,7906
CN14_Adult_StickyBall,13,3,1,still_onset,7996
CN14_Adult_StickyBall,13,3,1,event_onset,8086
CN14_Adult_StickyBall,13,3,1,boundary,8174
CN14_Adult_StickyBall,13,3,1,trial_offset,8296
SA03_Infant_GreenTube,14,3,2,grey_onset,8395
SA03_Infant_GreenTube,14,3,2,still_onset,8485
SA03_Infant_GreenTube,14,3,2,event_onset,8575
SA03_Infant_GreenTube,14,3,2,boundary,8697.0000001
SA03_Infant_GreenTube,14,3,2,trial_offset,8845
HH09_Infant_TwistyGlasses,15,3,3,grey_onset,8946
HH09_Infant_TwistyGlasses,15,3,3,still_onset,9036
HH09_Infant_TwistyGlasses,15,3,3,event_onset,9126
HH09_Infant_TwistyGlasses,15,3,3,boundary,9244
HH09_Infant_TwistyGlasses,15,3,3,trial_offset,9306
AL38_Adult_Slinky,16,3,4,grey_onset,9407
AL38_Adult_Slinky,16,3,4,still_onset,9497
AL38_Adult_Slinky,16,3,4,event_onset,9587
AL38_Adult_Slinky,16,3,4,boundary,9645
AL38_Adult_Slinky,16,3,4,trial_offset,9856
OH29_Adult_MassageRoller,17,3,5,grey_onset,9957
OH29_Adult_MassageRoller,17,3,5,still_onset,10047
