vid,trial_number,block,inBlock_trial_number,event,frames_from_start
OH29_Adult_MassageRoller,1,1,1,grey_onset,640
OH29_Adult_MassageRoller,1,1,1,still_onset,730
OH29_Adult_MassageRoller,1,1,1,event_onset,820
OH29_Adult_MassageRoller,1,1,1,boundary,934
OH29_Adult_MassageRoller,1,1,1,trial_offset,1120
SA03_Infant_GreenTube,2,1,2,grey_onset,1222
SA03_Infant_GreenTube,2,1,2,still_onset,1312
SA03_Infant_GreenTube,2,1,2,event_onset,1402
SA03_Infant_GreenTube,2,1,2,boundary,1524.0000001
SA03_Infant_GreenTube,2,1,2,trial_offset,1672
SF28_Infant_OballStacker,3,1,3,grey_onset,1772
SF28_Infant_OballStacker,3,1,3,still_onset,1862
SF28_Infant_OballStacker,3,1,3,event_onset,1952
SF28_Infant_OballStacker,3,1,3,boundary,2240
SF28_Infant_OballStacker,3,1,3,trial_offset,2312
CN14_Adult_StickyBall,4,1,4,grey_onset,2410
CN14_Adult_StickyBall,4,1,4,still_onset,2500
CN14_Adult_StickyBall,4,1,4,event_onset,2590
CN14_Adult_StickyBall,4,1,4,boundary,2678
CN14_Adult_StickyBall,4,1,4,trial_offset,2800
AL38_Adult_Slinky,5,1,5,grey_onset,2899
AL38_Adult_Slinky,5,1,5,still_onset,2989
AL38_Adult_Slinky,5,1,5,event_onset,3079
AL38_Adult_Slinky,5,1,5,boundary,3137
AL38_Adult_Slinky,5,1,5,trial_offset,3348
HH09_Infant_TwistyGlasses,6,1,6,grey_onset,3449
HH09_Infant_TwistyGlasses,6,1,6,still_onset,3539
HH09_Infant_TwistyGlasses,6,1,6,event_onset,3629
HH09_Infant_TwistyGlasses,6,1,6,boundary,3747
HH09_Infant_TwistyGlasses,6,1,6,trial_offset,3809
SA03_Infant_GreenTube,7,2,1,grey_onset,4149
SA03_Infant_GreenTube,7,2,1,still_onset,4239
SA03_Infant_GreenTube,7,2,1,event_onset,4329
SA03_Infant_GreenTube,7,2,1,boundary,4451.0000001
SA03_Infant_GreenTube,7,2,1,trial_offset,4599
OH29_Adult_MassageRoller,8,2,2,grey_onset,4699
OH29_Adult_MassageRoller,8,2,2,still_onset,4789
OH29_Adult_MassageRoller,8,2,2,event_onset,4879
OH29_Adult_MassageRoller,8,2,2,boundary,4993
OH29_Adult_MassageRoller,8,2,2,trial_offset,5179
CN14_Adult_StickyBall,9,2,3,grey_onset,5278
CN14_Adult_StickyBall,9,2,3,still_onset,5368
CN14_Adult_StickyBall,9,2,3,event_onset,5458
CN14_Adult_StickyBall,9,2,3,boundary,5546
CN14_Adult_StickyBall,9,2,3,trial_offset,5668
SF28_Infant_OballStacker,10,2,4,grey_onset,5770
SF28_Infant_OballStacker,10,2,4,still_onset,5860
SF28_Infant_OballStacker,10,2,4,event_onset,5950
SF28_Infant_OballStacker,10,2,4,boundary,6238
SF28_Infant_OballStacker,10,2,4,trial_offset,6310
HH09_Infant_TwistyGlasses,11,2,5,grey_onset,6410
HH09_Infant_TwistyGlasses,11,2,5,still_onset,6500
HH09_Infant_TwistyGlasses,11,2,5,event_onset,6590
HH09_Infant_TwistyGlasses,11,2,5,boundary,6708
HH09_Infant_TwistyGlasses,11,2,5,trial_offset,6770
AL38_Adult_Slinky,12,2,6,grey_onset,6870
AL38_Adult_Slinky,12,2,6,still_onset,6960
AL38_Adult_Slinky,12,2,6,event_onset,7050
AL38_Adult_Slinky,12,2,6,boundary,7108
AL38_Adult_Slinky,12,2,6,trial_offset,7319
OH29_Adult_MassageRoller,13,3,1,grey_onset,7658
OH29_Adult_MassageRoller,13,3,1,still_onset,7748
OH29_Adult_MassageRoller,13,3,1,event_onset,7838
OH29_Adult_MassageRoller,13,3,1,boundary,7952
OH29_Adult_MassageRoller,13,3,1,trial_offset,8138
SA03_Infant_GreenTube,14,3,2,grey_onset,8241
SA03_Infant_GreenTube,14,3,2,still_onset,8331
SA03_Infant_GreenTube,14,3,2,event_onset,8421
SA03_Infant_GreenTube,14,3,2,boundary,8543.0000001
SA03_Infant_GreenTube,14,3,2,trial_offset,8691
SF28_Infant_OballStacker,15,3,3,grey_onset,8791
SF28_Infant_OballStacker,15,3,3,still_onset,8881
SF28_Infant_OballStacker,15,3,3,event_onset,8971
SF28_Infant_OballStacker,15,3,3,boundary,9259
