vid,trial_number,block,inBlock_trial_number,event,frames_from_start
OH29_Adult_MassageRoller,1,1,1,grey_onset,768
OH29_Adult_MassageRoller,1,1,1,still_onset,858
OH29_Adult_MassageRoller,1,1,1,event_onset,948
OH29_Adult_MassageRoller,1,1,1,boundary,1062
OH29_Adult_MassageRoller,1,1,1,trial_offset,1248
HH09_Infant_TwistyGlasses,2,1,2,grey_onset,1347
HH09_Infant_TwistyGlasses,2,1,2,still_onset,1437
HH09_Infant_TwistyGlasses,2,1,2,event_onset,1527
HH09_Infant_TwistyGlasses,2,1,2,boundary,1645
HH09_Infant_TwistyGlasses,2,1,2,trial_offset,1707
SA03_Infant_GreenTube,3,1,3,grey_onset,1810
SA03_Infant_GreenTube,3,1,3,still_onset,1900
SA03_Infant_GreenTube,3,1,3,event_onset,1990
SA03_Infant_GreenTube,3,1,3,boundary,2112.0000001
SA03_Infant_GreenTube,3,1,3,trial_offset,2260
CN14_Adult_StickyBall,4,1,4,grey_onset,2359
CN14_Adult_StickyBall,4,1,4,still_onset,2449
CN14_Adult_StickyBall,4,1,4,event_onset,2539
CN14_Adult_StickyBall,4,1,4,boundary,2627
CN14_Adult_StickyBall,4,1,4,trial_offset,2749
AL38_Adult_Slinky,5,1,5,grey_onset,2849
AL38_Adult_Slinky,5,1,5,still_onset,2939
AL38_Adult_Slinky,5,1,5,event_onset,3029
AL38_Adult_Slinky,5,1,5,boundary,3087
AL38_Adult_Slinky,5,1,5,trial_offset,3298
SF28_Infant_OballStacker,6,1,6,grey_onset,3399
SF28_Infant_OballStacker,6,1,6,still_onset,3489
SF28_Infant_OballStacker,6,1,6,event_onset,3579
SF28_Infant_OballStacker,6,1,6,boundary,3867
SF28_Infant_OballStacker,6,1,6,trial_offset,3939
HH09_Infant_TwistyGlasses,7,2,1,grey_onset,4280
HH09_Infant_TwistyGlasses,7,2,1,still_onset,4370
HH09_Infant_TwistyGlasses,7,2,1,event_onset,4460
HH09_Infant_TwistyGlasses,7,2,1,boundary,4578
HH09_Infant_TwistyGlasses,7,2,1,trial_offset,4640
OH29_Adult_MassageRoller,8,2,2,grey_onset,4741
OH29_Adult_MassageRoller,8,2,2,still_onset,4831
OH29_Adult_MassageRoller,8,2,2,event_onset,4921
OH29_Adult_MassageRoller,8,2,2,boundary,5035
OH29_Adult_MassageRoller,8,2,2,trial_offset,5221
CN14_Adult_StickyBall,9,2,3,grey_onset,5320
CN14_Adult_StickyBall,9,2,3,still_onset,5410
CN14_Adult_StickyBall,9,2,3,event_onset,5500
CN14_Adult_StickyBall,9,2,3,boundary,5588
CN14_Adult_StickyBall,9,2,3,trial_offset,5710
SA03_Infant_GreenTube,10,2,4,grey_onset,5811
SA03_Infant_GreenTube,10,2,4,still_onset,5901
SA03_Infant_GreenTube,10,2,4,event_onset,5991
SA03_Infant_GreenTube,10,2,4,boundary,6113.0000001
SA03_Infant_GreenTube,10,2,4,trial_offset,6261
SF28_Infant_OballStacker,11,2,5,grey_onset,6362
SF28_Infant_OballStacker,11,2,5,still_onset,6452
SF28_Infant_OballStacker,11,2,5,event_onset,6542
SF28_Infant_OballStacker,11,2,5,boundary,6830
SF28_Infant_OballStacker,11,2,5,trial_offset,6902
AL38_Adult_Slinky,12,2,6,grey_onset,7003
AL38_Adult_Slinky,12,2,6,still_onset,7093
AL38_Adult_Slinky,12,2,6,event_onset,7183
AL38_Adult_Slinky,12,2,6,boundary,7241
AL38_Adult_Slinky,12,2,6,trial_offset,7452
OH29_Adult_MassageRoller,13,3,1,grey_onset,7793
OH29_Adult_MassageRoller,13,3,1,still_onset,7883
OH29_Adult_MassageRoller,13,3,1,event_onset,7973
OH29_Adult_MassageRoller,13,3,1,boundary,8087
OH29_Adult_MassageRoller,13,3,1,trial_offset,8273
HH09_Infant_TwistyGlasses,14,3,2,grey_onset,8372
HH09_Infant_TwistyGlasses,14,3,2,still_onset,8462
HH09_Infant_TwistyGlasses,14,3,2,event_onset,8552
HH09_Infant_TwistyGlasses,14,3,2,boundary,8670
HH09_Infant_TwistyGlasses,14,3,2,trial_offset,8732
