vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Adult_Slinky,1,1,1,grey_onset,639
AL38_Adult_Slinky,1,1,1,still_onset,729
AL38_Adult_Slinky,1,1,1,event_onset,819
AL38_Adult_Slinky,1,1,1,boundary,877
AL38_Adult_Slinky,1,1,1,trial_offset,1088
SF28_Infant_OballStacker,2,1,2,grey_onset,1189
SF28_Infant_OballStacker,2,1,2,still_onset,1279
SF28_Infant_OballStacker,2,1,2,event_onset,1369
SF28_Infant_OballStacker,2,1,2,boundary,1657
SF28_Infant_OballStacker,2,1,2,trial_offset,1729
SA03_Infant_GreenTube,3,1,3,grey_onset,1830
SA03_Infant_GreenTube,3,1,3,still_onset,1920
SA03_Infant_GreenTube,3,1,3,event_onset,2010
SA03_Infant_GreenTube,3,1,3,boundary,2132.0000001
SA03_Infant_GreenTube,3,1,3,trial_offset,2280
OH29_Adult_MassageRoller,4,1,4,grey_onset,2381
OH29_Adult_MassageRoller,4,1,4,still_onset,2471
OH29_Adult_MassageRoller,4,1,4,event_onset,2561
OH29_Adult_MassageRoller,4,1,4,boundary,2675
OH29_Adult_MassageRoller,4,1,4,trial_offset,2861
CN14_Adult_StickyBall,5,1,5,grey_onset,2961
CN14_Adult_StickyBall,5,1,5,still_onset,3051
CN14_Adult_StickyBall,5,1,5,event_onset,3141
CN14_Adult_StickyBall,5,1,5,boundary,3229
CN14_Adult_StickyBall,5,1,5,trial_offset,3351
HH09_Infant_TwistyGlasses,6,1,6,grey_onset,3451
HH09_Infant_TwistyGlasses,6,1,6,still_onset,3541
HH09_Infant_TwistyGlasses,6,1,6,event_onset,3631
HH09_Infant_TwistyGlasses,6,1,6,boundary,3749
HH09_Infant_TwistyGlasses,6,1,6,trial_offset,3811
SF28_Infant_OballStacker,7,2,1,grey_onset,4152
SF28_Infant_OballStacker,7,2,1,still_onset,4242
SF28_Infant_OballStacker,7,2,1,event_onset,4332
SF28_Infant_OballStacker,7,2,1,boundary,4620
SF28_Infant_OballStacker,7,2,1,trial_offset,4692
AL38_Adult_Slinky,8,2,2,grey_onset,4792
AL38_Adult_Slinky,8,2,2,still_onset,4882
AL38_Adult_Slinky,8,2,2,event_onset,4972
AL38_Adult_Slinky,8,2,2,boundary,5030
AL38_Adult_Slinky,8,2,2,trial_offset,5241
OH29_Adult_MassageRoller,9,2,3,grey_onset,5343
OH29_Adult_MassageRoller,9,2,3,still_onset,5433
OH29_Adult_MassageRoller,9,2,3,event_onset,5523
OH29_Adult_MassageRoller,9,2,3,boundary,5637
OH29_Adult_MassageRoller,9,2,3,trial_offset,5823
SA03_Infant_GreenTube,10,2,4,grey_onset,5924
SA03_Infant_GreenTube,10,2,4,still_onset,6014
SA03_Infant_GreenTube,10,2,4,event_onset,6104
SA03_Infant_GreenTube,10,2,4,boundary,6226.0000001
SA03_Infant_GreenTube,10,2,4,trial_offset,6374
HH09_Infant_TwistyGlasses,11,2,5,grey_onset,6475
HH09_Infant_TwistyGlasses,11,2,5,still_onset,6565
HH09_Infant_TwistyGlasses,11,2,5,event_onset,6655
HH09_Infant_TwistyGlasses,11,2,5,boundary,6773
HH09_Infant_TwistyGlasses,11,2,5,trial_offset,6835
CN14_Adult_StickyBall,12,2,6,grey_onset,6935
CN14_Adult_StickyBall,12,2,6,still_onset,7025
CN14_Adult_StickyBall,12,2,6,event_onset,7115
CN14_Adult_StickyBall,12,2,6,boundary,7203
CN14_Adult_StickyBall,12,2,6,trial_offset,7325
AL38_Adult_Slinky,13,3,1,grey_onset,7665
AL38_Adult_Slinky,13,3,1,still_onset,7755
AL38_Adult_Slinky,13,3,1,event_onset,7845
AL38_Adult_Slinky,13,3,1,boundary,7903
AL38_Adult_Slinky,13,3,1,trial_offset,8114
SF28_Infant_OballStacker,14,3,2,grey_onset,8215
SF28_Infant_OballStacker,14,3,2,still_onset,8305
SF28_Infant_OballStacker,14,3,2,event_onset,8395
SF28_Infant_OballStacker,14,3,2,boundary,8683
SF28_Infant_OballStacker,14,3,2,trial_offset,8755
SA03_Infant_GreenTube,15,3,3,grey_onset,8856
SA03_Infant_GreenTube,15,3,3,still_onset,8946
SA03_Infant_GreenTube,15,3,3,event_onset,9036
SA03_Infant_GreenTube,15,3,3,boundary,9158.0000001
SA03_Infant_GreenTube,15,3,3,trial_offset,9306
OH29_Adult_MassageRoller,16,3,4,grey_onset,9407
OH29_Adult_MassageRoller,16,3,4,still_onset,9497
OH29_Adult_MassageRoller,16,3,4,event_onset,9587
OH29_Adult_MassageRoller,16,3,4,boundary,9701
OH29_Adult_MassageRoller,16,3,4,trial_offset,9887
CN14_Adult_StickyBall,17,3,5,grey_onset,9986
CN14_Adult_StickyBall,17,3,5,still_onset,10076
CN14_Adult_StickyBall,17,3,5,event_onset,10166
CN14_Adult_StickyBall,17,3,5,boundary,10254
CN14_Adult_StickyBall,17,3,5,trial_offset,10376
HH09_Infant_TwistyGlasses,18,3,6,grey_onset,10476
HH09_Infant_TwistyGlasses,18,3,6,still_onset,10566
HH09_Infant_TwistyGlasses,18,3,6,event_onset,10656
HH09_Infant_TwistyGlasses,18,3,6,boundary,10774
HH09_Infant_TwistyGlasses,18,3,6,trial_offset,10836
SF28_Infant_OballStacker,19,4,1,grey_onset,11179
SF28_Infant_OballStacker,19,4,1,still_onset,11269
SF28_Infant_OballStacker,19,4,1,event_onset,11359
SF28_Infant_OballStacker,19,4,1,boundary,11647
SF28_Infant_OballStacker,19,4,1,trial_offset,11719
AL38_Adult_Slinky,20,4,2,grey_onset,11820
AL38_Adult_Slinky,20,4,2,still_onset,11910
AL38_Adult_Slinky,20,4,2,event_onset,12e3
AL38_Adult_Slinky,20,4,2,boundary,12058
AL38_Adult_Slinky,20,4,2,trial_offset,12269
OH29_Adult_MassageRoller,21,4,3,grey_onset,12370
OH29_Adult_MassageRoller,21,4,3,still_onset,12460
OH29_Adult_MassageRoller,21,4,3,event_onset,12550
OH29_Adult_MassageRoller,21,4,3,boundary,12664
OH29_Adult_MassageRoller,21,4,3,trial_offset,12850
SA03_Infant_GreenTube,22,4,4,grey_onset,12951
SA03_Infant_GreenTube,22,4,4,still_onset,13041
SA03_Infant_GreenTube,22,4,4,event_onset,13131
SA03_Infant_GreenTube,22,4,4,boundary,13253.0000001
SA03_Infant_GreenTube,22,4,4,trial_offset,13401
HH09_Infant_TwistyGlasses,23,4,5,grey_onset,13501
HH09_Infant_TwistyGlasses,23,4,5,still_onset,13591
HH09_Infant_TwistyGlasses,23,4,5,event_onset,13681
HH09_Infant_TwistyGlasses,23,4,5,boundary,13799
HH09_Infant_TwistyGlasses,23,4,5,trial_offset,13861
CN14_Adult_StickyBall,24,4,6,grey_onset,13961
CN14_Adult_StickyBall,24,4,6,still_onset,14051
CN14_Adult_StickyBall,24,4,6,event_onset,14141
CN14_Adult_StickyBall,24,4,6,boundary,14229
CN14_Adult_StickyBall,24,4,6,trial_offset,14351
AL38_Adult_Slinky,25,5,1,grey_onset,14694
AL38_Adult_Slinky,25,5,1,still_onset,14784
AL38_Adult_Slinky,25,5,1,event_onset,14874
AL38_Adult_Slinky,25,5,1,boundary,14932
AL38_Adult_Slinky,25,5,1,trial_offset,15143
SF28_Infant_OballStacker,26,5,2,grey_onset,15244
SF28_Infant_OballStacker,26,5,2,still_onset,15334
SF28_Infant_OballStacker,26,5,2,event_onset,15424
SF28_Infant_OballStacker,26,5,2,boundary,15712
SF28_Infant_OballStacker,26,5,2,trial_offset,15784
SA03_Infant_GreenTube,27,5,3,grey_onset,15885
SA03_Infant_GreenTube,27,5,3,still_onset,15975
SA03_Infant_GreenTube,27,5,3,event_onset,16065
SA03_Infant_GreenTube,27,5,3,boundary,16187.0000001
SA03_Infant_GreenTube,27,5,3,trial_offset,16335
