vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Infant_Slinky,1,1,1,grey_onset,1009
AL38_Infant_Slinky,1,1,1,still_onset,1099
AL38_Infant_Slinky,1,1,1,event_onset,1189
AL38_Infant_Slinky,1,1,1,boundary,1249
AL38_Infant_Slinky,1,1,1,trial_offset,1458
SA03_Adult_GreenTube,2,1,2,grey_onset,1559
SA03_Adult_GreenTube,2,1,2,still_onset,1649
SA03_Adult_GreenTube,2,1,2,event_onset,1739
SA03_Adult_GreenTube,2,1,2,boundary,1913
SA03_Adult_GreenTube,2,1,2,trial_offset,2009
HH09_Adult_TwistyGlasses,3,1,3,grey_onset,2108
HH09_Adult_TwistyGlasses,3,1,3,still_onset,2198
HH09_Adult_TwistyGlasses,3,1,3,event_onset,2288
HH09_Adult_TwistyGlasses,3,1,3,boundary,2396
HH09_Adult_TwistyGlasses,3,1,3,trial_offset,2468
OH29_Infant_MassageRoller,4,1,4,grey_onset,2569
OH29_Infant_MassageRoller,4,1,4,still_onset,2659
OH29_Infant_MassageRoller,4,1,4,event_onset,2749
OH29_Infant_MassageRoller,4,1,4,boundary,2867
OH29_Infant_MassageRoller,4,1,4,trial_offset,3049
CN14_Infant_StickyBall,5,1,5,grey_onset,3149
CN14_Infant_StickyBall,5,1,5,still_onset,3239
CN14_Infant_StickyBall,5,1,5,event_onset,3329
CN14_Infant_StickyBall,5,1,5,boundary,3418
CN14_Infant_StickyBall,5,1,5,trial_offset,3539
SF28_Adult_OballStacker,6,1,6,grey_onset,3639
SF28_Adult_OballStacker,6,1,6,still_onset,3729
SF28_Adult_OballStacker,6,1,6,event_onset,3819
SF28_Adult_OballStacker,6,1,6,boundary,4112.0000001
SF28_Adult_OballStacker,6,1,6,trial_offset,4179
SA03_Adult_GreenTube,7,2,1,grey_onset,4519
SA03_Adult_GreenTube,7,2,1,still_onset,4609
SA03_Adult_GreenTube,7,2,1,event_onset,4699
SA03_Adult_GreenTube,7,2,1,boundary,4873
SA03_Adult_GreenTube,7,2,1,trial_offset,4969
AL38_Infant_Slinky,8,2,2,grey_onset,5071
AL38_Infant_Slinky,8,2,2,still_onset,5161
AL38_Infant_Slinky,8,2,2,event_onset,5251
AL38_Infant_Slinky,8,2,2,boundary,5311
AL38_Infant_Slinky,8,2,2,trial_offset,5520
OH29_Infant_MassageRoller,9,2,3,grey_onset,5621
OH29_Infant_MassageRoller,9,2,3,still_onset,5711
OH29_Infant_MassageRoller,9,2,3,event_onset,5801
OH29_Infant_MassageRoller,9,2,3,boundary,5919
OH29_Infant_MassageRoller,9,2,3,trial_offset,6101
HH09_Adult_TwistyGlasses,10,2,4,grey_onset,6201
HH09_Adult_TwistyGlasses,10,2,4,still_onset,6291
HH09_Adult_TwistyGlasses,10,2,4,event_onset,6381
HH09_Adult_TwistyGlasses,10,2,4,boundary,6489
HH09_Adult_TwistyGlasses,10,2,4,trial_offset,6561
SF28_Adult_OballStacker,11,2,5,grey_onset,6662
SF28_Adult_OballStacker,11,2,5,still_onset,6752
SF28_Adult_OballStacker,11,2,5,event_onset,6842
SF28_Adult_OballStacker,11,2,5,boundary,7135.0000001
SF28_Adult_OballStacker,11,2,5,trial_offset,7202
CN14_Infant_StickyBall,12,2,6,grey_onset,7302
CN14_Infant_StickyBall,12,2,6,still_onset,7392
CN14_Infant_StickyBall,12,2,6,event_onset,7482
CN14_Infant_StickyBall,12,2,6,boundary,7571
CN14_Infant_StickyBall,12,2,6,trial_offset,7692
AL38_Infant_Slinky,13,3,1,grey_onset,8033
AL38_Infant_Slinky,13,3,1,still_onset,8123
AL38_Infant_Slinky,13,3,1,event_onset,8213
AL38_Infant_Slinky,13,3,1,boundary,8273
AL38_Infant_Slinky,13,3,1,trial_offset,8482
SA03_Adult_GreenTube,14,3,2,grey_onset,8583
SA03_Adult_GreenTube,14,3,2,still_onset,8673
SA03_Adult_GreenTube,14,3,2,event_onset,8763
SA03_Adult_GreenTube,14,3,2,boundary,8937
SA03_Adult_GreenTube,14,3,2,trial_offset,9033
HH09_Adult_TwistyGlasses,15,3,3,grey_onset,9132
HH09_Adult_TwistyGlasses,15,3,3,still_onset,9222
HH09_Adult_TwistyGlasses,15,3,3,event_onset,9312
HH09_Adult_TwistyGlasses,15,3,3,boundary,9420
HH09_Adult_TwistyGlasses,15,3,3,trial_offset,9492
OH29_Infant_MassageRoller,16,3,4,grey_onset,9593
OH29_Infant_MassageRoller,16,3,4,still_onset,9683
OH29_Infant_MassageRoller,16,3,4,event_onset,9773
OH29_Infant_MassageRoller,16,3,4,boundary,9891
OH29_Infant_MassageRoller,16,3,4,trial_offset,10073
CN14_Infant_StickyBall,17,3,5,grey_onset,10173
CN14_Infant_StickyBall,17,3,5,still_onset,10263
CN14_Infant_StickyBall,17,3,5,event_onset,10353
CN14_Infant_StickyBall,17,3,5,boundary,10442
CN14_Infant_StickyBall,17,3,5,trial_offset,10563
SF28_Adult_OballStacker,18,3,6,grey_onset,10664
SF28_Adult_OballStacker,18,3,6,still_onset,10754
SF28_Adult_OballStacker,18,3,6,event_onset,10844
SF28_Adult_OballStacker,18,3,6,boundary,11137.0000001
SF28_Adult_OballStacker,18,3,6,trial_offset,11204
