vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SF28_Infant_OballStacker,1,1,1,grey_onset,853
SF28_Infant_OballStacker,1,1,1,still_onset,943
SF28_Infant_OballStacker,1,1,1,event_onset,1033
SF28_Infant_OballStacker,1,1,1,boundary,1321
SF28_Infant_OballStacker,1,1,1,trial_offset,1393
AL38_Adult_Slinky,2,1,2,grey_onset,1491
AL38_Adult_Slinky,2,1,2,still_onset,1581
AL38_Adult_Slinky,2,1,2,event_onset,1671
AL38_Adult_Slinky,2,1,2,boundary,1729
AL38_Adult_Slinky,2,1,2,trial_offset,1940
OH29_Adult_MassageRoller,3,1,3,grey_onset,2039
OH29_Adult_MassageRoller,3,1,3,still_onset,2129
OH29_Adult_MassageRoller,3,1,3,event_onset,2219
OH29_Adult_MassageRoller,3,1,3,boundary,2333
OH29_Adult_MassageRoller,3,1,3,trial_offset,2519
SA03_Infant_GreenTube,4,1,4,grey_onset,2619
SA03_Infant_GreenTube,4,1,4,still_onset,2709
SA03_Infant_GreenTube,4,1,4,event_onset,2799
SA03_Infant_GreenTube,4,1,4,boundary,2921.0000001
SA03_Infant_GreenTube,4,1,4,trial_offset,3069
HH09_Infant_TwistyGlasses,5,1,5,grey_onset,3168
HH09_Infant_TwistyGlasses,5,1,5,still_onset,3258
HH09_Infant_TwistyGlasses,5,1,5,event_onset,3348
HH09_Infant_TwistyGlasses,5,1,5,boundary,3466
HH09_Infant_TwistyGlasses,5,1,5,trial_offset,3528
CN14_Adult_StickyBall,6,1,6,grey_onset,3627
CN14_Adult_StickyBall,6,1,6,still_onset,3717
CN14_Adult_StickyBall,6,1,6,event_onset,3807
CN14_Adult_StickyBall,6,1,6,boundary,3895
CN14_Adult_StickyBall,6,1,6,trial_offset,4017
AL38_Adult_Slinky,7,2,1,grey_onset,4356
AL38_Adult_Slinky,7,2,1,still_onset,4446
AL38_Adult_Slinky,7,2,1,event_onset,4536
AL38_Adult_Slinky,7,2,1,boundary,4594
AL38_Adult_Slinky,7,2,1,trial_offset,4805
SF28_Infant_OballStacker,8,2,2,grey_onset,4905
SF28_Infant_OballStacker,8,2,2,still_onset,4995
SF28_Infant_OballStacker,8,2,2,event_onset,5085
SF28_Infant_OballStacker,8,2,2,boundary,5373
SF28_Infant_OballStacker,8,2,2,trial_offset,5445
SA03_Infant_GreenTube,9,2,3,grey_onset,5544
SA03_Infant_GreenTube,9,2,3,still_onset,5634
SA03_Infant_GreenTube,9,2,3,event_onset,5724
SA03_Infant_GreenTube,9,2,3,boundary,5846.0000001
SA03_Infant_GreenTube,9,2,3,trial_offset,5994
OH29_Adult_MassageRoller,10,2,4,grey_onset,6094
OH29_Adult_MassageRoller,10,2,4,still_onset,6184
OH29_Adult_MassageRoller,10,2,4,event_onset,6274
OH29_Adult_MassageRoller,10,2,4,boundary,6388
OH29_Adult_MassageRoller,10,2,4,trial_offset,6574
CN14_Adult_StickyBall,11,2,5,grey_onset,6672
CN14_Adult_StickyBall,11,2,5,still_onset,6762
CN14_Adult_StickyBall,11,2,5,event_onset,6852
CN14_Adult_StickyBall,11,2,5,boundary,6940
CN14_Adult_StickyBall,11,2,5,trial_offset,7062
HH09_Infant_TwistyGlasses,12,2,6,grey_onset,7162
HH09_Infant_TwistyGlasses,12,2,6,still_onset,7252
HH09_Infant_TwistyGlasses,12,2,6,event_onset,7342
HH09_Infant_TwistyGlasses,12,2,6,boundary,7460
HH09_Infant_TwistyGlasses,12,2,6,trial_offset,7522
SF28_Infant_OballStacker,13,3,1,grey_onset,7862
SF28_Infant_OballStacker,13,3,1,still_onset,7952
SF28_Infant_OballStacker,13,3,1,event_onset,8042
SF28_Infant_OballStacker,13,3,1,boundary,8330
SF28_Infant_OballStacker,13,3,1,trial_offset,8402
AL38_Adult_Slinky,14,3,2,grey_onset,8501
AL38_Adult_Slinky,14,3,2,still_onset,8591
AL38_Adult_Slinky,14,3,2,event_onset,8681
AL38_Adult_Slinky,14,3,2,boundary,8739
AL38_Adult_Slinky,14,3,2,trial_offset,8950
OH29_Adult_MassageRoller,15,3,3,grey_onset,9049
OH29_Adult_MassageRoller,15,3,3,still_onset,9139
OH29_Adult_MassageRoller,15,3,3,event_onset,9229
OH29_Adult_MassageRoller,15,3,3,boundary,9343
OH29_Adult_MassageRoller,15,3,3,trial_offset,9529
SA03_Infant_GreenTube,16,3,4,grey_onset,9629
SA03_Infant_GreenTube,16,3,4,still_onset,9719
SA03_Infant_GreenTube,16,3,4,event_onset,9809
SA03_Infant_GreenTube,16,3,4,boundary,9931.0000001
SA03_Infant_GreenTube,16,3,4,trial_offset,10079
HH09_Infant_TwistyGlasses,17,3,5,grey_onset,10177
HH09_Infant_TwistyGlasses,17,3,5,still_onset,10267
HH09_Infant_TwistyGlasses,17,3,5,event_onset,10357
HH09_Infant_TwistyGlasses,17,3,5,boundary,10475
HH09_Infant_TwistyGlasses,17,3,5,trial_offset,10537
CN14_Adult_StickyBall,18,3,6,grey_onset,10636
CN14_Adult_StickyBall,18,3,6,still_onset,10726
CN14_Adult_StickyBall,18,3,6,event_onset,10816
CN14_Adult_StickyBall,18,3,6,boundary,10904
CN14_Adult_StickyBall,18,3,6,trial_offset,11026
AL38_Adult_Slinky,19,4,1,grey_onset,11366
AL38_Adult_Slinky,19,4,1,still_onset,11456
AL38_Adult_Slinky,19,4,1,event_onset,11546
AL38_Adult_Slinky,19,4,1,boundary,11604
AL38_Adult_Slinky,19,4,1,trial_offset,11815
SF28_Infant_OballStacker,20,4,2,grey_onset,11915
SF28_Infant_OballStacker,20,4,2,still_onset,12005
SF28_Infant_OballStacker,20,4,2,event_onset,12095
SF28_Infant_OballStacker,20,4,2,boundary,12383
SF28_Infant_OballStacker,20,4,2,trial_offset,12455
SA03_Infant_GreenTube,21,4,3,grey_onset,12554
SA03_Infant_GreenTube,21,4,3,still_onset,12644
SA03_Infant_GreenTube,21,4,3,event_onset,12734
SA03_Infant_GreenTube,21,4,3,boundary,12856.0000001
SA03_Infant_GreenTube,21,4,3,trial_offset,13004
OH29_Adult_MassageRoller,22,4,4,grey_onset,13104
OH29_Adult_MassageRoller,22,4,4,still_onset,13194
OH29_Adult_MassageRoller,22,4,4,event_onset,13284
OH29_Adult_MassageRoller,22,4,4,boundary,13398
OH29_Adult_MassageRoller,22,4,4,trial_offset,13584
CN14_Adult_StickyBall,23,4,5,grey_onset,13682
CN14_Adult_StickyBall,23,4,5,still_onset,13772
CN14_Adult_StickyBall,23,4,5,event_onset,13862
CN14_Adult_StickyBall,23,4,5,boundary,13950
CN14_Adult_StickyBall,23,4,5,trial_offset,14072
HH09_Infant_TwistyGlasses,24,4,6,grey_onset,14171
HH09_Infant_TwistyGlasses,24,4,6,still_onset,14261
HH09_Infant_TwistyGlasses,24,4,6,event_onset,14351
HH09_Infant_TwistyGlasses,24,4,6,boundary,14469
HH09_Infant_TwistyGlasses,24,4,6,trial_offset,14531
SF28_Infant_OballStacker,25,5,1,grey_onset,14872
SF28_Infant_OballStacker,25,5,1,still_onset,14962
SF28_Infant_OballStacker,25,5,1,event_onset,15052
SF28_Infant_OballStacker,25,5,1,boundary,15340
SF28_Infant_OballStacker,25,5,1,trial_offset,15412
