vid,trial_number,block,inBlock_trial_number,event,frames_from_start
CN14_Adult_StickyBall,1,1,1,grey_onset,488
CN14_Adult_StickyBall,1,1,1,still_onset,578
CN14_Adult_StickyBall,1,1,1,event_onset,668
CN14_Adult_StickyBall,1,1,1,boundary,756
CN14_Adult_StickyBall,1,1,1,trial_offset,878
HH09_Infant_TwistyGlasses,2,1,2,grey_onset,983
HH09_Infant_TwistyGlasses,2,1,2,still_onset,1073
HH09_Infant_TwistyGlasses,2,1,2,event_onset,1163
HH09_Infant_TwistyGlasses,2,1,2,boundary,1281
HH09_Infant_TwistyGlasses,2,1,2,trial_offset,1343
SA03_Infant_GreenTube,3,1,3,grey_onset,1449
SA03_Infant_GreenTube,3,1,3,still_onset,1539
SA03_Infant_GreenTube,3,1,3,event_onset,1629
SA03_Infant_GreenTube,3,1,3,boundary,1751.0000001
SA03_Infant_GreenTube,3,1,3,trial_offset,1899
AL38_Adult_Slinky,4,1,4,grey_onset,2004
AL38_Adult_Slinky,4,1,4,still_onset,2094
AL38_Adult_Slinky,4,1,4,event_onset,2184
AL38_Adult_Slinky,4,1,4,boundary,2242
AL38_Adult_Slinky,4,1,4,trial_offset,2453
OH29_Adult_MassageRoller,5,1,5,grey_onset,2559
OH29_Adult_MassageRoller,5,1,5,still_onset,2649
OH29_Adult_MassageRoller,5,1,5,event_onset,2739
OH29_Adult_MassageRoller,5,1,5,boundary,2853
OH29_Adult_MassageRoller,5,1,5,trial_offset,3039
SF28_Infant_OballStacker,6,1,6,grey_onset,3149
SF28_Infant_OballStacker,6,1,6,still_onset,3239
SF28_Infant_OballStacker,6,1,6,event_onset,3329
SF28_Infant_OballStacker,6,1,6,boundary,3617
SF28_Infant_OballStacker,6,1,6,trial_offset,3689
HH09_Infant_TwistyGlasses,7,2,1,grey_onset,4038
HH09_Infant_TwistyGlasses,7,2,1,still_onset,4128
HH09_Infant_TwistyGlasses,7,2,1,event_onset,4218
HH09_Infant_TwistyGlasses,7,2,1,boundary,4336
HH09_Infant_TwistyGlasses,7,2,1,trial_offset,4398
CN14_Adult_StickyBall,8,2,2,grey_onset,4505
CN14_Adult_StickyBall,8,2,2,still_onset,4595
CN14_Adult_StickyBall,8,2,2,event_onset,4685
CN14_Adult_StickyBall,8,2,2,boundary,4773
CN14_Adult_StickyBall,8,2,2,trial_offset,4895
AL38_Adult_Slinky,9,2,3,grey_onset,5004
