vid,trial_number,block,inBlock_trial_number,event,frames_from_start
HH09_Infant_TwistyGlasses,1,1,1,grey_onset,400
HH09_Infant_TwistyGlasses,1,1,1,still_onset,490
HH09_Infant_TwistyGlasses,1,1,1,event_onset,580
HH09_Infant_TwistyGlasses,1,1,1,boundary,698
HH09_Infant_TwistyGlasses,1,1,1,trial_offset,760
AL38_Adult_Slinky,2,1,2,grey_onset,864
AL38_Adult_Slinky,2,1,2,still_onset,954
AL38_Adult_Slinky,2,1,2,event_onset,1044
AL38_Adult_Slinky,2,1,2,boundary,1102
AL38_Adult_Slinky,2,1,2,trial_offset,1313
CN14_Adult_StickyBall,3,1,3,grey_onset,1422
CN14_Adult_StickyBall,3,1,3,still_onset,1512
CN14_Adult_StickyBall,3,1,3,event_onset,1602
CN14_Adult_StickyBall,3,1,3,boundary,1690
CN14_Adult_StickyBall,3,1,3,trial_offset,1812
SF28_Infant_OballStacker,4,1,4,grey_onset,1917
SF28_Infant_OballStacker,4,1,4,still_onset,2007
SF28_Infant_OballStacker,4,1,4,event_onset,2097
SF28_Infant_OballStacker,4,1,4,boundary,2385
SF28_Infant_OballStacker,4,1,4,trial_offset,2457
SA03_Infant_GreenTube,5,1,5,grey_onset,2564
SA03_Infant_GreenTube,5,1,5,still_onset,2654
SA03_Infant_GreenTube,5,1,5,event_onset,2744
SA03_Infant_GreenTube,5,1,5,boundary,2866.0000001
SA03_Infant_GreenTube,5,1,5,trial_offset,3014
OH29_Adult_MassageRoller,6,1,6,grey_onset,3138
OH29_Adult_MassageRoller,6,1,6,still_onset,3228
OH29_Adult_MassageRoller,6,1,6,event_onset,3318
OH29_Adult_MassageRoller,6,1,6,boundary,3432
OH29_Adult_MassageRoller,6,1,6,trial_offset,3618
AL38_Adult_Slinky,7,2,1,grey_onset,3965
AL38_Adult_Slinky,7,2,1,still_onset,4055
AL38_Adult_Slinky,7,2,1,event_onset,4145
AL38_Adult_Slinky,7,2,1,boundary,4203
AL38_Adult_Slinky,7,2,1,trial_offset,4414
HH09_Infant_TwistyGlasses,8,2,2,grey_onset,4518
HH09_Infant_TwistyGlasses,8,2,2,still_onset,4608
HH09_Infant_TwistyGlasses,8,2,2,event_onset,4698
HH09_Infant_TwistyGlasses,8,2,2,boundary,4816
HH09_Infant_TwistyGlasses,8,2,2,trial_offset,4878
SF28_Infant_OballStacker,9,2,3,grey_onset,4986
SF28_Infant_OballStacker,9,2,3,still_onset,5076
SF28_Infant_OballStacker,9,2,3,event_onset,5166
SF28_Infant_OballStacker,9,2,3,boundary,5454
SF28_Infant_OballStacker,9,2,3,trial_offset,5526
