vid,trial_number,block,inBlock_trial_number,event,frames_from_start
CN14_Adult_StickyBall,1,1,1,grey_onset,1411
CN14_Adult_StickyBall,1,1,1,still_onset,1501
CN14_Adult_StickyBall,1,1,1,event_onset,1591
CN14_Adult_StickyBall,1,1,1,boundary,1679
CN14_Adult_StickyBall,1,1,1,trial_offset,1801
SF28_Infant_OballStacker,2,1,2,grey_onset,1903
SF28_Infant_OballStacker,2,1,2,still_onset,1993
SF28_Infant_OballStacker,2,1,2,event_onset,2083
SF28_Infant_OballStacker,2,1,2,boundary,2371
SF28_Infant_OballStacker,2,1,2,trial_offset,2443
HH09_Infant_TwistyGlasses,3,1,3,grey_onset,2543
HH09_Infant_TwistyGlasses,3,1,3,still_onset,2633
HH09_Infant_TwistyGlasses,3,1,3,event_onset,2723
HH09_Infant_TwistyGlasses,3,1,3,boundary,2841
HH09_Infant_TwistyGlasses,3,1,3,trial_offset,2903
OH29_Adult_MassageRoller,4,1,4,grey_onset,3004
OH29_Adult_MassageRoller,4,1,4,still_onset,3094
OH29_Adult_MassageRoller,4,1,4,event_onset,3184
OH29_Adult_MassageRoller,4,1,4,boundary,3298
OH29_Adult_MassageRoller,4,1,4,trial_offset,3484
AL38_Adult_Slinky,5,1,5,grey_onset,3584
AL38_Adult_Slinky,5,1,5,still_onset,3674
AL38_Adult_Slinky,5,1,5,event_onset,3764
AL38_Adult_Slinky,5,1,5,boundary,3822
AL38_Adult_Slinky,5,1,5,trial_offset,4033
SA03_Infant_GreenTube,6,1,6,grey_onset,4133
SA03_Infant_GreenTube,6,1,6,still_onset,4223
SA03_Infant_GreenTube,6,1,6,event_onset,4313
SA03_Infant_GreenTube,6,1,6,boundary,4435.0000001
SA03_Infant_GreenTube,6,1,6,trial_offset,4583
SF28_Infant_OballStacker,7,2,1,grey_onset,4924
SF28_Infant_OballStacker,7,2,1,still_onset,5014
SF28_Infant_OballStacker,7,2,1,event_onset,5104
SF28_Infant_OballStacker,7,2,1,boundary,5392
SF28_Infant_OballStacker,7,2,1,trial_offset,5464
CN14_Adult_StickyBall,8,2,2,grey_onset,5564
CN14_Adult_StickyBall,8,2,2,still_onset,5654
CN14_Adult_StickyBall,8,2,2,event_onset,5744
CN14_Adult_StickyBall,8,2,2,boundary,5832
CN14_Adult_StickyBall,8,2,2,trial_offset,5954
OH29_Adult_MassageRoller,9,2,3,grey_onset,6055
OH29_Adult_MassageRoller,9,2,3,still_onset,6145
OH29_Adult_MassageRoller,9,2,3,event_onset,6235
OH29_Adult_MassageRoller,9,2,3,boundary,6349
OH29_Adult_MassageRoller,9,2,3,trial_offset,6535
HH09_Infant_TwistyGlasses,10,2,4,grey_onset,6634
HH09_Infant_TwistyGlasses,10,2,4,still_onset,6724
HH09_Infant_TwistyGlasses,10,2,4,event_onset,6814
HH09_Infant_TwistyGlasses,10,2,4,boundary,6932
HH09_Infant_TwistyGlasses,10,2,4,trial_offset,6994
SA03_Infant_GreenTube,11,2,5,grey_onset,7095
SA03_Infant_GreenTube,11,2,5,still_onset,7185
SA03_Infant_GreenTube,11,2,5,event_onset,7275
SA03_Infant_GreenTube,11,2,5,boundary,7397.0000001
SA03_Infant_GreenTube,11,2,5,trial_offset,7545
AL38_Adult_Slinky,12,2,6,grey_onset,7645
AL38_Adult_Slinky,12,2,6,still_onset,7735
AL38_Adult_Slinky,12,2,6,event_onset,7825
AL38_Adult_Slinky,12,2,6,boundary,7883
AL38_Adult_Slinky,12,2,6,trial_offset,8094
CN14_Adult_StickyBall,13,3,1,grey_onset,8434
CN14_Adult_StickyBall,13,3,1,still_onset,8524
CN14_Adult_StickyBall,13,3,1,event_onset,8614
CN14_Adult_StickyBall,13,3,1,boundary,8702
