vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Infant_GreenTube,1,1,1,grey_onset,870
SA03_Infant_GreenTube,1,1,1,still_onset,960
SA03_Infant_GreenTube,1,1,1,event_onset,1050
SA03_Infant_GreenTube,1,1,1,boundary,1172.0000001
SA03_Infant_GreenTube,1,1,1,trial_offset,1320
CN14_Adult_StickyBall,2,1,2,grey_onset,1420
CN14_Adult_StickyBall,2,1,2,still_onset,1510
CN14_Adult_StickyBall,2,1,2,event_onset,1600
CN14_Adult_StickyBall,2,1,2,boundary,1688
CN14_Adult_StickyBall,2,1,2,trial_offset,1810
OH29_Adult_MassageRoller,3,1,3,grey_onset,1910
OH29_Adult_MassageRoller,3,1,3,still_onset,2e3
OH29_Adult_MassageRoller,3,1,3,event_onset,2090
OH29_Adult_MassageRoller,3,1,3,boundary,2204
OH29_Adult_MassageRoller,3,1,3,trial_offset,2390
HH09_Infant_TwistyGlasses,4,1,4,grey_onset,2490
HH09_Infant_TwistyGlasses,4,1,4,still_onset,2580
HH09_Infant_TwistyGlasses,4,1,4,event_onset,2670
HH09_Infant_TwistyGlasses,4,1,4,boundary,2788
HH09_Infant_TwistyGlasses,4,1,4,trial_offset,2850
SF28_Infant_OballStacker,5,1,5,grey_onset,2951
SF28_Infant_OballStacker,5,1,5,still_onset,3041
SF28_Infant_OballStacker,5,1,5,event_onset,3131
SF28_Infant_OballStacker,5,1,5,boundary,3419
SF28_Infant_OballStacker,5,1,5,trial_offset,3491
AL38_Adult_Slinky,6,1,6,grey_onset,3589
AL38_Adult_Slinky,6,1,6,still_onset,3679
AL38_Adult_Slinky,6,1,6,event_onset,3769
AL38_Adult_Slinky,6,1,6,boundary,3827
AL38_Adult_Slinky,6,1,6,trial_offset,4038
CN14_Adult_StickyBall,7,2,1,grey_onset,4378
CN14_Adult_StickyBall,7,2,1,still_onset,4468
CN14_Adult_StickyBall,7,2,1,event_onset,4558
CN14_Adult_StickyBall,7,2,1,boundary,4646
CN14_Adult_StickyBall,7,2,1,trial_offset,4768
SA03_Infant_GreenTube,8,2,2,grey_onset,4869
SA03_Infant_GreenTube,8,2,2,still_onset,4959
SA03_Infant_GreenTube,8,2,2,event_onset,5049
SA03_Infant_GreenTube,8,2,2,boundary,5171.0000001
SA03_Infant_GreenTube,8,2,2,trial_offset,5319
HH09_Infant_TwistyGlasses,9,2,3,grey_onset,5418
HH09_Infant_TwistyGlasses,9,2,3,still_onset,5508
HH09_Infant_TwistyGlasses,9,2,3,event_onset,5598
HH09_Infant_TwistyGlasses,9,2,3,boundary,5716
HH09_Infant_TwistyGlasses,9,2,3,trial_offset,5778
OH29_Adult_MassageRoller,10,2,4,grey_onset,5879
OH29_Adult_MassageRoller,10,2,4,still_onset,5969
OH29_Adult_MassageRoller,10,2,4,event_onset,6059
OH29_Adult_MassageRoller,10,2,4,boundary,6173
OH29_Adult_MassageRoller,10,2,4,trial_offset,6359
AL38_Adult_Slinky,11,2,5,grey_onset,6459
AL38_Adult_Slinky,11,2,5,still_onset,6549
AL38_Adult_Slinky,11,2,5,event_onset,6639
AL38_Adult_Slinky,11,2,5,boundary,6697
AL38_Adult_Slinky,11,2,5,trial_offset,6908
SF28_Infant_OballStacker,12,2,6,grey_onset,7009
SF28_Infant_OballStacker,12,2,6,still_onset,7099
SF28_Infant_OballStacker,12,2,6,event_onset,7189
SF28_Infant_OballStacker,12,2,6,boundary,7477
SF28_Infant_OballStacker,12,2,6,trial_offset,7549
SA03_Infant_GreenTube,13,3,1,grey_onset,7888
SA03_Infant_GreenTube,13,3,1,still_onset,7978
SA03_Infant_GreenTube,13,3,1,event_onset,8068
SA03_Infant_GreenTube,13,3,1,boundary,8190.0000001
SA03_Infant_GreenTube,13,3,1,trial_offset,8338
CN14_Adult_StickyBall,14,3,2,grey_onset,8438
CN14_Adult_StickyBall,14,3,2,still_onset,8528
CN14_Adult_StickyBall,14,3,2,event_onset,8618
CN14_Adult_StickyBall,14,3,2,boundary,8706
CN14_Adult_StickyBall,14,3,2,trial_offset,8828
OH29_Adult_MassageRoller,15,3,3,grey_onset,8929
OH29_Adult_MassageRoller,15,3,3,still_onset,9019
OH29_Adult_MassageRoller,15,3,3,event_onset,9109
OH29_Adult_MassageRoller,15,3,3,boundary,9223
OH29_Adult_MassageRoller,15,3,3,trial_offset,9409
HH09_Infant_TwistyGlasses,16,3,4,grey_onset,9510
HH09_Infant_TwistyGlasses,16,3,4,still_onset,9600
HH09_Infant_TwistyGlasses,16,3,4,event_onset,9690
HH09_Infant_TwistyGlasses,16,3,4,boundary,9808
HH09_Infant_TwistyGlasses,16,3,4,trial_offset,9870
SF28_Infant_OballStacker,17,3,5,grey_onset,9971
SF28_Infant_OballStacker,17,3,5,still_onset,10061
SF28_Infant_OballStacker,17,3,5,event_onset,10151
SF28_Infant_OballStacker,17,3,5,boundary,10439
SF28_Infant_OballStacker,17,3,5,trial_offset,10511
AL38_Adult_Slinky,18,3,6,grey_onset,10612
AL38_Adult_Slinky,18,3,6,still_onset,10702
AL38_Adult_Slinky,18,3,6,event_onset,10792
AL38_Adult_Slinky,18,3,6,boundary,10850
AL38_Adult_Slinky,18,3,6,trial_offset,11061
CN14_Adult_StickyBall,19,4,1,grey_onset,11404
CN14_Adult_StickyBall,19,4,1,still_onset,11494
CN14_Adult_StickyBall,19,4,1,event_onset,11584
CN14_Adult_StickyBall,19,4,1,boundary,11672
CN14_Adult_StickyBall,19,4,1,trial_offset,11794
SA03_Infant_GreenTube,20,4,2,grey_onset,11894
SA03_Infant_GreenTube,20,4,2,still_onset,11984
SA03_Infant_GreenTube,20,4,2,event_onset,12074
SA03_Infant_GreenTube,20,4,2,boundary,12196.0000001
SA03_Infant_GreenTube,20,4,2,trial_offset,12344
HH09_Infant_TwistyGlasses,21,4,3,grey_onset,12444
HH09_Infant_TwistyGlasses,21,4,3,still_onset,12534
HH09_Infant_TwistyGlasses,21,4,3,event_onset,12624
HH09_Infant_TwistyGlasses,21,4,3,boundary,12742
HH09_Infant_TwistyGlasses,21,4,3,trial_offset,12804
