vid,trial_number,block,inBlock_trial_number,event,frames_from_start
OH29_Adult_MassageRoller,1,1,1,grey_onset,600
OH29_Adult_MassageRoller,1,1,1,still_onset,690
OH29_Adult_MassageRoller,1,1,1,event_onset,780
OH29_Adult_MassageRoller,1,1,1,boundary,894
OH29_Adult_MassageRoller,1,1,1,trial_offset,1080
SF28_Infant_OballStacker,2,1,2,grey_onset,1190
SF28_Infant_OballStacker,2,1,2,still_onset,1280
SF28_Infant_OballStacker,2,1,2,event_onset,1370
SF28_Infant_OballStacker,2,1,2,boundary,1658
SF28_Infant_OballStacker,2,1,2,trial_offset,1730
HH09_Infant_TwistyGlasses,3,1,3,grey_onset,1840
HH09_Infant_TwistyGlasses,3,1,3,still_onset,1930
HH09_Infant_TwistyGlasses,3,1,3,event_onset,2020
HH09_Infant_TwistyGlasses,3,1,3,boundary,2138
HH09_Infant_TwistyGlasses,3,1,3,trial_offset,2200
CN14_Adult_StickyBall,4,1,4,grey_onset,2313
CN14_Adult_StickyBall,4,1,4,still_onset,2403
CN14_Adult_StickyBall,4,1,4,event_onset,2493
CN14_Adult_StickyBall,4,1,4,boundary,2581
CN14_Adult_StickyBall,4,1,4,trial_offset,2703
AL38_Adult_Slinky,5,1,5,grey_onset,2816
AL38_Adult_Slinky,5,1,5,still_onset,2906
AL38_Adult_Slinky,5,1,5,event_onset,2996
AL38_Adult_Slinky,5,1,5,boundary,3054
AL38_Adult_Slinky,5,1,5,trial_offset,3265
SA03_Infant_GreenTube,6,1,6,grey_onset,3377
SA03_Infant_GreenTube,6,1,6,still_onset,3467
SA03_Infant_GreenTube,6,1,6,event_onset,3557
SA03_Infant_GreenTube,6,1,6,boundary,3679.0000001
SA03_Infant_GreenTube,6,1,6,trial_offset,3827
SF28_Infant_OballStacker,7,2,1,grey_onset,4181
SF28_Infant_OballStacker,7,2,1,still_onset,4271
SF28_Infant_OballStacker,7,2,1,event_onset,4361
SF28_Infant_OballStacker,7,2,1,boundary,4649
SF28_Infant_OballStacker,7,2,1,trial_offset,4721
OH29_Adult_MassageRoller,8,2,2,grey_onset,4830
OH29_Adult_MassageRoller,8,2,2,still_onset,4920
OH29_Adult_MassageRoller,8,2,2,event_onset,5010
OH29_Adult_MassageRoller,8,2,2,boundary,5124
OH29_Adult_MassageRoller,8,2,2,trial_offset,5310
CN14_Adult_StickyBall,9,2,3,grey_onset,5425
CN14_Adult_StickyBall,9,2,3,still_onset,5515
CN14_Adult_StickyBall,9,2,3,event_onset,5605
CN14_Adult_StickyBall,9,2,3,boundary,5693
CN14_Adult_StickyBall,9,2,3,trial_offset,5815
HH09_Infant_TwistyGlasses,10,2,4,grey_onset,5928
HH09_Infant_TwistyGlasses,10,2,4,still_onset,6018
HH09_Infant_TwistyGlasses,10,2,4,event_onset,6108
HH09_Infant_TwistyGlasses,10,2,4,boundary,6226
HH09_Infant_TwistyGlasses,10,2,4,trial_offset,6288
SA03_Infant_GreenTube,11,2,5,grey_onset,6396
SA03_Infant_GreenTube,11,2,5,still_onset,6486
SA03_Infant_GreenTube,11,2,5,event_onset,6576
SA03_Infant_GreenTube,11,2,5,boundary,6698.0000001
SA03_Infant_GreenTube,11,2,5,trial_offset,6846
AL38_Adult_Slinky,12,2,6,grey_onset,6963
AL38_Adult_Slinky,12,2,6,still_onset,7053
AL38_Adult_Slinky,12,2,6,event_onset,7143
AL38_Adult_Slinky,12,2,6,boundary,7201
AL38_Adult_Slinky,12,2,6,trial_offset,7412
OH29_Adult_MassageRoller,13,3,1,grey_onset,7762
OH29_Adult_MassageRoller,13,3,1,still_onset,7852
OH29_Adult_MassageRoller,13,3,1,event_onset,7942
OH29_Adult_MassageRoller,13,3,1,boundary,8056
OH29_Adult_MassageRoller,13,3,1,trial_offset,8242
SF28_Infant_OballStacker,14,3,2,grey_onset,8352
SF28_Infant_OballStacker,14,3,2,still_onset,8442
SF28_Infant_OballStacker,14,3,2,event_onset,8532
SF28_Infant_OballStacker,14,3,2,boundary,8820
SF28_Infant_OballStacker,14,3,2,trial_offset,8892
HH09_Infant_TwistyGlasses,15,3,3,grey_onset,9001
HH09_Infant_TwistyGlasses,15,3,3,still_onset,9091
HH09_Infant_TwistyGlasses,15,3,3,event_onset,9181
HH09_Infant_TwistyGlasses,15,3,3,boundary,9299
HH09_Infant_TwistyGlasses,15,3,3,trial_offset,9361
CN14_Adult_StickyBall,16,3,4,grey_onset,9469
CN14_Adult_StickyBall,16,3,4,still_onset,9559
CN14_Adult_StickyBall,16,3,4,event_onset,9649
CN14_Adult_StickyBall,16,3,4,boundary,9737
CN14_Adult_StickyBall,16,3,4,trial_offset,9859
AL38_Adult_Slinky,17,3,5,grey_onset,9978
AL38_Adult_Slinky,17,3,5,still_onset,10068
AL38_Adult_Slinky,17,3,5,event_onset,10158
AL38_Adult_Slinky,17,3,5,boundary,10216
AL38_Adult_Slinky,17,3,5,trial_offset,10427
SA03_Infant_GreenTube,18,3,6,grey_onset,10551
SA03_Infant_GreenTube,18,3,6,still_onset,10641
