vid,trial_number,block,inBlock_trial_number,event,frames_from_start
OH29_Infant_MassageRoller,1,1,1,grey_onset,514
OH29_Infant_MassageRoller,1,1,1,still_onset,604
OH29_Infant_MassageRoller,1,1,1,event_onset,694
OH29_Infant_MassageRoller,1,1,1,boundary,812
OH29_Infant_MassageRoller,1,1,1,trial_offset,994
SA03_Adult_GreenTube,2,1,2,grey_onset,1095
SA03_Adult_GreenTube,2,1,2,still_onset,1185
SA03_Adult_GreenTube,2,1,2,event_onset,1275
SA03_Adult_GreenTube,2,1,2,boundary,1449
SA03_Adult_GreenTube,2,1,2,trial_offset,1545
SF28_Adult_OballStacker,3,1,3,grey_onset,1647
SF28_Adult_OballStacker,3,1,3,still_onset,1737
SF28_Adult_OballStacker,3,1,3,event_onset,1827
SF28_Adult_OballStacker,3,1,3,boundary,2120.0000001
SF28_Adult_OballStacker,3,1,3,trial_offset,2187
AL38_Infant_Slinky,4,1,4,grey_onset,2289
AL38_Infant_Slinky,4,1,4,still_onset,2379
AL38_Infant_Slinky,4,1,4,event_onset,2469
AL38_Infant_Slinky,4,1,4,boundary,2529
AL38_Infant_Slinky,4,1,4,trial_offset,2738
CN14_Infant_StickyBall,5,1,5,grey_onset,2836
CN14_Infant_StickyBall,5,1,5,still_onset,2926
CN14_Infant_StickyBall,5,1,5,event_onset,3016
CN14_Infant_StickyBall,5,1,5,boundary,3105
CN14_Infant_StickyBall,5,1,5,trial_offset,3226
HH09_Adult_TwistyGlasses,6,1,6,grey_onset,3326
HH09_Adult_TwistyGlasses,6,1,6,still_onset,3416
HH09_Adult_TwistyGlasses,6,1,6,event_onset,3506
HH09_Adult_TwistyGlasses,6,1,6,boundary,3614
HH09_Adult_TwistyGlasses,6,1,6,trial_offset,3686
SA03_Adult_GreenTube,7,2,1,grey_onset,4027
SA03_Adult_GreenTube,7,2,1,still_onset,4117
SA03_Adult_GreenTube,7,2,1,event_onset,4207
SA03_Adult_GreenTube,7,2,1,boundary,4381
SA03_Adult_GreenTube,7,2,1,trial_offset,4477
OH29_Infant_MassageRoller,8,2,2,grey_onset,4577
OH29_Infant_MassageRoller,8,2,2,still_onset,4667
OH29_Infant_MassageRoller,8,2,2,event_onset,4757
OH29_Infant_MassageRoller,8,2,2,boundary,4875
OH29_Infant_MassageRoller,8,2,2,trial_offset,5057
AL38_Infant_Slinky,9,2,3,grey_onset,5159
AL38_Infant_Slinky,9,2,3,still_onset,5249
AL38_Infant_Slinky,9,2,3,event_onset,5339
AL38_Infant_Slinky,9,2,3,boundary,5399
AL38_Infant_Slinky,9,2,3,trial_offset,5608
SF28_Adult_OballStacker,10,2,4,grey_onset,5708
SF28_Adult_OballStacker,10,2,4,still_onset,5798
SF28_Adult_OballStacker,10,2,4,event_onset,5888
SF28_Adult_OballStacker,10,2,4,boundary,6181.0000001
SF28_Adult_OballStacker,10,2,4,trial_offset,6248
HH09_Adult_TwistyGlasses,11,2,5,grey_onset,6349
HH09_Adult_TwistyGlasses,11,2,5,still_onset,6439
HH09_Adult_TwistyGlasses,11,2,5,event_onset,6529
HH09_Adult_TwistyGlasses,11,2,5,boundary,6637
HH09_Adult_TwistyGlasses,11,2,5,trial_offset,6709
CN14_Infant_StickyBall,12,2,6,grey_onset,6809
CN14_Infant_StickyBall,12,2,6,still_onset,6899
CN14_Infant_StickyBall,12,2,6,event_onset,6989
CN14_Infant_StickyBall,12,2,6,boundary,7078
CN14_Infant_StickyBall,12,2,6,trial_offset,7199
OH29_Infant_MassageRoller,13,3,1,grey_onset,7540
OH29_Infant_MassageRoller,13,3,1,still_onset,7630
OH29_Infant_MassageRoller,13,3,1,event_onset,7720
OH29_Infant_MassageRoller,13,3,1,boundary,7838
OH29_Infant_MassageRoller,13,3,1,trial_offset,8020
SA03_Adult_GreenTube,14,3,2,grey_onset,8119
SA03_Adult_GreenTube,14,3,2,still_onset,8209
SA03_Adult_GreenTube,14,3,2,event_onset,8299
SA03_Adult_GreenTube,14,3,2,boundary,8473
SA03_Adult_GreenTube,14,3,2,trial_offset,8569
SF28_Adult_OballStacker,15,3,3,grey_onset,8671
SF28_Adult_OballStacker,15,3,3,still_onset,8761
SF28_Adult_OballStacker,15,3,3,event_onset,8851
SF28_Adult_OballStacker,15,3,3,boundary,9144.0000001
SF28_Adult_OballStacker,15,3,3,trial_offset,9211
AL38_Infant_Slinky,16,3,4,grey_onset,9313
