vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Infant_GreenTube,1,1,1,grey_onset,752
SA03_Infant_GreenTube,1,1,1,still_onset,842
SA03_Infant_GreenTube,1,1,1,event_onset,932
SA03_Infant_GreenTube,1,1,1,boundary,1054.0000001
SA03_Infant_GreenTube,1,1,1,trial_offset,1202
AL38_Adult_Slinky,2,1,2,grey_onset,1301
AL38_Adult_Slinky,2,1,2,still_onset,1391
AL38_Adult_Slinky,2,1,2,event_onset,1481
AL38_Adult_Slinky,2,1,2,boundary,1539
AL38_Adult_Slinky,2,1,2,trial_offset,1750
OH29_Adult_MassageRoller,3,1,3,grey_onset,1851
OH29_Adult_MassageRoller,3,1,3,still_onset,1941
OH29_Adult_MassageRoller,3,1,3,event_onset,2031
OH29_Adult_MassageRoller,3,1,3,boundary,2145
OH29_Adult_MassageRoller,3,1,3,trial_offset,2331
SF28_Infant_OballStacker,4,1,4,grey_onset,2430
SF28_Infant_OballStacker,4,1,4,still_onset,2520
SF28_Infant_OballStacker,4,1,4,event_onset,2610
SF28_Infant_OballStacker,4,1,4,boundary,2898
SF28_Infant_OballStacker,4,1,4,trial_offset,2970
HH09_Infant_TwistyGlasses,5,1,5,grey_onset,3069
HH09_Infant_TwistyGlasses,5,1,5,still_onset,3159
HH09_Infant_TwistyGlasses,5,1,5,event_onset,3249
HH09_Infant_TwistyGlasses,5,1,5,boundary,3367
HH09_Infant_TwistyGlasses,5,1,5,trial_offset,3429
CN14_Adult_StickyBall,6,1,6,grey_onset,3527
CN14_Adult_StickyBall,6,1,6,still_onset,3617
CN14_Adult_StickyBall,6,1,6,event_onset,3707
CN14_Adult_StickyBall,6,1,6,boundary,3795
CN14_Adult_StickyBall,6,1,6,trial_offset,3917
AL38_Adult_Slinky,7,2,1,grey_onset,4256
AL38_Adult_Slinky,7,2,1,still_onset,4346
AL38_Adult_Slinky,7,2,1,event_onset,4436
AL38_Adult_Slinky,7,2,1,boundary,4494
AL38_Adult_Slinky,7,2,1,trial_offset,4705
SA03_Infant_GreenTube,8,2,2,grey_onset,4805
SA03_Infant_GreenTube,8,2,2,still_onset,4895
SA03_Infant_GreenTube,8,2,2,event_onset,4985
SA03_Infant_GreenTube,8,2,2,boundary,5107.0000001
SA03_Infant_GreenTube,8,2,2,trial_offset,5255
SF28_Infant_OballStacker,9,2,3,grey_onset,5354
SF28_Infant_OballStacker,9,2,3,still_onset,5444
SF28_Infant_OballStacker,9,2,3,event_onset,5534
SF28_Infant_OballStacker,9,2,3,boundary,5822
SF28_Infant_OballStacker,9,2,3,trial_offset,5894
OH29_Adult_MassageRoller,10,2,4,grey_onset,5995
OH29_Adult_MassageRoller,10,2,4,still_onset,6085
OH29_Adult_MassageRoller,10,2,4,event_onset,6175
OH29_Adult_MassageRoller,10,2,4,boundary,6289
OH29_Adult_MassageRoller,10,2,4,trial_offset,6475
CN14_Adult_StickyBall,11,2,5,grey_onset,6574
CN14_Adult_StickyBall,11,2,5,still_onset,6664
CN14_Adult_StickyBall,11,2,5,event_onset,6754
CN14_Adult_StickyBall,11,2,5,boundary,6842
CN14_Adult_StickyBall,11,2,5,trial_offset,6964
HH09_Infant_TwistyGlasses,12,2,6,grey_onset,7064
HH09_Infant_TwistyGlasses,12,2,6,still_onset,7154
HH09_Infant_TwistyGlasses,12,2,6,event_onset,7244
HH09_Infant_TwistyGlasses,12,2,6,boundary,7362
HH09_Infant_TwistyGlasses,12,2,6,trial_offset,7424
SA03_Infant_GreenTube,13,3,1,grey_onset,7764
SA03_Infant_GreenTube,13,3,1,still_onset,7854
SA03_Infant_GreenTube,13,3,1,event_onset,7944
SA03_Infant_GreenTube,13,3,1,boundary,8066.0000001
SA03_Infant_GreenTube,13,3,1,trial_offset,8214
AL38_Adult_Slinky,14,3,2,grey_onset,8313
AL38_Adult_Slinky,14,3,2,still_onset,8403
AL38_Adult_Slinky,14,3,2,event_onset,8493
AL38_Adult_Slinky,14,3,2,boundary,8551
AL38_Adult_Slinky,14,3,2,trial_offset,8762
OH29_Adult_MassageRoller,15,3,3,grey_onset,8861
OH29_Adult_MassageRoller,15,3,3,still_onset,8951
OH29_Adult_MassageRoller,15,3,3,event_onset,9041
OH29_Adult_MassageRoller,15,3,3,boundary,9155
OH29_Adult_MassageRoller,15,3,3,trial_offset,9341
SF28_Infant_OballStacker,16,3,4,grey_onset,9442
SF28_Infant_OballStacker,16,3,4,still_onset,9532
SF28_Infant_OballStacker,16,3,4,event_onset,9622
SF28_Infant_OballStacker,16,3,4,boundary,9910
SF28_Infant_OballStacker,16,3,4,trial_offset,9982
HH09_Infant_TwistyGlasses,17,3,5,grey_onset,10081
HH09_Infant_TwistyGlasses,17,3,5,still_onset,10171
HH09_Infant_TwistyGlasses,17,3,5,event_onset,10261
HH09_Infant_TwistyGlasses,17,3,5,boundary,10379
HH09_Infant_TwistyGlasses,17,3,5,trial_offset,10441
CN14_Adult_StickyBall,18,3,6,grey_onset,10539
CN14_Adult_StickyBall,18,3,6,still_onset,10629
CN14_Adult_StickyBall,18,3,6,event_onset,10719
CN14_Adult_StickyBall,18,3,6,boundary,10807
CN14_Adult_StickyBall,18,3,6,trial_offset,10929
AL38_Adult_Slinky,19,4,1,grey_onset,11270
AL38_Adult_Slinky,19,4,1,still_onset,11360
AL38_Adult_Slinky,19,4,1,event_onset,11450
AL38_Adult_Slinky,19,4,1,boundary,11508
AL38_Adult_Slinky,19,4,1,trial_offset,11719
SA03_Infant_GreenTube,20,4,2,grey_onset,11818
SA03_Infant_GreenTube,20,4,2,still_onset,11908
SA03_Infant_GreenTube,20,4,2,event_onset,11998
SA03_Infant_GreenTube,20,4,2,boundary,12120.0000001
SA03_Infant_GreenTube,20,4,2,trial_offset,12268
SF28_Infant_OballStacker,21,4,3,grey_onset,12368
SF28_Infant_OballStacker,21,4,3,still_onset,12458
SF28_Infant_OballStacker,21,4,3,event_onset,12548
SF28_Infant_OballStacker,21,4,3,boundary,12836
SF28_Infant_OballStacker,21,4,3,trial_offset,12908
OH29_Adult_MassageRoller,22,4,4,grey_onset,13008
OH29_Adult_MassageRoller,22,4,4,still_onset,13098
OH29_Adult_MassageRoller,22,4,4,event_onset,13188
OH29_Adult_MassageRoller,22,4,4,boundary,13302
OH29_Adult_MassageRoller,22,4,4,trial_offset,13488
CN14_Adult_StickyBall,23,4,5,grey_onset,13586
CN14_Adult_StickyBall,23,4,5,still_onset,13676
CN14_Adult_StickyBall,23,4,5,event_onset,13766
CN14_Adult_StickyBall,23,4,5,boundary,13854
CN14_Adult_StickyBall,23,4,5,trial_offset,13976
HH09_Infant_TwistyGlasses,24,4,6,grey_onset,14075
HH09_Infant_TwistyGlasses,24,4,6,still_onset,14165
HH09_Infant_TwistyGlasses,24,4,6,event_onset,14255
HH09_Infant_TwistyGlasses,24,4,6,boundary,14373
HH09_Infant_TwistyGlasses,24,4,6,trial_offset,14435
SA03_Infant_GreenTube,25,5,1,grey_onset,14776
SA03_Infant_GreenTube,25,5,1,still_onset,14866
SA03_Infant_GreenTube,25,5,1,event_onset,14956
SA03_Infant_GreenTube,25,5,1,boundary,15078.0000001
SA03_Infant_GreenTube,25,5,1,trial_offset,15226
AL38_Adult_Slinky,26,5,2,grey_onset,15324
AL38_Adult_Slinky,26,5,2,still_onset,15414
AL38_Adult_Slinky,26,5,2,event_onset,15504
AL38_Adult_Slinky,26,5,2,boundary,15562
AL38_Adult_Slinky,26,5,2,trial_offset,15773
OH29_Adult_MassageRoller,27,5,3,grey_onset,15873
OH29_Adult_MassageRoller,27,5,3,still_onset,15963
