vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Infant_Slinky,1,1,1,grey_onset,845
AL38_Infant_Slinky,1,1,1,still_onset,935
AL38_Infant_Slinky,1,1,1,event_onset,1025
AL38_Infant_Slinky,1,1,1,boundary,1085
AL38_Infant_Slinky,1,1,1,trial_offset,1294
SA03_Adult_GreenTube,2,1,2,grey_onset,1395
SA03_Adult_GreenTube,2,1,2,still_onset,1485
SA03_Adult_GreenTube,2,1,2,event_onset,1575
SA03_Adult_GreenTube,2,1,2,boundary,1749
SA03_Adult_GreenTube,2,1,2,trial_offset,1845
SF28_Adult_OballStacker,3,1,3,grey_onset,1946
SF28_Adult_OballStacker,3,1,3,still_onset,2036
SF28_Adult_OballStacker,3,1,3,event_onset,2126
SF28_Adult_OballStacker,3,1,3,boundary,2419.0000001
SF28_Adult_OballStacker,3,1,3,trial_offset,2486
OH29_Infant_MassageRoller,4,1,4,grey_onset,2587
OH29_Infant_MassageRoller,4,1,4,still_onset,2677
OH29_Infant_MassageRoller,4,1,4,event_onset,2767
OH29_Infant_MassageRoller,4,1,4,boundary,2885
OH29_Infant_MassageRoller,4,1,4,trial_offset,3067
CN14_Infant_StickyBall,5,1,5,grey_onset,3167
CN14_Infant_StickyBall,5,1,5,still_onset,3257
CN14_Infant_StickyBall,5,1,5,event_onset,3347
CN14_Infant_StickyBall,5,1,5,boundary,3436
CN14_Infant_StickyBall,5,1,5,trial_offset,3557
HH09_Adult_TwistyGlasses,6,1,6,grey_onset,3657
HH09_Adult_TwistyGlasses,6,1,6,still_onset,3747
HH09_Adult_TwistyGlasses,6,1,6,event_onset,3837
HH09_Adult_TwistyGlasses,6,1,6,boundary,3945
HH09_Adult_TwistyGlasses,6,1,6,trial_offset,4017
SA03_Adult_GreenTube,7,2,1,grey_onset,4357
SA03_Adult_GreenTube,7,2,1,still_onset,4447
SA03_Adult_GreenTube,7,2,1,event_onset,4537
SA03_Adult_GreenTube,7,2,1,boundary,4711
SA03_Adult_GreenTube,7,2,1,trial_offset,4807
AL38_Infant_Slinky,8,2,2,grey_onset,4908
AL38_Infant_Slinky,8,2,2,still_onset,4998
