vid,trial_number,block,inBlock_trial_number,event,frames_from_start
AL38_Infant_Slinky,1,1,1,grey_onset,597
AL38_Infant_Slinky,1,1,1,still_onset,687
AL38_Infant_Slinky,1,1,1,event_onset,777
AL38_Infant_Slinky,1,1,1,boundary,837
AL38_Infant_Slinky,1,1,1,trial_offset,1046
SF28_Adult_OballStacker,2,1,2,grey_onset,1148
SF28_Adult_OballStacker,2,1,2,still_onset,1238
SF28_Adult_OballStacker,2,1,2,event_onset,1328
SF28_Adult_OballStacker,2,1,2,boundary,1621.0000001
SF28_Adult_OballStacker,2,1,2,trial_offset,1688
SA03_Adult_GreenTube,3,1,3,grey_onset,1790
SA03_Adult_GreenTube,3,1,3,still_onset,1880
SA03_Adult_GreenTube,3,1,3,event_onset,1970
SA03_Adult_GreenTube,3,1,3,boundary,2144
SA03_Adult_GreenTube,3,1,3,trial_offset,2240
OH29_Infant_MassageRoller,4,1,4,grey_onset,2341
OH29_Infant_MassageRoller,4,1,4,still_onset,2431
OH29_Infant_MassageRoller,4,1,4,event_onset,2521
OH29_Infant_MassageRoller,4,1,4,boundary,2639
OH29_Infant_MassageRoller,4,1,4,trial_offset,2821
CN14_Infant_StickyBall,5,1,5,grey_onset,2922
CN14_Infant_StickyBall,5,1,5,still_onset,3012
CN14_Infant_StickyBall,5,1,5,event_onset,3102
CN14_Infant_StickyBall,5,1,5,boundary,3191
CN14_Infant_StickyBall,5,1,5,trial_offset,3312
HH09_Adult_TwistyGlasses,6,1,6,grey_onset,3413
HH09_Adult_TwistyGlasses,6,1,6,still_onset,3503
HH09_Adult_TwistyGlasses,6,1,6,event_onset,3593
HH09_Adult_TwistyGlasses,6,1,6,boundary,3701
HH09_Adult_TwistyGlasses,6,1,6,trial_offset,3773
SF28_Adult_OballStacker,7,2,1,grey_onset,4114
SF28_Adult_OballStacker,7,2,1,still_onset,4204
SF28_Adult_OballStacker,7,2,1,event_onset,4294
SF28_Adult_OballStacker,7,2,1,boundary,4587.0000001
SF28_Adult_OballStacker,7,2,1,trial_offset,4654
AL38_Infant_Slinky,8,2,2,grey_onset,4756
AL38_Infant_Slinky,8,2,2,still_onset,4846
AL38_Infant_Slinky,8,2,2,event_onset,4936
AL38_Infant_Slinky,8,2,2,boundary,4996
AL38_Infant_Slinky,8,2,2,trial_offset,5205
OH29_Infant_MassageRoller,9,2,3,grey_onset,5305
OH29_Infant_MassageRoller,9,2,3,still_onset,5395
OH29_Infant_MassageRoller,9,2,3,event_onset,5485
OH29_Infant_MassageRoller,9,2,3,boundary,5603
OH29_Infant_MassageRoller,9,2,3,trial_offset,5785
SA03_Adult_GreenTube,10,2,4,grey_onset,5886
SA03_Adult_GreenTube,10,2,4,still_onset,5976
SA03_Adult_GreenTube,10,2,4,event_onset,6066
SA03_Adult_GreenTube,10,2,4,boundary,6240
SA03_Adult_GreenTube,10,2,4,trial_offset,6336
HH09_Adult_TwistyGlasses,11,2,5,grey_onset,6437
HH09_Adult_TwistyGlasses,11,2,5,still_onset,6527
HH09_Adult_TwistyGlasses,11,2,5,event_onset,6617
HH09_Adult_TwistyGlasses,11,2,5,boundary,6725
HH09_Adult_TwistyGlasses,11,2,5,trial_offset,6797
CN14_Infant_StickyBall,12,2,6,grey_onset,6897
CN14_Infant_StickyBall,12,2,6,still_onset,6987
CN14_Infant_StickyBall,12,2,6,event_onset,7077
CN14_Infant_StickyBall,12,2,6,boundary,7166
CN14_Infant_StickyBall,12,2,6,trial_offset,7287
AL38_Infant_Slinky,13,3,1,grey_onset,7629
AL38_Infant_Slinky,13,3,1,still_onset,7719
AL38_Infant_Slinky,13,3,1,event_onset,7809
AL38_Infant_Slinky,13,3,1,boundary,7869
AL38_Infant_Slinky,13,3,1,trial_offset,8078
SF28_Adult_OballStacker,14,3,2,grey_onset,8179
SF28_Adult_OballStacker,14,3,2,still_onset,8269
SF28_Adult_OballStacker,14,3,2,event_onset,8359
SF28_Adult_OballStacker,14,3,2,boundary,8652.0000001
SF28_Adult_OballStacker,14,3,2,trial_offset,8719
SA03_Adult_GreenTube,15,3,3,grey_onset,8820
SA03_Adult_GreenTube,15,3,3,still_onset,8910
SA03_Adult_GreenTube,15,3,3,event_onset,9e3
SA03_Adult_GreenTube,15,3,3,boundary,9174
SA03_Adult_GreenTube,15,3,3,trial_offset,9270
OH29_Infant_MassageRoller,16,3,4,grey_onset,9371
OH29_Infant_MassageRoller,16,3,4,still_onset,9461
OH29_Infant_MassageRoller,16,3,4,event_onset,9551
OH29_Infant_MassageRoller,16,3,4,boundary,9669
OH29_Infant_MassageRoller,16,3,4,trial_offset,9851
CN14_Infant_StickyBall,17,3,5,grey_onset,9952
CN14_Infant_StickyBall,17,3,5,still_onset,10042
CN14_Infant_StickyBall,17,3,5,event_onset,10132
CN14_Infant_StickyBall,17,3,5,boundary,10221
CN14_Infant_StickyBall,17,3,5,trial_offset,10342
HH09_Adult_TwistyGlasses,18,3,6,grey_onset,10442
HH09_Adult_TwistyGlasses,18,3,6,still_onset,10532
HH09_Adult_TwistyGlasses,18,3,6,event_onset,10622
HH09_Adult_TwistyGlasses,18,3,6,boundary,10730
HH09_Adult_TwistyGlasses,18,3,6,trial_offset,10802
SF28_Adult_OballStacker,19,4,1,grey_onset,11145
SF28_Adult_OballStacker,19,4,1,still_onset,11235
SF28_Adult_OballStacker,19,4,1,event_onset,11325
SF28_Adult_OballStacker,19,4,1,boundary,11618.0000001
SF28_Adult_OballStacker,19,4,1,trial_offset,11685
AL38_Infant_Slinky,20,4,2,grey_onset,11788
AL38_Infant_Slinky,20,4,2,still_onset,11878
AL38_Infant_Slinky,20,4,2,event_onset,11968
AL38_Infant_Slinky,20,4,2,boundary,12028
AL38_Infant_Slinky,20,4,2,trial_offset,12237
OH29_Infant_MassageRoller,21,4,3,grey_onset,12338
OH29_Infant_MassageRoller,21,4,3,still_onset,12428
OH29_Infant_MassageRoller,21,4,3,event_onset,12518
OH29_Infant_MassageRoller,21,4,3,boundary,12636
OH29_Infant_MassageRoller,21,4,3,trial_offset,12818
SA03_Adult_GreenTube,22,4,4,grey_onset,12919
SA03_Adult_GreenTube,22,4,4,still_onset,13009
SA03_Adult_GreenTube,22,4,4,event_onset,13099
SA03_Adult_GreenTube,22,4,4,boundary,13273
SA03_Adult_GreenTube,22,4,4,trial_offset,13369
HH09_Adult_TwistyGlasses,23,4,5,grey_onset,13470
HH09_Adult_TwistyGlasses,23,4,5,still_onset,13560
HH09_Adult_TwistyGlasses,23,4,5,event_onset,13650
HH09_Adult_TwistyGlasses,23,4,5,boundary,13758
HH09_Adult_TwistyGlasses,23,4,5,trial_offset,13830
CN14_Infant_StickyBall,24,4,6,grey_onset,13930
CN14_Infant_StickyBall,24,4,6,still_onset,14020
CN14_Infant_StickyBall,24,4,6,event_onset,14110
CN14_Infant_StickyBall,24,4,6,boundary,14199
CN14_Infant_StickyBall,24,4,6,trial_offset,14320
AL38_Infant_Slinky,25,5,1,grey_onset,14663
AL38_Infant_Slinky,25,5,1,still_onset,14753
AL38_Infant_Slinky,25,5,1,event_onset,14843
AL38_Infant_Slinky,25,5,1,boundary,14903
AL38_Infant_Slinky,25,5,1,trial_offset,15112
SF28_Adult_OballStacker,26,5,2,grey_onset,15213
SF28_Adult_OballStacker,26,5,2,still_onset,15303
SF28_Adult_OballStacker,26,5,2,event_onset,15393
SF28_Adult_OballStacker,26,5,2,boundary,15686.0000001
SF28_Adult_OballStacker,26,5,2,trial_offset,15753
SA03_Adult_GreenTube,27,5,3,grey_onset,15855
SA03_Adult_GreenTube,27,5,3,still_onset,15945
SA03_Adult_GreenTube,27,5,3,event_onset,16035
SA03_Adult_GreenTube,27,5,3,boundary,16209
SA03_Adult_GreenTube,27,5,3,trial_offset,16305
OH29_Infant_MassageRoller,28,5,4,grey_onset,16406
OH29_Infant_MassageRoller,28,5,4,still_onset,16496
OH29_Infant_MassageRoller,28,5,4,event_onset,16586
OH29_Infant_MassageRoller,28,5,4,boundary,16704
OH29_Infant_MassageRoller,28,5,4,trial_offset,16886
CN14_Infant_StickyBall,29,5,5,grey_onset,16986
CN14_Infant_StickyBall,29,5,5,still_onset,17076
CN14_Infant_StickyBall,29,5,5,event_onset,17166
CN14_Infant_StickyBall,29,5,5,boundary,17255
CN14_Infant_StickyBall,29,5,5,trial_offset,17376
HH09_Adult_TwistyGlasses,30,5,6,grey_onset,17476
HH09_Adult_TwistyGlasses,30,5,6,still_onset,17566
HH09_Adult_TwistyGlasses,30,5,6,event_onset,17656
HH09_Adult_TwistyGlasses,30,5,6,boundary,17764
HH09_Adult_TwistyGlasses,30,5,6,trial_offset,17836
SF28_Adult_OballStacker,31,6,1,grey_onset,18179
SF28_Adult_OballStacker,31,6,1,still_onset,18269
SF28_Adult_OballStacker,31,6,1,event_onset,18359
SF28_Adult_OballStacker,31,6,1,boundary,18652.0000001
SF28_Adult_OballStacker,31,6,1,trial_offset,18719
AL38_Infant_Slinky,32,6,2,grey_onset,18821
AL38_Infant_Slinky,32,6,2,still_onset,18911
AL38_Infant_Slinky,32,6,2,event_onset,19001
AL38_Infant_Slinky,32,6,2,boundary,19061
AL38_Infant_Slinky,32,6,2,trial_offset,19270
OH29_Infant_MassageRoller,33,6,3,grey_onset,19371
OH29_Infant_MassageRoller,33,6,3,still_onset,19461
OH29_Infant_MassageRoller,33,6,3,event_onset,19551
OH29_Infant_MassageRoller,33,6,3,boundary,19669
OH29_Infant_MassageRoller,33,6,3,trial_offset,19851
SA03_Adult_GreenTube,34,6,4,grey_onset,19952
SA03_Adult_GreenTube,34,6,4,still_onset,20042
SA03_Adult_GreenTube,34,6,4,event_onset,20132
SA03_Adult_GreenTube,34,6,4,boundary,20306
SA03_Adult_GreenTube,34,6,4,trial_offset,20402
