vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Adult_GreenTube,1,1,1,grey_onset,395
SA03_Adult_GreenTube,1,1,1,still_onset,485
SA03_Adult_GreenTube,1,1,1,event_onset,575
SA03_Adult_GreenTube,1,1,1,boundary,749
SA03_Adult_GreenTube,1,1,1,trial_offset,845
AL38_Infant_Slinky,2,1,2,grey_onset,947
AL38_Infant_Slinky,2,1,2,still_onset,1037
AL38_Infant_Slinky,2,1,2,event_onset,1127
AL38_Infant_Slinky,2,1,2,boundary,1187
AL38_Infant_Slinky,2,1,2,trial_offset,1396
CN14_Infant_StickyBall,3,1,3,grey_onset,1496
CN14_Infant_StickyBall,3,1,3,still_onset,1586
CN14_Infant_StickyBall,3,1,3,event_onset,1676
CN14_Infant_StickyBall,3,1,3,boundary,1765
CN14_Infant_StickyBall,3,1,3,trial_offset,1886
SF28_Adult_OballStacker,4,1,4,grey_onset,1987
SF28_Adult_OballStacker,4,1,4,still_onset,2077
SF28_Adult_OballStacker,4,1,4,event_onset,2167
SF28_Adult_OballStacker,4,1,4,boundary,2460.0000001
SF28_Adult_OballStacker,4,1,4,trial_offset,2527
HH09_Adult_TwistyGlasses,5,1,5,grey_onset,2627
HH09_Adult_TwistyGlasses,5,1,5,still_onset,2717
HH09_Adult_TwistyGlasses,5,1,5,event_onset,2807
HH09_Adult_TwistyGlasses,5,1,5,boundary,2915
HH09_Adult_TwistyGlasses,5,1,5,trial_offset,2987
OH29_Infant_MassageRoller,6,1,6,grey_onset,3087
OH29_Infant_MassageRoller,6,1,6,still_onset,3177
OH29_Infant_MassageRoller,6,1,6,event_onset,3267
OH29_Infant_MassageRoller,6,1,6,boundary,3385
OH29_Infant_MassageRoller,6,1,6,trial_offset,3567
AL38_Infant_Slinky,7,2,1,grey_onset,3910
AL38_Infant_Slinky,7,2,1,still_onset,4e3
AL38_Infant_Slinky,7,2,1,event_onset,4090
AL38_Infant_Slinky,7,2,1,boundary,4150
AL38_Infant_Slinky,7,2,1,trial_offset,4359
SA03_Adult_GreenTube,8,2,2,grey_onset,4460
SA03_Adult_GreenTube,8,2,2,still_onset,4550
SA03_Adult_GreenTube,8,2,2,event_onset,4640
SA03_Adult_GreenTube,8,2,2,boundary,4814
SA03_Adult_GreenTube,8,2,2,trial_offset,4910
SF28_Adult_OballStacker,9,2,3,grey_onset,5011
SF28_Adult_OballStacker,9,2,3,still_onset,5101
SF28_Adult_OballStacker,9,2,3,event_onset,5191
SF28_Adult_OballStacker,9,2,3,boundary,5484.0000001
SF28_Adult_OballStacker,9,2,3,trial_offset,5551
CN14_Infant_StickyBall,10,2,4,grey_onset,5651
CN14_Infant_StickyBall,10,2,4,still_onset,5741
