vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SF28_Adult_OballStacker,1,1,1,grey_onset,405
SF28_Adult_OballStacker,1,1,1,still_onset,495
SF28_Adult_OballStacker,1,1,1,event_onset,585
SF28_Adult_OballStacker,1,1,1,boundary,878.0000001
SF28_Adult_OballStacker,1,1,1,trial_offset,945
CN14_Infant_StickyBall,2,1,2,grey_onset,1045
CN14_Infant_StickyBall,2,1,2,still_onset,1135
CN14_Infant_StickyBall,2,1,2,event_onset,1225
CN14_Infant_StickyBall,2,1,2,boundary,1314
CN14_Infant_StickyBall,2,1,2,trial_offset,1435
AL38_Infant_Slinky,3,1,3,grey_onset,1535
AL38_Infant_Slinky,3,1,3,still_onset,1625
AL38_Infant_Slinky,3,1,3,event_onset,1715
AL38_Infant_Slinky,3,1,3,boundary,1775
AL38_Infant_Slinky,3,1,3,trial_offset,1984
SA03_Adult_GreenTube,4,1,4,grey_onset,2085
SA03_Adult_GreenTube,4,1,4,still_onset,2175
SA03_Adult_GreenTube,4,1,4,event_onset,2265
SA03_Adult_GreenTube,4,1,4,boundary,2439
SA03_Adult_GreenTube,4,1,4,trial_offset,2535
HH09_Adult_TwistyGlasses,5,1,5,grey_onset,2633
HH09_Adult_TwistyGlasses,5,1,5,still_onset,2723
HH09_Adult_TwistyGlasses,5,1,5,event_onset,2813
HH09_Adult_TwistyGlasses,5,1,5,boundary,2921
HH09_Adult_TwistyGlasses,5,1,5,trial_offset,2993
OH29_Infant_MassageRoller,6,1,6,grey_onset,3094
OH29_Infant_MassageRoller,6,1,6,still_onset,3184
OH29_Infant_MassageRoller,6,1,6,event_onset,3274
OH29_Infant_MassageRoller,6,1,6,boundary,3392
OH29_Infant_MassageRoller,6,1,6,trial_offset,3574
CN14_Infant_StickyBall,7,2,1,grey_onset,3914
CN14_Infant_StickyBall,7,2,1,still_onset,4004
CN14_Infant_StickyBall,7,2,1,event_onset,4094
CN14_Infant_StickyBall,7,2,1,boundary,4183
CN14_Infant_StickyBall,7,2,1,trial_offset,4304
SF28_Adult_OballStacker,8,2,2,grey_onset,4404
SF28_Adult_OballStacker,8,2,2,still_onset,4494
SF28_Adult_OballStacker,8,2,2,event_onset,4584
SF28_Adult_OballStacker,8,2,2,boundary,4877.0000001
SF28_Adult_OballStacker,8,2,2,trial_offset,4944
SA03_Adult_GreenTube,9,2,3,grey_onset,5044
SA03_Adult_GreenTube,9,2,3,still_onset,5134
SA03_Adult_GreenTube,9,2,3,event_onset,5224
SA03_Adult_GreenTube,9,2,3,boundary,5398
SA03_Adult_GreenTube,9,2,3,trial_offset,5494
AL38_Infant_Slinky,10,2,4,grey_onset,5595
AL38_Infant_Slinky,10,2,4,still_onset,5685
AL38_Infant_Slinky,10,2,4,event_onset,5775
AL38_Infant_Slinky,10,2,4,boundary,5835
AL38_Infant_Slinky,10,2,4,trial_offset,6044
OH29_Infant_MassageRoller,11,2,5,grey_onset,6145
OH29_Infant_MassageRoller,11,2,5,still_onset,6235
OH29_Infant_MassageRoller,11,2,5,event_onset,6325
OH29_Infant_MassageRoller,11,2,5,boundary,6443
OH29_Infant_MassageRoller,11,2,5,trial_offset,6625
HH09_Adult_TwistyGlasses,12,2,6,grey_onset,6723
HH09_Adult_TwistyGlasses,12,2,6,still_onset,6813
HH09_Adult_TwistyGlasses,12,2,6,event_onset,6903
HH09_Adult_TwistyGlasses,12,2,6,boundary,7011
HH09_Adult_TwistyGlasses,12,2,6,trial_offset,7083
SF28_Adult_OballStacker,13,3,1,grey_onset,7424
SF28_Adult_OballStacker,13,3,1,still_onset,7514
SF28_Adult_OballStacker,13,3,1,event_onset,7604
SF28_Adult_OballStacker,13,3,1,boundary,7897.0000001
SF28_Adult_OballStacker,13,3,1,trial_offset,7964
CN14_Infant_StickyBall,14,3,2,grey_onset,8064
CN14_Infant_StickyBall,14,3,2,still_onset,8154
CN14_Infant_StickyBall,14,3,2,event_onset,8244
CN14_Infant_StickyBall,14,3,2,boundary,8333
CN14_Infant_StickyBall,14,3,2,trial_offset,8454
AL38_Infant_Slinky,15,3,3,grey_onset,8555
AL38_Infant_Slinky,15,3,3,still_onset,8645
AL38_Infant_Slinky,15,3,3,event_onset,8735
AL38_Infant_Slinky,15,3,3,boundary,8795
AL38_Infant_Slinky,15,3,3,trial_offset,9004
SA03_Adult_GreenTube,16,3,4,grey_onset,9104
SA03_Adult_GreenTube,16,3,4,still_onset,9194
SA03_Adult_GreenTube,16,3,4,event_onset,9284
SA03_Adult_GreenTube,16,3,4,boundary,9458
SA03_Adult_GreenTube,16,3,4,trial_offset,9554
HH09_Adult_TwistyGlasses,17,3,5,grey_onset,9653
