vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Adult_GreenTube,1,1,1,grey_onset,639
SA03_Adult_GreenTube,1,1,1,still_onset,729
SA03_Adult_GreenTube,1,1,1,event_onset,819
SA03_Adult_GreenTube,1,1,1,boundary,993
SA03_Adult_GreenTube,1,1,1,trial_offset,1089
AL38_Infant_Slinky,2,1,2,grey_onset,1191
AL38_Infant_Slinky,2,1,2,still_onset,1281
AL38_Infant_Slinky,2,1,2,event_onset,1371
AL38_Infant_Slinky,2,1,2,boundary,1431
AL38_Infant_Slinky,2,1,2,trial_offset,1640
OH29_Infant_MassageRoller,3,1,3,grey_onset,1741
OH29_Infant_MassageRoller,3,1,3,still_onset,1831
OH29_Infant_MassageRoller,3,1,3,event_onset,1921
OH29_Infant_MassageRoller,3,1,3,boundary,2039
OH29_Infant_MassageRoller,3,1,3,trial_offset,2221
HH09_Adult_TwistyGlasses,4,1,4,grey_onset,2319
HH09_Adult_TwistyGlasses,4,1,4,still_onset,2409
HH09_Adult_TwistyGlasses,4,1,4,event_onset,2499
HH09_Adult_TwistyGlasses,4,1,4,boundary,2607
HH09_Adult_TwistyGlasses,4,1,4,trial_offset,2679
SF28_Adult_OballStacker,5,1,5,grey_onset,2780
SF28_Adult_OballStacker,5,1,5,still_onset,2870
SF28_Adult_OballStacker,5,1,5,event_onset,2960
SF28_Adult_OballStacker,5,1,5,boundary,3253.0000001
SF28_Adult_OballStacker,5,1,5,trial_offset,3320
CN14_Infant_StickyBall,6,1,6,grey_onset,3420
CN14_Infant_StickyBall,6,1,6,still_onset,3510
CN14_Infant_StickyBall,6,1,6,event_onset,3600
CN14_Infant_StickyBall,6,1,6,boundary,3689
CN14_Infant_StickyBall,6,1,6,trial_offset,3810
AL38_Infant_Slinky,7,2,1,grey_onset,4153
AL38_Infant_Slinky,7,2,1,still_onset,4243
AL38_Infant_Slinky,7,2,1,event_onset,4333
AL38_Infant_Slinky,7,2,1,boundary,4393
AL38_Infant_Slinky,7,2,1,trial_offset,4602
SA03_Adult_GreenTube,8,2,2,grey_onset,4703
SA03_Adult_GreenTube,8,2,2,still_onset,4793
SA03_Adult_GreenTube,8,2,2,event_onset,4883
SA03_Adult_GreenTube,8,2,2,boundary,5057
SA03_Adult_GreenTube,8,2,2,trial_offset,5153
HH09_Adult_TwistyGlasses,9,2,3,grey_onset,5253
HH09_Adult_TwistyGlasses,9,2,3,still_onset,5343
HH09_Adult_TwistyGlasses,9,2,3,event_onset,5433
HH09_Adult_TwistyGlasses,9,2,3,boundary,5541
HH09_Adult_TwistyGlasses,9,2,3,trial_offset,5613
OH29_Infant_MassageRoller,10,2,4,grey_onset,5714
OH29_Infant_MassageRoller,10,2,4,still_onset,5804
OH29_Infant_MassageRoller,10,2,4,event_onset,5894
OH29_Infant_MassageRoller,10,2,4,boundary,6012
OH29_Infant_MassageRoller,10,2,4,trial_offset,6194
CN14_Infant_StickyBall,11,2,5,grey_onset,6293
CN14_Infant_StickyBall,11,2,5,still_onset,6383
CN14_Infant_StickyBall,11,2,5,event_onset,6473
CN14_Infant_StickyBall,11,2,5,boundary,6562
CN14_Infant_StickyBall,11,2,5,trial_offset,6683
SF28_Adult_OballStacker,12,2,6,grey_onset,6784
SF28_Adult_OballStacker,12,2,6,still_onset,6874
SF28_Adult_OballStacker,12,2,6,event_onset,6964
SF28_Adult_OballStacker,12,2,6,boundary,7257.0000001
SF28_Adult_OballStacker,12,2,6,trial_offset,7324
SA03_Adult_GreenTube,13,3,1,grey_onset,7665
SA03_Adult_GreenTube,13,3,1,still_onset,7755
SA03_Adult_GreenTube,13,3,1,event_onset,7845
SA03_Adult_GreenTube,13,3,1,boundary,8019
SA03_Adult_GreenTube,13,3,1,trial_offset,8115
AL38_Infant_Slinky,14,3,2,grey_onset,8217
AL38_Infant_Slinky,14,3,2,still_onset,8307
AL38_Infant_Slinky,14,3,2,event_onset,8397
AL38_Infant_Slinky,14,3,2,boundary,8457
AL38_Infant_Slinky,14,3,2,trial_offset,8666
OH29_Infant_MassageRoller,15,3,3,grey_onset,8766
OH29_Infant_MassageRoller,15,3,3,still_onset,8856
OH29_Infant_MassageRoller,15,3,3,event_onset,8946
OH29_Infant_MassageRoller,15,3,3,boundary,9064
OH29_Infant_MassageRoller,15,3,3,trial_offset,9246
HH09_Adult_TwistyGlasses,16,3,4,grey_onset,9346
HH09_Adult_TwistyGlasses,16,3,4,still_onset,9436
HH09_Adult_TwistyGlasses,16,3,4,event_onset,9526
HH09_Adult_TwistyGlasses,16,3,4,boundary,9634
HH09_Adult_TwistyGlasses,16,3,4,trial_offset,9706
SF28_Adult_OballStacker,17,3,5,grey_onset,9807
SF28_Adult_OballStacker,17,3,5,still_onset,9897
SF28_Adult_OballStacker,17,3,5,event_onset,9987
SF28_Adult_OballStacker,17,3,5,boundary,10280.0000001
SF28_Adult_OballStacker,17,3,5,trial_offset,10347
CN14_Infant_StickyBall,18,3,6,grey_onset,10447
