vid,trial_number,block,inBlock_trial_number,event,frames_from_start
HH09_Adult_TwistyGlasses,1,1,1,grey_onset,546
HH09_Adult_TwistyGlasses,1,1,1,still_onset,636
HH09_Adult_TwistyGlasses,1,1,1,event_onset,726
HH09_Adult_TwistyGlasses,1,1,1,boundary,834
HH09_Adult_TwistyGlasses,1,1,1,trial_offset,906
AL38_Infant_Slinky,2,1,2,grey_onset,1008
AL38_Infant_Slinky,2,1,2,still_onset,1098
AL38_Infant_Slinky,2,1,2,event_onset,1188
AL38_Infant_Slinky,2,1,2,boundary,1248
AL38_Infant_Slinky,2,1,2,trial_offset,1457
OH29_Infant_MassageRoller,3,1,3,grey_onset,1559
OH29_Infant_MassageRoller,3,1,3,still_onset,1649
OH29_Infant_MassageRoller,3,1,3,event_onset,1739
OH29_Infant_MassageRoller,3,1,3,boundary,1857
OH29_Infant_MassageRoller,3,1,3,trial_offset,2039
SA03_Adult_GreenTube,4,1,4,grey_onset,2140
SA03_Adult_GreenTube,4,1,4,still_onset,2230
SA03_Adult_GreenTube,4,1,4,event_onset,2320
SA03_Adult_GreenTube,4,1,4,boundary,2494
SA03_Adult_GreenTube,4,1,4,trial_offset,2590
SF28_Adult_OballStacker,5,1,5,grey_onset,2692
SF28_Adult_OballStacker,5,1,5,still_onset,2782
SF28_Adult_OballStacker,5,1,5,event_onset,2872
SF28_Adult_OballStacker,5,1,5,boundary,3165.0000001
SF28_Adult_OballStacker,5,1,5,trial_offset,3232
CN14_Infant_StickyBall,6,1,6,grey_onset,3333
CN14_Infant_StickyBall,6,1,6,still_onset,3423
CN14_Infant_StickyBall,6,1,6,event_onset,3513
CN14_Infant_StickyBall,6,1,6,boundary,3602
CN14_Infant_StickyBall,6,1,6,trial_offset,3723
CN14_Infant_StickyBall,7,2,1,grey_onset,4063
CN14_Infant_StickyBall,7,2,1,still_onset,4153
CN14_Infant_StickyBall,7,2,1,event_onset,4243
CN14_Infant_StickyBall,7,2,1,boundary,4332
CN14_Infant_StickyBall,7,2,1,trial_offset,4453
HH09_Adult_TwistyGlasses,8,2,2,grey_onset,4553
HH09_Adult_TwistyGlasses,8,2,2,still_onset,4643
HH09_Adult_TwistyGlasses,8,2,2,event_onset,4733
HH09_Adult_TwistyGlasses,8,2,2,boundary,4841
HH09_Adult_TwistyGlasses,8,2,2,trial_offset,4913
SA03_Adult_GreenTube,9,2,3,grey_onset,5013
SA03_Adult_GreenTube,9,2,3,still_onset,5103
SA03_Adult_GreenTube,9,2,3,event_onset,5193
SA03_Adult_GreenTube,9,2,3,boundary,5367
SA03_Adult_GreenTube,9,2,3,trial_offset,5463
OH29_Infant_MassageRoller,10,2,4,grey_onset,5564
OH29_Infant_MassageRoller,10,2,4,still_onset,5654
OH29_Infant_MassageRoller,10,2,4,event_onset,5744
OH29_Infant_MassageRoller,10,2,4,boundary,5862
OH29_Infant_MassageRoller,10,2,4,trial_offset,6044
AL38_Infant_Slinky,11,2,5,grey_onset,6146
AL38_Infant_Slinky,11,2,5,still_onset,6236
AL38_Infant_Slinky,11,2,5,event_onset,6326
AL38_Infant_Slinky,11,2,5,boundary,6386
AL38_Infant_Slinky,11,2,5,trial_offset,6595
SF28_Adult_OballStacker,12,2,6,grey_onset,6696
SF28_Adult_OballStacker,12,2,6,still_onset,6786
SF28_Adult_OballStacker,12,2,6,event_onset,6876
SF28_Adult_OballStacker,12,2,6,boundary,7169.0000001
SF28_Adult_OballStacker,12,2,6,trial_offset,7236
HH09_Adult_TwistyGlasses,13,3,1,grey_onset,7576
HH09_Adult_TwistyGlasses,13,3,1,still_onset,7666
HH09_Adult_TwistyGlasses,13,3,1,event_onset,7756
HH09_Adult_TwistyGlasses,13,3,1,boundary,7864
HH09_Adult_TwistyGlasses,13,3,1,trial_offset,7936
AL38_Infant_Slinky,14,3,2,grey_onset,8038
AL38_Infant_Slinky,14,3,2,still_onset,8128
AL38_Infant_Slinky,14,3,2,event_onset,8218
AL38_Infant_Slinky,14,3,2,boundary,8278
AL38_Infant_Slinky,14,3,2,trial_offset,8487
OH29_Infant_MassageRoller,15,3,3,grey_onset,8588
OH29_Infant_MassageRoller,15,3,3,still_onset,8678
OH29_Infant_MassageRoller,15,3,3,event_onset,8768
OH29_Infant_MassageRoller,15,3,3,boundary,8886
OH29_Infant_MassageRoller,15,3,3,trial_offset,9068
SA03_Adult_GreenTube,16,3,4,grey_onset,9169
SA03_Adult_GreenTube,16,3,4,still_onset,9259
SA03_Adult_GreenTube,16,3,4,event_onset,9349
SA03_Adult_GreenTube,16,3,4,boundary,9523
SA03_Adult_GreenTube,16,3,4,trial_offset,9619
SF28_Adult_OballStacker,17,3,5,grey_onset,9720
SF28_Adult_OballStacker,17,3,5,still_onset,9810
SF28_Adult_OballStacker,17,3,5,event_onset,9900
SF28_Adult_OballStacker,17,3,5,boundary,10193.0000001
SF28_Adult_OballStacker,17,3,5,trial_offset,10260
CN14_Infant_StickyBall,18,3,6,grey_onset,10361
CN14_Infant_StickyBall,18,3,6,still_onset,10451
CN14_Infant_StickyBall,18,3,6,event_onset,10541
CN14_Infant_StickyBall,18,3,6,boundary,10630
