vid,trial_number,block,inBlock_trial_number,event,frames_from_start
CN14_Infant_StickyBall,1,1,1,grey_onset,527
CN14_Infant_StickyBall,1,1,1,still_onset,617
CN14_Infant_StickyBall,1,1,1,event_onset,707
CN14_Infant_StickyBall,1,1,1,boundary,796
CN14_Infant_StickyBall,1,1,1,trial_offset,917
SA03_Adult_GreenTube,2,1,2,grey_onset,1019
SA03_Adult_GreenTube,2,1,2,still_onset,1109
SA03_Adult_GreenTube,2,1,2,event_onset,1199
SA03_Adult_GreenTube,2,1,2,boundary,1373
SA03_Adult_GreenTube,2,1,2,trial_offset,1469
HH09_Adult_TwistyGlasses,3,1,3,grey_onset,1568
HH09_Adult_TwistyGlasses,3,1,3,still_onset,1658
HH09_Adult_TwistyGlasses,3,1,3,event_onset,1748
HH09_Adult_TwistyGlasses,3,1,3,boundary,1856
HH09_Adult_TwistyGlasses,3,1,3,trial_offset,1928
OH29_Infant_MassageRoller,4,1,4,grey_onset,2029
OH29_Infant_MassageRoller,4,1,4,still_onset,2119
OH29_Infant_MassageRoller,4,1,4,event_onset,2209
OH29_Infant_MassageRoller,4,1,4,boundary,2327
OH29_Infant_MassageRoller,4,1,4,trial_offset,2509
AL38_Infant_Slinky,5,1,5,grey_onset,2610
AL38_Infant_Slinky,5,1,5,still_onset,2700
AL38_Infant_Slinky,5,1,5,event_onset,2790
AL38_Infant_Slinky,5,1,5,boundary,2850
AL38_Infant_Slinky,5,1,5,trial_offset,3059
SF28_Adult_OballStacker,6,1,6,grey_onset,3159
SF28_Adult_OballStacker,6,1,6,still_onset,3249
SF28_Adult_OballStacker,6,1,6,event_onset,3339
SF28_Adult_OballStacker,6,1,6,boundary,3632.0000001
SF28_Adult_OballStacker,6,1,6,trial_offset,3699
SA03_Adult_GreenTube,7,2,1,grey_onset,4039
SA03_Adult_GreenTube,7,2,1,still_onset,4129
SA03_Adult_GreenTube,7,2,1,event_onset,4219
SA03_Adult_GreenTube,7,2,1,boundary,4393
SA03_Adult_GreenTube,7,2,1,trial_offset,4489
CN14_Infant_StickyBall,8,2,2,grey_onset,4588
CN14_Infant_StickyBall,8,2,2,still_onset,4678
CN14_Infant_StickyBall,8,2,2,event_onset,4768
CN14_Infant_StickyBall,8,2,2,boundary,4857
CN14_Infant_StickyBall,8,2,2,trial_offset,4978
OH29_Infant_MassageRoller,9,2,3,grey_onset,5078
OH29_Infant_MassageRoller,9,2,3,still_onset,5168
OH29_Infant_MassageRoller,9,2,3,event_onset,5258
OH29_Infant_MassageRoller,9,2,3,boundary,5376
OH29_Infant_MassageRoller,9,2,3,trial_offset,5558
HH09_Adult_TwistyGlasses,10,2,4,grey_onset,5657
HH09_Adult_TwistyGlasses,10,2,4,still_onset,5747
HH09_Adult_TwistyGlasses,10,2,4,event_onset,5837
HH09_Adult_TwistyGlasses,10,2,4,boundary,5945
HH09_Adult_TwistyGlasses,10,2,4,trial_offset,6017
SF28_Adult_OballStacker,11,2,5,grey_onset,6118
SF28_Adult_OballStacker,11,2,5,still_onset,6208
SF28_Adult_OballStacker,11,2,5,event_onset,6298
SF28_Adult_OballStacker,11,2,5,boundary,6591.0000001
SF28_Adult_OballStacker,11,2,5,trial_offset,6658
AL38_Infant_Slinky,12,2,6,grey_onset,6759
AL38_Infant_Slinky,12,2,6,still_onset,6849
AL38_Infant_Slinky,12,2,6,event_onset,6939
AL38_Infant_Slinky,12,2,6,boundary,6999
AL38_Infant_Slinky,12,2,6,trial_offset,7208
CN14_Infant_StickyBall,13,3,1,grey_onset,7547
CN14_Infant_StickyBall,13,3,1,still_onset,7637
CN14_Infant_StickyBall,13,3,1,event_onset,7727
CN14_Infant_StickyBall,13,3,1,boundary,7816
CN14_Infant_StickyBall,13,3,1,trial_offset,7937
SA03_Adult_GreenTube,14,3,2,grey_onset,8036
SA03_Adult_GreenTube,14,3,2,still_onset,8126
SA03_Adult_GreenTube,14,3,2,event_onset,8216
SA03_Adult_GreenTube,14,3,2,boundary,8390
SA03_Adult_GreenTube,14,3,2,trial_offset,8486
HH09_Adult_TwistyGlasses,15,3,3,grey_onset,8585
HH09_Adult_TwistyGlasses,15,3,3,still_onset,8675
HH09_Adult_TwistyGlasses,15,3,3,event_onset,8765
HH09_Adult_TwistyGlasses,15,3,3,boundary,8873
HH09_Adult_TwistyGlasses,15,3,3,trial_offset,8945
OH29_Infant_MassageRoller,16,3,4,grey_onset,9046
OH29_Infant_MassageRoller,16,3,4,still_onset,9136
OH29_Infant_MassageRoller,16,3,4,event_onset,9226
OH29_Infant_MassageRoller,16,3,4,boundary,9344
OH29_Infant_MassageRoller,16,3,4,trial_offset,9526
AL38_Infant_Slinky,17,3,5,grey_onset,9627
AL38_Infant_Slinky,17,3,5,still_onset,9717
AL38_Infant_Slinky,17,3,5,event_onset,9807
AL38_Infant_Slinky,17,3,5,boundary,9867
AL38_Infant_Slinky,17,3,5,trial_offset,10076
SF28_Adult_OballStacker,18,3,6,grey_onset,10176
SF28_Adult_OballStacker,18,3,6,still_onset,10266
SF28_Adult_OballStacker,18,3,6,event_onset,10356
SF28_Adult_OballStacker,18,3,6,boundary,10649.0000001
SF28_Adult_OballStacker,18,3,6,trial_offset,10716
SA03_Adult_GreenTube,19,4,1,grey_onset,11060
SA03_Adult_GreenTube,19,4,1,still_onset,11150
SA03_Adult_GreenTube,19,4,1,event_onset,11240
SA03_Adult_GreenTube,19,4,1,boundary,11414
SA03_Adult_GreenTube,19,4,1,trial_offset,11510
CN14_Infant_StickyBall,20,4,2,grey_onset,11608
CN14_Infant_StickyBall,20,4,2,still_onset,11698
CN14_Infant_StickyBall,20,4,2,event_onset,11788
CN14_Infant_StickyBall,20,4,2,boundary,11877
CN14_Infant_StickyBall,20,4,2,trial_offset,11998
OH29_Infant_MassageRoller,21,4,3,grey_onset,12098
OH29_Infant_MassageRoller,21,4,3,still_onset,12188
