vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SA03_Infant_GreenTube,1,1,1,grey_onset,575
SA03_Infant_GreenTube,1,1,1,still_onset,665
SA03_Infant_GreenTube,1,1,1,event_onset,755
SA03_Infant_GreenTube,1,1,1,boundary,877.0000001
SA03_Infant_GreenTube,1,1,1,trial_offset,1025
AL38_Adult_Slinky,2,1,2,grey_onset,1125
AL38_Adult_Slinky,2,1,2,still_onset,1215
AL38_Adult_Slinky,2,1,2,event_onset,1305
AL38_Adult_Slinky,2,1,2,boundary,1363
AL38_Adult_Slinky,2,1,2,trial_offset,1574
CN14_Adult_StickyBall,3,1,3,grey_onset,1675
CN14_Adult_StickyBall,3,1,3,still_onset,1765
CN14_Adult_StickyBall,3,1,3,event_onset,1855
CN14_Adult_StickyBall,3,1,3,boundary,1943
CN14_Adult_StickyBall,3,1,3,trial_offset,2065
HH09_Infant_TwistyGlasses,4,1,4,grey_onset,2165
HH09_Infant_TwistyGlasses,4,1,4,still_onset,2255
HH09_Infant_TwistyGlasses,4,1,4,event_onset,2345
HH09_Infant_TwistyGlasses,4,1,4,boundary,2463
HH09_Infant_TwistyGlasses,4,1,4,trial_offset,2525
SF28_Infant_OballStacker,5,1,5,grey_onset,2626
SF28_Infant_OballStacker,5,1,5,still_onset,2716
SF28_Infant_OballStacker,5,1,5,event_onset,2806
SF28_Infant_OballStacker,5,1,5,boundary,3094
SF28_Infant_OballStacker,5,1,5,trial_offset,3166
OH29_Adult_MassageRoller,6,1,6,grey_onset,3267
OH29_Adult_MassageRoller,6,1,6,still_onset,3357
OH29_Adult_MassageRoller,6,1,6,event_onset,3447
OH29_Adult_MassageRoller,6,1,6,boundary,3561
OH29_Adult_MassageRoller,6,1,6,trial_offset,3747
AL38_Adult_Slinky,7,2,1,grey_onset,4086
AL38_Adult_Slinky,7,2,1,still_onset,4176
AL38_Adult_Slinky,7,2,1,event_onset,4266
AL38_Adult_Slinky,7,2,1,boundary,4324
AL38_Adult_Slinky,7,2,1,trial_offset,4535
SA03_Infant_GreenTube,8,2,2,grey_onset,4636
SA03_Infant_GreenTube,8,2,2,still_onset,4726
SA03_Infant_GreenTube,8,2,2,event_onset,4816
SA03_Infant_GreenTube,8,2,2,boundary,4938.0000001
SA03_Infant_GreenTube,8,2,2,trial_offset,5086
HH09_Infant_TwistyGlasses,9,2,3,grey_onset,5186
HH09_Infant_TwistyGlasses,9,2,3,still_onset,5276
HH09_Infant_TwistyGlasses,9,2,3,event_onset,5366
HH09_Infant_TwistyGlasses,9,2,3,boundary,5484
HH09_Infant_TwistyGlasses,9,2,3,trial_offset,5546
CN14_Adult_StickyBall,10,2,4,grey_onset,5646
CN14_Adult_StickyBall,10,2,4,still_onset,5736
CN14_Adult_StickyBall,10,2,4,event_onset,5826
CN14_Adult_StickyBall,10,2,4,boundary,5914
CN14_Adult_StickyBall,10,2,4,trial_offset,6036
OH29_Adult_MassageRoller,11,2,5,grey_onset,6137
OH29_Adult_MassageRoller,11,2,5,still_onset,6227
OH29_Adult_MassageRoller,11,2,5,event_onset,6317
OH29_Adult_MassageRoller,11,2,5,boundary,6431
OH29_Adult_MassageRoller,11,2,5,trial_offset,6617
SF28_Infant_OballStacker,12,2,6,grey_onset,6718
SF28_Infant_OballStacker,12,2,6,still_onset,6808
SF28_Infant_OballStacker,12,2,6,event_onset,6898
SF28_Infant_OballStacker,12,2,6,boundary,7186
SF28_Infant_OballStacker,12,2,6,trial_offset,7258
SA03_Infant_GreenTube,13,3,1,grey_onset,7599
SA03_Infant_GreenTube,13,3,1,still_onset,7689
