vid,trial_number,block,inBlock_trial_number,event,frames_from_start
SF28_Adult_OballStacker,1,1,1,grey_onset,659
SF28_Adult_OballStacker,1,1,1,still_onset,749
SF28_Adult_OballStacker,1,1,1,event_onset,839
SF28_Adult_OballStacker,1,1,1,boundary,1132.0000001
SF28_Adult_OballStacker,1,1,1,trial_offset,1199
CN14_Infant_StickyBall,2,1,2,grey_onset,1297
CN14_Infant_StickyBall,2,1,2,still_onset,1387
CN14_Infant_StickyBall,2,1,2,event_onset,1477
CN14_Infant_StickyBall,2,1,2,boundary,1566
CN14_Infant_StickyBall,2,1,2,trial_offset,1687
OH29_Infant_MassageRoller,3,1,3,grey_onset,1787
OH29_Infant_MassageRoller,3,1,3,still_onset,1877
OH29_Infant_MassageRoller,3,1,3,event_onset,1967
OH29_Infant_MassageRoller,3,1,3,boundary,2085
OH29_Infant_MassageRoller,3,1,3,trial_offset,2267
SA03_Adult_GreenTube,4,1,4,grey_onset,2367
SA03_Adult_GreenTube,4,1,4,still_onset,2457
SA03_Adult_GreenTube,4,1,4,event_onset,2547
SA03_Adult_GreenTube,4,1,4,boundary,2721
SA03_Adult_GreenTube,4,1,4,trial_offset,2817
HH09_Adult_TwistyGlasses,5,1,5,grey_onset,2916
HH09_Adult_TwistyGlasses,5,1,5,still_onset,3006
HH09_Adult_TwistyGlasses,5,1,5,event_onset,3096
HH09_Adult_TwistyGlasses,5,1,5,boundary,3204
HH09_Adult_TwistyGlasses,5,1,5,trial_offset,3276
AL38_Infant_Slinky,6,1,6,grey_onset,3376
AL38_Infant_Slinky,6,1,6,still_onset,3466
AL38_Infant_Slinky,6,1,6,event_onset,3556
AL38_Infant_Slinky,6,1,6,boundary,3616
AL38_Infant_Slinky,6,1,6,trial_offset,3825
CN14_Infant_StickyBall,7,2,1,grey_onset,4164
CN14_Infant_StickyBall,7,2,1,still_onset,4254
CN14_Infant_StickyBall,7,2,1,event_onset,4344
CN14_Infant_StickyBall,7,2,1,boundary,4433
CN14_Infant_StickyBall,7,2,1,trial_offset,4554
SF28_Adult_OballStacker,8,2,2,grey_onset,4654
SF28_Adult_OballStacker,8,2,2,still_onset,4744
SF28_Adult_OballStacker,8,2,2,event_onset,4834
SF28_Adult_OballStacker,8,2,2,boundary,5127.0000001
SF28_Adult_OballStacker,8,2,2,trial_offset,5194
SA03_Adult_GreenTube,9,2,3,grey_onset,5294
SA03_Adult_GreenTube,9,2,3,still_onset,5384
SA03_Adult_GreenTube,9,2,3,event_onset,5474
SA03_Adult_GreenTube,9,2,3,boundary,5648
SA03_Adult_GreenTube,9,2,3,trial_offset,5744
OH29_Infant_MassageRoller,10,2,4,grey_onset,5843
OH29_Infant_MassageRoller,10,2,4,still_onset,5933
OH29_Infant_MassageRoller,10,2,4,event_onset,6023
OH29_Infant_MassageRoller,10,2,4,boundary,6141
OH29_Infant_MassageRoller,10,2,4,trial_offset,6323
AL38_Infant_Slinky,11,2,5,grey_onset,6424
AL38_Infant_Slinky,11,2,5,still_onset,6514
AL38_Infant_Slinky,11,2,5,event_onset,6604
AL38_Infant_Slinky,11,2,5,boundary,6664
AL38_Infant_Slinky,11,2,5,trial_offset,6873
HH09_Adult_TwistyGlasses,12,2,6,grey_onset,6971
HH09_Adult_TwistyGlasses,12,2,6,still_onset,7061
HH09_Adult_TwistyGlasses,12,2,6,event_onset,7151
