subid,vid,block,num_frames,frames_looking,vid_length,vid_looking,,
ae015,OH29_Infant_MassageRoller,1,480,480,300,300,0,0
ae015,HH09_Adult_TwistyGlasses,1,360,360,180,180,0,0
ae015,SF28_Adult_OballStacker,1,540,537,360,360,0,0
ae015,AL38_Infant_Slinky,1,449,443,269,269,0,0
ae015,CN14_Infant_StickyBall,1,390,383,210,210,0,0
ae015,SA03_Adult_GreenTube,1,450,450,270,270,0,0
ae015,HH09_Adult_TwistyGlasses,2,360,357,180,180,0,0
ae015,OH29_Infant_MassageRoller,2,480,480,300,300,0,0
ae015,AL38_Infant_Slinky,2,449,447,269,269,0,0
ae015,SF28_Adult_OballStacker,2,540,536,360,360,0,0
ae015,SA03_Adult_GreenTube,2,450,443,270,270,0,0
ae015,CN14_Infant_StickyBall,2,390,390,210,210,0,0
ae015,OH29_Infant_MassageRoller,3,480,476,300,300,0,0
ae015,HH09_Adult_TwistyGlasses,3,360,353,180,175,0.027777778,0
ae015,SF28_Adult_OballStacker,3,540,505,360,360,0,0
ae015,AL38_Infant_Slinky,3,449,406,269,267,0.007434944,0
ae015,CN14_Infant_StickyBall,3,390,355,210,187,0.10952381,0
ae015,SA03_Adult_GreenTube,3,450,426,270,265,0.018518519,0
ae015,HH09_Adult_TwistyGlasses,4,360,222,180,48,0.733333333,1
ae015,OH29_Infant_MassageRoller,4,480,392,300,226,0.246666667,0
ae015,AL38_Infant_Slinky,4,449,444,269,269,0,0
ae015,SF28_Adult_OballStacker,4,540,524,360,360,0,0
ae015,SA03_Adult_GreenTube,4,450,318,270,247,0.085185185,0
ae015,CN14_Infant_StickyBall,4,390,375,210,200,0.047619048,0
ae015,OH29_Infant_MassageRoller,5,480,361,300,300,0,0
ae015,HH09_Adult_TwistyGlasses,5,360,355,180,180,0,0
ae015,SF28_Adult_OballStacker,5,540,369,360,336,0.066666667,0
ae015,AL38_Infant_Slinky,5,449,363,269,236,0.12267658,0
ae015,CN14_Infant_StickyBall,5,390,320,210,143,0.319047619,0
ae015,SA03_Adult_GreenTube,5,450,329,270,152,0.437037037,0
ae015,HH09_Adult_TwistyGlasses,6,360,139,180,53,0.705555556,1
ae015,OH29_Infant_MassageRoller,6,480,347,300,282,0.06,0
ae015,AL38_Infant_Slinky,6,449,40,269,7,0.973977695,1
ae015,SF28_Adult_OballStacker,6,540,409,360,329,0.086111111,0
ae015,SA03_Adult_GreenTube,6,450,218,270,84,0.688888889,1
ae015,CN14_Infant_StickyBall,6,390,238,210,149,0.29047619,0
bf022,SA03_Adult_GreenTube,1,450,442,270,270,0,0
bf022,AL38_Infant_Slinky,1,449,441,269,269,0,0
bf022,CN14_Infant_StickyBall,1,390,384,210,210,0,0
bf022,SF28_Adult_OballStacker,1,540,529,360,360,0,0
bf022,HH09_Adult_TwistyGlasses,1,360,347,180,177,0.016666667,0
bf022,OH29_Infant_MassageRoller,1,480,457,300,292,0.026666667,0
bf022,AL38_Infant_Slinky,2,449,441,269,269,0,0
bf022,SA03_Adult_GreenTube,2,450,308,270,226,0.162962963,0
bf022,SF28_Adult_OballStacker,2,540,366,360,317,0.119444444,0
bf022,CN14_Infant_StickyBall,2,390,309,210,205,0.023809524,0
bf022,OH29_Infant_MassageRoller,2,480,24,300,15,0.95,1
bf022,HH09_Adult_TwistyGlasses,2,360,2,180,1,0.994444444,1
bf029,AL38_Adult_Slinky,1,449,156,269,156,0.420074349,0
bf029,SF28_Infant_OballStacker,1,540,540,360,360,0,0
