vid,block,pi_frame_number,est_flash
OH29_Infant_MassageRoller,1,876,888
HH09_Adult_TwistyGlasses,1,1335,1347
SF28_Adult_OballStacker,1,1976,1988
AL38_Infant_Slinky,1,2527,2539
CN14_Infant_StickyBall,1,3016,3028
SA03_Adult_GreenTube,1,3567,3579
HH09_Adult_TwistyGlasses,2,4267,4279
OH29_Infant_MassageRoller,2,4848,4860
AL38_Infant_Slinky,2,5397,5409
SF28_Adult_OballStacker,2,6038,6050
SA03_Adult_GreenTube,2,6589,6601
CN14_Infant_StickyBall,2,7078,7090
OH29_Infant_MassageRoller,3,7899,7911
HH09_Adult_TwistyGlasses,3,8359,8371
SF28_Adult_OballStacker,3,9000,9012
AL38_Infant_Slinky,3,9551,9563
CN14_Infant_StickyBall,3,10041,10053
SA03_Adult_GreenTube,3,10592,10604
HH09_Adult_TwistyGlasses,4,11293,11305
OH29_Infant_MassageRoller,4,11873,11885
AL38_Infant_Slinky,4,12424,12436
SF28_Adult_OballStacker,4,13065,13077
SA03_Adult_GreenTube,4,13616,13628
CN14_Infant_StickyBall,4,14105,14117
OH29_Infant_MassageRoller,5,14927,14939
HH09_Adult_TwistyGlasses,5,15386,15398
SF28_Adult_OballStacker,5,16027,16039
AL38_Infant_Slinky,5,16578,16590
CN14_Infant_StickyBall,5,17068,17080
SA03_Adult_GreenTube,5,17620,17632
HH09_Adult_TwistyGlasses,6,18320,18332
OH29_Infant_MassageRoller,6,18900,18912
AL38_Infant_Slinky,6,19451,19463
SF28_Adult_OballStacker,6,20092,20104
SA03_Adult_GreenTube,6,20642,20654
CN14_Infant_StickyBall,6,21130,21142
