vid,block,pi_frame_number,est_flash
AL38_Adult_Slinky,1,814,826
SF28_Infant_OballStacker,1,1455,1467
HH09_Infant_TwistyGlasses,1,1915,1927
CN14_Adult_StickyBall,1,2405,2417
OH29_Adult_MassageRoller,1,2987,2999
SA03_Infant_GreenTube,1,3538,3550
SF28_Infant_OballStacker,2,4419,4431
AL38_Adult_Slinky,2,4968,4980
CN14_Adult_StickyBall,2,5459,5471
HH09_Infant_TwistyGlasses,2,5919,5931
SA03_Infant_GreenTube,2,6470,6482
OH29_Adult_MassageRoller,2,7051,7063
AL38_Adult_Slinky,3,7839,7851
SF28_Infant_OballStacker,3,8481,8493
HH09_Infant_TwistyGlasses,3,8941,8953
CN14_Adult_StickyBall,3,9431,9443
OH29_Adult_MassageRoller,3,10012,10024
SA03_Infant_GreenTube,3,10563,10575
SF28_Infant_OballStacker,4,11446,11458
AL38_Adult_Slinky,4,11995,12007
CN14_Adult_StickyBall,4,12485,12497
HH09_Infant_TwistyGlasses,4,12944,12956
SA03_Infant_GreenTube,4,13495,13507
OH29_Adult_MassageRoller,4,14077,14089
AL38_Adult_Slinky,5,14867,14879
SF28_Infant_OballStacker,5,15509,15521
HH09_Infant_TwistyGlasses,5,15968,15980
CN14_Adult_StickyBall,5,16457,16469
OH29_Adult_MassageRoller,5,17038,17050
SA03_Infant_GreenTube,5,17589,17601
SF28_Infant_OballStacker,6,18471,18483
AL38_Adult_Slinky,6,19020,19032
CN14_Adult_StickyBall,6,19510,19522
HH09_Infant_TwistyGlasses,6,19971,19983
SA03_Infant_GreenTube,6,20522,20534
OH29_Adult_MassageRoller,6,21103,21115
