vid,block,pi_frame_number,est_flash
SA03_Adult_GreenTube,1,928,940
AL38_Infant_Slinky,1,1478,1490
CN14_Infant_StickyBall,1,1967,1979
SF28_Adult_OballStacker,1,2608,2620
HH09_Adult_TwistyGlasses,1,3068,3080
OH29_Infant_MassageRoller,1,3648,3660
AL38_Infant_Slinky,2,4438,4450
SA03_Adult_GreenTube,2,4988,5000
SF28_Adult_OballStacker,2,5627,5639
CN14_Infant_StickyBall,2,6116,6128
OH29_Infant_MassageRoller,2,6698,6710
HH09_Adult_TwistyGlasses,2,7156,7168
SA03_Adult_GreenTube,3,7946,7958
AL38_Infant_Slinky,3,8495,8507
CN14_Infant_StickyBall,3,8984,8996
SF28_Adult_OballStacker,3,9623,9635
HH09_Adult_TwistyGlasses,3,10082,10094
OH29_Infant_MassageRoller,3,10661,10673
AL38_Infant_Slinky,4,11453,11465
SA03_Adult_GreenTube,4,12002,12014
SF28_Adult_OballStacker,4,12642,12654
CN14_Infant_StickyBall,4,13130,13142
OH29_Infant_MassageRoller,4,13710,13722
HH09_Adult_TwistyGlasses,4,14168,14180
SA03_Adult_GreenTube,5,14960,14972
AL38_Infant_Slinky,5,15510,15522
CN14_Infant_StickyBall,5,15998,16010
SF28_Adult_OballStacker,5,16638,16650
HH09_Adult_TwistyGlasses,5,17097,17109
OH29_Infant_MassageRoller,5,17676,17688
AL38_Infant_Slinky,6,18468,18480
SA03_Adult_GreenTube,6,19018,19030
SF28_Adult_OballStacker,6,19658,19670
CN14_Infant_StickyBall,6,20146,20158
OH29_Infant_MassageRoller,6,20727,20739
HH09_Adult_TwistyGlasses,6,21185,21197
