vid,block,pi_frame_number,est_flash
CN14_Infant_StickyBall,1,762,774
SA03_Adult_GreenTube,1,1313,1325
SF28_Adult_OballStacker,1,1953,1965
OH29_Infant_MassageRoller,1,2533,2545
AL38_Infant_Slinky,1,3082,3094
HH09_Adult_TwistyGlasses,1,3541,3553
SA03_Adult_GreenTube,2,4331,4343
CN14_Infant_StickyBall,2,4821,4833
OH29_Infant_MassageRoller,2,5400,5412
SF28_Adult_OballStacker,2,6040,6052
HH09_Adult_TwistyGlasses,2,6498,6510
AL38_Infant_Slinky,2,7050,7062
CN14_Infant_StickyBall,3,7779,7791
SA03_Adult_GreenTube,3,8329,8341
SF28_Adult_OballStacker,3,8968,8980
OH29_Infant_MassageRoller,3,9548,9560
AL38_Infant_Slinky,3,10099,10111
HH09_Adult_TwistyGlasses,3,10560,10572
SA03_Adult_GreenTube,4,11351,11363
CN14_Infant_StickyBall,4,11840,11852
OH29_Infant_MassageRoller,4,12419,12431
SF28_Adult_OballStacker,4,13061,13073
HH09_Adult_TwistyGlasses,4,13521,13533
AL38_Infant_Slinky,4,14073,14085
CN14_Infant_StickyBall,5,14803,14815
SA03_Adult_GreenTube,5,15353,15365
SF28_Adult_OballStacker,5,15993,16005
OH29_Infant_MassageRoller,5,16573,16585
AL38_Infant_Slinky,5,17123,17135
HH09_Adult_TwistyGlasses,5,17582,17594
SA03_Adult_GreenTube,6,18373,18385
CN14_Infant_StickyBall,6,18862,18874
OH29_Infant_MassageRoller,6,19442,19454
SF28_Adult_OballStacker,6,20082,20094
HH09_Adult_TwistyGlasses,6,20541,20553
AL38_Infant_Slinky,6,21090,21102
