vid,block,pi_frame_number,est_flash
AL38_Adult_Slinky,1,833,845
SA03_Infant_GreenTube,1,1382,1394
HH09_Infant_TwistyGlasses,1,1842,1854
OH29_Adult_MassageRoller,1,2422,2434
CN14_Adult_StickyBall,1,2912,2924
SF28_Infant_OballStacker,1,3552,3564
SA03_Infant_GreenTube,2,4343,4355
AL38_Adult_Slinky,2,4892,4904
OH29_Adult_MassageRoller,2,5472,5484
HH09_Infant_TwistyGlasses,2,5931,5943
SF28_Infant_OballStacker,2,6572,6584
CN14_Adult_StickyBall,2,7062,7074
AL38_Adult_Slinky,3,7849,7861
SA03_Infant_GreenTube,3,8401,8413
HH09_Infant_TwistyGlasses,3,8859,8871
OH29_Adult_MassageRoller,3,9439,9451
CN14_Adult_StickyBall,3,9927,9939
SF28_Infant_OballStacker,3,10568,10580
SA03_Infant_GreenTube,4,11362,11374
AL38_Adult_Slinky,4,11910,11922
OH29_Adult_MassageRoller,4,12491,12503
HH09_Infant_TwistyGlasses,4,12950,12962
SF28_Infant_OballStacker,4,13591,13603
CN14_Adult_StickyBall,4,14082,14094
AL38_Adult_Slinky,5,14873,14885
SA03_Infant_GreenTube,5,15424,15436
HH09_Infant_TwistyGlasses,5,15884,15896
OH29_Adult_MassageRoller,5,16465,16477
CN14_Adult_StickyBall,5,16954,16966
SF28_Infant_OballStacker,5,17594,17606
