vid,block,pi_frame_number,est_flash
HH09_Infant_TwistyGlasses,1,771,783
CN14_Adult_StickyBall,1,1261,1273
AL38_Adult_Slinky,1,1809,1821
SA03_Infant_GreenTube,1,2358,2370
SF28_Infant_OballStacker,1,2998,3010
OH29_Adult_MassageRoller,1,3580,3592
CN14_Adult_StickyBall,2,4309,4321
HH09_Infant_TwistyGlasses,2,4767,4779
SA03_Infant_GreenTube,2,5318,5330
AL38_Adult_Slinky,2,5867,5879
OH29_Adult_MassageRoller,2,6447,6459
SF28_Infant_OballStacker,2,7088,7100
HH09_Infant_TwistyGlasses,3,7788,7800
CN14_Adult_StickyBall,3,8277,8289
AL38_Adult_Slinky,3,8825,8837
SA03_Infant_GreenTube,3,9374,9386
SF28_Infant_OballStacker,3,10014,10026
OH29_Adult_MassageRoller,3,10593,10605
CN14_Adult_StickyBall,4,11324,11336
HH09_Infant_TwistyGlasses,4,11783,11795
SA03_Infant_GreenTube,4,12334,12346
AL38_Adult_Slinky,4,12882,12894
OH29_Adult_MassageRoller,4,13463,13475
SF28_Infant_OballStacker,4,14103,14115
HH09_Infant_TwistyGlasses,5,14804,14816
CN14_Adult_StickyBall,5,15293,15305
AL38_Adult_Slinky,5,15840,15852
SA03_Infant_GreenTube,5,16390,16402
SF28_Infant_OballStacker,5,17030,17042
OH29_Adult_MassageRoller,5,17610,17622
CN14_Adult_StickyBall,6,18340,18352
HH09_Infant_TwistyGlasses,6,18799,18811
SA03_Infant_GreenTube,6,19349,19361
AL38_Adult_Slinky,6,19897,19909
OH29_Adult_MassageRoller,6,20479,20491
SF28_Infant_OballStacker,6,21119,21131
