vid,block,pi_frame_number,est_flash
SF28_Adult_OballStacker,1,1169,1181
CN14_Infant_StickyBall,1,1658,1670
OH29_Infant_MassageRoller,1,2237,2249
HH09_Adult_TwistyGlasses,1,2696,2708
SA03_Adult_GreenTube,1,3245,3257
AL38_Infant_Slinky,1,3795,3807
CN14_Infant_StickyBall,2,4523,4535
SF28_Adult_OballStacker,2,5165,5177
HH09_Adult_TwistyGlasses,2,5624,5636
OH29_Infant_MassageRoller,2,6204,6216
AL38_Infant_Slinky,2,6753,6765
SA03_Adult_GreenTube,2,7304,7316
SF28_Adult_OballStacker,3,8185,8197
CN14_Infant_StickyBall,3,8673,8685
OH29_Infant_MassageRoller,3,9255,9267
HH09_Adult_TwistyGlasses,3,9714,9726
SA03_Adult_GreenTube,3,10265,10277
AL38_Infant_Slinky,3,10815,10827
CN14_Infant_StickyBall,4,11545,11557
SF28_Adult_OballStacker,4,12185,12197
HH09_Adult_TwistyGlasses,4,12644,12656
OH29_Infant_MassageRoller,4,13223,13235
AL38_Infant_Slinky,4,13773,13785
SA03_Adult_GreenTube,4,14324,14336
SF28_Adult_OballStacker,5,15206,15218
CN14_Infant_StickyBall,5,15694,15706
OH29_Infant_MassageRoller,5,16274,16286
HH09_Adult_TwistyGlasses,5,16733,16745
SA03_Adult_GreenTube,5,17284,17296
AL38_Infant_Slinky,5,17835,17847
CN14_Infant_StickyBall,6,18566,18578
SF28_Adult_OballStacker,6,19206,19218
HH09_Adult_TwistyGlasses,6,19665,19677
OH29_Infant_MassageRoller,6,20245,20257
AL38_Infant_Slinky,6,20795,20807
SA03_Adult_GreenTube,6,21344,21356
