vid,block,pi_frame_number,est_flash
SA03_Infant_GreenTube,1,918,930
OH29_Adult_MassageRoller,1,1499,1511
CN14_Adult_StickyBall,1,1987,1999
SF28_Infant_OballStacker,1,2627,2639
HH09_Infant_TwistyGlasses,1,3086,3098
AL38_Adult_Slinky,1,3633,3645
OH29_Adult_MassageRoller,2,4453,4465
SA03_Infant_GreenTube,2,5003,5015
SF28_Infant_OballStacker,2,5643,5655
CN14_Adult_StickyBall,2,6132,6144
AL38_Adult_Slinky,2,6680,6692
HH09_Infant_TwistyGlasses,2,7139,7151
SA03_Infant_GreenTube,3,7928,7940
OH29_Adult_MassageRoller,3,8508,8520
CN14_Adult_StickyBall,3,8996,9008
SF28_Infant_OballStacker,3,9638,9650
HH09_Infant_TwistyGlasses,3,10097,10109
AL38_Adult_Slinky,3,10644,10656
OH29_Adult_MassageRoller,4,11466,11478
SA03_Infant_GreenTube,4,12015,12027
SF28_Infant_OballStacker,4,12655,12667
CN14_Adult_StickyBall,4,13144,13156
AL38_Adult_Slinky,4,13691,13703
HH09_Infant_TwistyGlasses,4,14150,14162
SA03_Infant_GreenTube,5,14942,14954
OH29_Adult_MassageRoller,5,15522,15534
CN14_Adult_StickyBall,5,16010,16022
SF28_Infant_OballStacker,5,16650,16662
HH09_Infant_TwistyGlasses,5,17109,17121
AL38_Adult_Slinky,5,17657,17669
OH29_Adult_MassageRoller,6,18478,18490
SA03_Infant_GreenTube,6,19028,19040
SF28_Infant_OballStacker,6,19668,19680
CN14_Adult_StickyBall,6,20156,20168
AL38_Adult_Slinky,6,20704,20716
HH09_Infant_TwistyGlasses,6,21163,21175
