vid,block,pi_frame_number,est_flash
CN14_Adult_StickyBall,1,868,880
SA03_Infant_GreenTube,1,1418,1430
HH09_Infant_TwistyGlasses,1,1877,1889
AL38_Adult_Slinky,1,2426,2438
OH29_Adult_MassageRoller,1,3006,3018
SF28_Infant_OballStacker,1,3647,3659
SA03_Infant_GreenTube,2,4438,4450
CN14_Adult_StickyBall,2,4928,4940
AL38_Adult_Slinky,2,5477,5489
HH09_Infant_TwistyGlasses,2,5937,5949
SF28_Infant_OballStacker,2,6577,6589
OH29_Adult_MassageRoller,2,7157,7169
CN14_Adult_StickyBall,3,7888,7900
SA03_Infant_GreenTube,3,8437,8449
HH09_Infant_TwistyGlasses,3,8898,8910
AL38_Adult_Slinky,3,9448,9460
OH29_Adult_MassageRoller,3,10029,10041
SF28_Infant_OballStacker,3,10670,10682
SA03_Infant_GreenTube,4,11464,11476
CN14_Adult_StickyBall,4,11954,11966
AL38_Adult_Slinky,4,12503,12515
HH09_Infant_TwistyGlasses,4,12963,12975
SF28_Infant_OballStacker,4,13604,13616
OH29_Adult_MassageRoller,4,14185,14197
CN14_Adult_StickyBall,5,14917,14929
SA03_Infant_GreenTube,5,15468,15480
HH09_Infant_TwistyGlasses,5,15927,15939
AL38_Adult_Slinky,5,16476,16488
OH29_Adult_MassageRoller,5,17057,17069
SF28_Infant_OballStacker,5,17698,17710
SA03_Infant_GreenTube,6,18492,18504
CN14_Adult_StickyBall,6,18982,18994
AL38_Adult_Slinky,6,19530,19542
HH09_Infant_TwistyGlasses,6,19990,20002
SF28_Infant_OballStacker,6,20631,20643
OH29_Adult_MassageRoller,6,21212,21224
