vid,block,pi_frame_number,est_flash
OH29_Adult_MassageRoller,1,843,855
SA03_Infant_GreenTube,1,1395,1407
SF28_Infant_OballStacker,1,2035,2047
CN14_Adult_StickyBall,1,2523,2535
AL38_Adult_Slinky,1,3071,3083
HH09_Infant_TwistyGlasses,1,3532,3544
SA03_Infant_GreenTube,2,4322,4334
OH29_Adult_MassageRoller,2,4902,4914
CN14_Adult_StickyBall,2,5391,5403
SF28_Infant_OballStacker,2,6033,6045
HH09_Infant_TwistyGlasses,2,6493,6505
AL38_Adult_Slinky,2,7042,7054
OH29_Adult_MassageRoller,3,7861,7873
SA03_Infant_GreenTube,3,8414,8426
SF28_Infant_OballStacker,3,9054,9066
CN14_Adult_StickyBall,3,9543,9555
AL38_Adult_Slinky,3,10091,10103
HH09_Infant_TwistyGlasses,3,10549,10561
SA03_Infant_GreenTube,4,11342,11354
OH29_Adult_MassageRoller,4,11921,11933
CN14_Adult_StickyBall,4,12411,12423
SF28_Infant_OballStacker,4,13050,13062
HH09_Infant_TwistyGlasses,4,13509,13521
AL38_Adult_Slinky,4,14059,14071
OH29_Adult_MassageRoller,5,14880,14892
SA03_Infant_GreenTube,5,15430,15442
SF28_Infant_OballStacker,5,16071,16083
CN14_Adult_StickyBall,5,16559,16571
AL38_Adult_Slinky,5,17107,17119
HH09_Infant_TwistyGlasses,5,17565,17577
SA03_Infant_GreenTube,6,18357,18369
OH29_Adult_MassageRoller,6,18936,18948
CN14_Adult_StickyBall,6,19426,19438
SF28_Infant_OballStacker,6,20066,20078
HH09_Infant_TwistyGlasses,6,20524,20536
AL38_Adult_Slinky,6,21072,21084
