vid,block,pi_frame_number,est_flash
OH29_Adult_MassageRoller,1,972,984
HH09_Infant_TwistyGlasses,1,1431,1443
SA03_Infant_GreenTube,1,1984,1996
CN14_Adult_StickyBall,1,2473,2485
AL38_Adult_Slinky,1,3022,3034
SF28_Infant_OballStacker,1,3663,3675
HH09_Infant_TwistyGlasses,2,4364,4376
OH29_Adult_MassageRoller,2,4945,4957
CN14_Adult_StickyBall,2,5434,5446
SA03_Infant_GreenTube,2,5985,5997
SF28_Infant_OballStacker,2,6626,6638
AL38_Adult_Slinky,2,7176,7188
OH29_Adult_MassageRoller,3,7997,8009
HH09_Infant_TwistyGlasses,3,8456,8468
SA03_Infant_GreenTube,3,9007,9019
CN14_Adult_StickyBall,3,9496,9508
AL38_Adult_Slinky,3,10043,10055
SF28_Infant_OballStacker,3,10684,10696
HH09_Infant_TwistyGlasses,4,11386,11398
OH29_Adult_MassageRoller,4,11965,11977
CN14_Adult_StickyBall,4,12454,12466
SA03_Infant_GreenTube,4,13004,13016
SF28_Infant_OballStacker,4,13644,13656
AL38_Adult_Slinky,4,14194,14206
OH29_Adult_MassageRoller,5,15016,15028
HH09_Infant_TwistyGlasses,5,15476,15488
SA03_Infant_GreenTube,5,16027,16039
CN14_Adult_StickyBall,5,16517,16529
AL38_Adult_Slinky,5,17066,17078
SF28_Infant_OballStacker,5,17707,17719
HH09_Infant_TwistyGlasses,6,18408,18420
OH29_Adult_MassageRoller,6,18989,19001
CN14_Adult_StickyBall,6,19479,19491
SA03_Infant_GreenTube,6,20029,20041
SF28_Infant_OballStacker,6,20670,20682
AL38_Adult_Slinky,6,21219,21231
