vid,block,pi_frame_number,est_flash
AL38_Adult_Slinky,1,881,893
SF28_Infant_OballStacker,1,1522,1534
SA03_Infant_GreenTube,1,2073,2085
OH29_Adult_MassageRoller,1,2654,2666
CN14_Adult_StickyBall,1,3144,3156
HH09_Infant_TwistyGlasses,1,3604,3616
SF28_Infant_OballStacker,2,4485,4497
AL38_Adult_Slinky,2,5034,5046
OH29_Adult_MassageRoller,2,5616,5628
SA03_Infant_GreenTube,2,6167,6179
HH09_Infant_TwistyGlasses,2,6628,6640
CN14_Adult_StickyBall,2,7118,7130
AL38_Adult_Slinky,3,7907,7919
SF28_Infant_OballStacker,3,8548,8560
SA03_Infant_GreenTube,3,9099,9111
OH29_Adult_MassageRoller,3,9680,9692
CN14_Adult_StickyBall,3,10169,10181
HH09_Infant_TwistyGlasses,3,10629,10641
SF28_Infant_OballStacker,4,11512,11524
AL38_Adult_Slinky,4,12062,12074
OH29_Adult_MassageRoller,4,12643,12655
SA03_Infant_GreenTube,4,13194,13206
HH09_Infant_TwistyGlasses,4,13654,13666
CN14_Adult_StickyBall,4,14144,14156
AL38_Adult_Slinky,5,14936,14948
SF28_Infant_OballStacker,5,15577,15589
SA03_Infant_GreenTube,5,16128,16140
