vid,block,pi_frame_number,est_flash
AL38_Infant_Slinky,1,953,965
SA03_Adult_GreenTube,1,1504,1516
HH09_Adult_TwistyGlasses,1,1963,1975
OH29_Infant_MassageRoller,1,2544,2556
CN14_Infant_StickyBall,1,3034,3046
SF28_Adult_OballStacker,1,3674,3686
SA03_Adult_GreenTube,2,4464,4476
AL38_Infant_Slinky,2,5015,5027
OH29_Infant_MassageRoller,2,5596,5608
HH09_Adult_TwistyGlasses,2,6056,6068
SF28_Adult_OballStacker,2,6697,6709
CN14_Infant_StickyBall,2,7187,7199
AL38_Infant_Slinky,3,7977,7989
SA03_Adult_GreenTube,3,8528,8540
HH09_Adult_TwistyGlasses,3,8987,8999
OH29_Infant_MassageRoller,3,9568,9580
CN14_Infant_StickyBall,3,10058,10070
SF28_Adult_OballStacker,3,10699,10711
SA03_Adult_GreenTube,4,11493,11505
AL38_Infant_Slinky,4,12044,12056
OH29_Infant_MassageRoller,4,12625,12637
HH09_Adult_TwistyGlasses,4,13084,13096
SF28_Adult_OballStacker,4,13725,13737
CN14_Infant_StickyBall,4,14215,14227
AL38_Infant_Slinky,5,15007,15019
SA03_Adult_GreenTube,5,15558,15570
HH09_Adult_TwistyGlasses,5,16018,16030
OH29_Infant_MassageRoller,5,16599,16611
CN14_Infant_StickyBall,5,17089,17101
SF28_Adult_OballStacker,5,17730,17742
