vid,block,pi_frame_number,est_flash
SF28_Infant_OballStacker,1,914,926
AL38_Adult_Slinky,1,1461,1473
OH29_Adult_MassageRoller,1,2040,2052
SA03_Infant_GreenTube,1,2590,2602
HH09_Infant_TwistyGlasses,1,3049,3061
CN14_Adult_StickyBall,1,3538,3550
AL38_Adult_Slinky,2,4326,4338
SF28_Infant_OballStacker,2,4966,4978
SA03_Infant_GreenTube,2,5515,5527
OH29_Adult_MassageRoller,2,6095,6107
CN14_Adult_StickyBall,2,6583,6595
HH09_Infant_TwistyGlasses,2,7043,7055
SF28_Infant_OballStacker,3,7923,7935
AL38_Adult_Slinky,3,8471,8483
OH29_Adult_MassageRoller,3,9050,9062
SA03_Infant_GreenTube,3,9600,9612
HH09_Infant_TwistyGlasses,3,10058,10070
CN14_Adult_StickyBall,3,10547,10559
AL38_Adult_Slinky,4,11336,11348
SF28_Infant_OballStacker,4,11976,11988
SA03_Infant_GreenTube,4,12525,12537
OH29_Adult_MassageRoller,4,13105,13117
CN14_Adult_StickyBall,4,13593,13605
HH09_Infant_TwistyGlasses,4,14052,14064
SF28_Infant_OballStacker,5,14933,14945
AL38_Adult_Slinky,5,15480,15492
OH29_Adult_MassageRoller,5,16060,16072
SA03_Infant_GreenTube,5,16609,16621
HH09_Infant_TwistyGlasses,5,17068,17080
CN14_Adult_StickyBall,5,17556,17568
AL38_Adult_Slinky,6,18345,18357
SF28_Infant_OballStacker,6,18985,18997
SA03_Infant_GreenTube,6,19534,19546
OH29_Adult_MassageRoller,6,20114,20126
CN14_Adult_StickyBall,6,20602,20614
HH09_Infant_TwistyGlasses,6,21061,21073
