vid,block,pi_frame_number,est_flash
CN14_Adult_StickyBall,1,785,797
HH09_Infant_TwistyGlasses,1,1250,1262
SA03_Infant_GreenTube,1,1806,1818
AL38_Adult_Slinky,1,2360,2372
OH29_Adult_MassageRoller,1,2946,2958
SF28_Infant_OballStacker,1,3596,3608
HH09_Infant_TwistyGlasses,2,4305,4317
CN14_Adult_StickyBall,2,4802,4814
AL38_Adult_Slinky,2,5360,5372
SA03_Infant_GreenTube,2,5916,5928
SF28_Infant_OballStacker,2,6576,6588
OH29_Adult_MassageRoller,2,7164,7176
CN14_Adult_StickyBall,3,7904,7916
HH09_Infant_TwistyGlasses,3,8374,8386
SA03_Infant_GreenTube,3,8932,8944
AL38_Adult_Slinky,3,9491,9503
OH29_Adult_MassageRoller,3,10078,10090
SF28_Infant_OballStacker,3,10732,10744
HH09_Infant_TwistyGlasses,4,11442,11454
CN14_Adult_StickyBall,4,11940,11952
AL38_Adult_Slinky,4,12495,12507
SA03_Infant_GreenTube,4,13054,13066
SF28_Infant_OballStacker,4,13701,13713
OH29_Adult_MassageRoller,4,14336,14348
CN14_Adult_StickyBall,5,15078,15090
HH09_Infant_TwistyGlasses,5,15546,15558
SA03_Infant_GreenTube,5,16150,16162
AL38_Adult_Slinky,5,16727,16739
OH29_Adult_MassageRoller,5,17315,17327
SF28_Infant_OballStacker,5,17963,17975
