vid,block,pi_frame_number,est_flash
HH09_Infant_TwistyGlasses,1,1346,1358
AL38_Adult_Slinky,1,1898,1910
CN14_Adult_StickyBall,1,2398,2410
SF28_Infant_OballStacker,1,3042,3054
SA03_Infant_GreenTube,1,3600,3612
OH29_Adult_MassageRoller,1,4204,4216
AL38_Adult_Slinky,2,5000,5012
HH09_Infant_TwistyGlasses,2,5464,5476
SF28_Infant_OballStacker,2,6112,6124
CN14_Adult_StickyBall,2,6612,6624
OH29_Adult_MassageRoller,2,7200,7212
SA03_Infant_GreenTube,2,7756,7768
HH09_Infant_TwistyGlasses,3,8510,8522
AL38_Adult_Slinky,3,9070,9082
CN14_Adult_StickyBall,3,9574,9586
SF28_Infant_OballStacker,3,10220,10232
SA03_Infant_GreenTube,3,10784,10796
OH29_Adult_MassageRoller,3,11370,11382
AL38_Adult_Slinky,4,12170,12182
HH09_Infant_TwistyGlasses,4,12634,12646
SF28_Infant_OballStacker,4,13280,13292
CN14_Adult_StickyBall,4,13774,13786
OH29_Adult_MassageRoller,4,14360,14372
SA03_Infant_GreenTube,4,14916,14928
HH09_Infant_TwistyGlasses,5,15664,15676
AL38_Adult_Slinky,5,16226,16238
CN14_Adult_StickyBall,5,16722,16734
SF28_Infant_OballStacker,5,17378,17390
SA03_Infant_GreenTube,5,17934,17946
OH29_Adult_MassageRoller,5,18526,18538
AL38_Adult_Slinky,6,19326,19338
HH09_Infant_TwistyGlasses,6,19794,19806
SF28_Infant_OballStacker,6,20444,20456
CN14_Adult_StickyBall,6,20944,20956
OH29_Adult_MassageRoller,6,21532,21544
SA03_Infant_GreenTube,6,22092,22104
