vid,block,pi_frame_number,est_flash
CN14_Adult_StickyBall,1,852,864
SF28_Infant_OballStacker,1,1494,1506
HH09_Infant_TwistyGlasses,1,1954,1966
OH29_Adult_MassageRoller,1,2535,2547
AL38_Adult_Slinky,1,3084,3096
SA03_Infant_GreenTube,1,3634,3646
SF28_Infant_OballStacker,2,4515,4527
CN14_Adult_StickyBall,2,5005,5017
OH29_Adult_MassageRoller,2,5586,5598
HH09_Infant_TwistyGlasses,2,6045,6057
SA03_Infant_GreenTube,2,6596,6608
AL38_Adult_Slinky,2,7145,7157
CN14_Adult_StickyBall,3,7875,7887
SF28_Infant_OballStacker,3,8516,8528
HH09_Infant_TwistyGlasses,3,8976,8988
OH29_Adult_MassageRoller,3,9558,9570
AL38_Adult_Slinky,3,10107,10119
SA03_Infant_GreenTube,3,10658,10670
SF28_Infant_OballStacker,4,11541,11553
CN14_Adult_StickyBall,4,12031,12043
OH29_Adult_MassageRoller,4,12612,12624
HH09_Infant_TwistyGlasses,4,13071,13083
SA03_Infant_GreenTube,4,13622,13634
AL38_Adult_Slinky,4,14171,14183
CN14_Adult_StickyBall,5,14902,14914
SF28_Infant_OballStacker,5,15543,15555
HH09_Infant_TwistyGlasses,5,16002,16014
OH29_Adult_MassageRoller,5,16583,16595
AL38_Adult_Slinky,5,17131,17143
SA03_Infant_GreenTube,5,17683,17695
SF28_Infant_OballStacker,6,18565,18577
CN14_Adult_StickyBall,6,19056,19068
OH29_Adult_MassageRoller,6,19637,19649
HH09_Infant_TwistyGlasses,6,20097,20109
SA03_Infant_GreenTube,6,20648,20660
AL38_Adult_Slinky,6,21197,21209
