vid,block,pi_frame_number,est_flash
CN14_Adult_StickyBall,1,740,752
HH09_Infant_TwistyGlasses,1,1198,1210
SA03_Infant_GreenTube,1,1749,1761
AL38_Adult_Slinky,1,2297,2309
OH29_Adult_MassageRoller,1,2879,2891
SF28_Infant_OballStacker,1,3520,3532
HH09_Infant_TwistyGlasses,2,4219,4231
CN14_Adult_StickyBall,2,4709,4721
AL38_Adult_Slinky,2,5258,5270
SA03_Infant_GreenTube,2,5809,5821
SF28_Infant_OballStacker,2,6451,6463
OH29_Adult_MassageRoller,2,7033,7045
CN14_Adult_StickyBall,3,7764,7776
HH09_Infant_TwistyGlasses,3,8224,8236
SA03_Infant_GreenTube,3,8775,8787
AL38_Adult_Slinky,3,9325,9337
OH29_Adult_MassageRoller,3,9906,9918
SF28_Infant_OballStacker,3,10547,10559
HH09_Infant_TwistyGlasses,4,11251,11263
CN14_Adult_StickyBall,4,11741,11753
AL38_Adult_Slinky,4,12291,12303
SA03_Infant_GreenTube,4,12841,12853
SF28_Infant_OballStacker,4,13483,13495
OH29_Adult_MassageRoller,4,14064,14076
CN14_Adult_StickyBall,5,14795,14807
HH09_Infant_TwistyGlasses,5,15255,15267
SA03_Infant_GreenTube,5,15806,15818
AL38_Adult_Slinky,5,16356,16368
OH29_Adult_MassageRoller,5,16938,16950
SF28_Infant_OballStacker,5,17579,17591
HH09_Infant_TwistyGlasses,6,18282,18294
CN14_Adult_StickyBall,6,18773,18785
AL38_Adult_Slinky,6,19322,19334
SA03_Infant_GreenTube,6,19872,19884
SF28_Infant_OballStacker,6,20512,20524
OH29_Adult_MassageRoller,6,21091,21103
