vid,block,pi_frame_number,est_flash
SA03_Infant_GreenTube,1,1032,1044
CN14_Adult_StickyBall,1,1522,1534
OH29_Adult_MassageRoller,1,2102,2114
HH09_Infant_TwistyGlasses,1,2562,2574
SF28_Infant_OballStacker,1,3203,3215
AL38_Adult_Slinky,1,3750,3762
CN14_Adult_StickyBall,2,4480,4492
SA03_Infant_GreenTube,2,5031,5043
HH09_Infant_TwistyGlasses,2,5490,5502
OH29_Adult_MassageRoller,2,6071,6083
AL38_Adult_Slinky,2,6620,6632
SF28_Infant_OballStacker,2,7261,7273
SA03_Infant_GreenTube,3,8050,8062
CN14_Adult_StickyBall,3,8540,8552
OH29_Adult_MassageRoller,3,9121,9133
HH09_Infant_TwistyGlasses,3,9582,9594
SF28_Infant_OballStacker,3,10223,10235
AL38_Adult_Slinky,3,10773,10785
CN14_Adult_StickyBall,4,11506,11518
SA03_Infant_GreenTube,4,12056,12068
HH09_Infant_TwistyGlasses,4,12516,12528
OH29_Adult_MassageRoller,4,13097,13109
AL38_Adult_Slinky,4,13644,13656
SF28_Infant_OballStacker,4,14286,14298
SA03_Infant_GreenTube,5,15077,15089
CN14_Adult_StickyBall,5,15567,15579
OH29_Adult_MassageRoller,5,16148,16160
HH09_Infant_TwistyGlasses,5,16608,16620
SF28_Infant_OballStacker,5,17250,17262
AL38_Adult_Slinky,5,17799,17811
CN14_Adult_StickyBall,6,18531,18543
SA03_Infant_GreenTube,6,19081,19093
HH09_Infant_TwistyGlasses,6,19541,19553
OH29_Adult_MassageRoller,6,20122,20134
AL38_Adult_Slinky,6,20672,20684
SF28_Infant_OballStacker,6,21313,21325
