vid,block,pi_frame_number,est_flash
SA03_Adult_GreenTube,1,1139,1151
AL38_Infant_Slinky,1,1695,1707
OH29_Infant_MassageRoller,1,2283,2295
HH09_Adult_TwistyGlasses,1,2747,2759
SF28_Adult_OballStacker,1,3394,3406
CN14_Infant_StickyBall,1,3889,3901
AL38_Infant_Slinky,2,4692,4704
SA03_Adult_GreenTube,2,5249,5261
HH09_Adult_TwistyGlasses,2,5762,5774
OH29_Infant_MassageRoller,2,6356,6368
CN14_Infant_StickyBall,2,6856,6868
SF28_Adult_OballStacker,2,7533,7545
SA03_Adult_GreenTube,3,8331,8343
AL38_Infant_Slinky,3,8887,8899
OH29_Infant_MassageRoller,3,9479,9491
HH09_Adult_TwistyGlasses,3,9945,9957
SF28_Adult_OballStacker,3,10590,10602
CN14_Infant_StickyBall,3,11085,11097
AL38_Infant_Slinky,4,11901,11913
SA03_Adult_GreenTube,4,12457,12469
HH09_Adult_TwistyGlasses,4,12923,12935
OH29_Infant_MassageRoller,4,13508,13520
CN14_Infant_StickyBall,4,14007,14019
SF28_Adult_OballStacker,4,14652,14664
SA03_Adult_GreenTube,5,15455,15467
AL38_Infant_Slinky,5,16021,16033
OH29_Infant_MassageRoller,5,16607,16619
HH09_Adult_TwistyGlasses,5,17072,17084
SF28_Adult_OballStacker,5,17719,17731
CN14_Infant_StickyBall,5,18214,18226
AL38_Infant_Slinky,6,19017,19029
SA03_Adult_GreenTube,6,19574,19586
