vid,block,pi_frame_number,est_flash
OH29_Adult_MassageRoller,1,934,946
SF28_Infant_OballStacker,1,1584,1596
HH09_Infant_TwistyGlasses,1,2054,2066
CN14_Adult_StickyBall,1,2557,2569
AL38_Adult_Slinky,1,3119,3131
SA03_Infant_GreenTube,1,3681,3693
SF28_Infant_OballStacker,2,4575,4587
OH29_Adult_MassageRoller,2,5164,5176
CN14_Adult_StickyBall,2,5669,5681
HH09_Infant_TwistyGlasses,2,6142,6154
SA03_Infant_GreenTube,2,6700,6712
AL38_Adult_Slinky,2,7266,7278
OH29_Adult_MassageRoller,3,8096,8108
SF28_Infant_OballStacker,3,8746,8758
HH09_Infant_TwistyGlasses,3,9215,9227
CN14_Adult_StickyBall,3,9713,9725
AL38_Adult_Slinky,3,10281,10293
SA03_Infant_GreenTube,3,10855,10867
SF28_Infant_OballStacker,4,11743,11755
OH29_Adult_MassageRoller,4,12378,12390
CN14_Adult_StickyBall,4,12892,12904
HH09_Infant_TwistyGlasses,4,13358,13370
SA03_Infant_GreenTube,4,13936,13948
AL38_Adult_Slinky,4,14494,14506
OH29_Adult_MassageRoller,5,15370,15382
SF28_Infant_OballStacker,5,16015,16027
HH09_Infant_TwistyGlasses,5,16486,16498
CN14_Adult_StickyBall,5,17022,17034
AL38_Adult_Slinky,5,17586,17598
SA03_Infant_GreenTube,5,18142,18154
SF28_Infant_OballStacker,6,19075,19087
