vid,block,pi_frame_number,est_flash
OH29_Infant_MassageRoller,1,853,865
SA03_Adult_GreenTube,1,1404,1416
SF28_Adult_OballStacker,1,2046,2058
AL38_Infant_Slinky,1,2597,2609
CN14_Infant_StickyBall,1,3085,3097
HH09_Adult_TwistyGlasses,1,3545,3557
SA03_Adult_GreenTube,2,4336,4348
OH29_Infant_MassageRoller,2,4916,4928
AL38_Infant_Slinky,2,5467,5479
SF28_Adult_OballStacker,2,6107,6119
HH09_Adult_TwistyGlasses,2,6568,6580
CN14_Infant_StickyBall,2,7058,7070
OH29_Infant_MassageRoller,3,7879,7891
SA03_Adult_GreenTube,3,8428,8440
SF28_Adult_OballStacker,3,9070,9082
AL38_Infant_Slinky,3,9621,9633
CN14_Infant_StickyBall,3,10111,10123
HH09_Adult_TwistyGlasses,3,10570,10582
SA03_Adult_GreenTube,4,11363,11375
OH29_Infant_MassageRoller,4,11944,11956
