vid,block,pi_frame_number,est_flash
SA03_Infant_GreenTube,1,998,1010
AL38_Adult_Slinky,1,1546,1558
OH29_Adult_MassageRoller,1,2127,2139
SF28_Infant_OballStacker,1,2766,2778
HH09_Infant_TwistyGlasses,1,3225,3237
CN14_Adult_StickyBall,1,3713,3725
AL38_Adult_Slinky,2,4501,4513
SA03_Infant_GreenTube,2,5051,5063
SF28_Infant_OballStacker,2,5690,5702
OH29_Adult_MassageRoller,2,6271,6283
CN14_Adult_StickyBall,2,6760,6772
HH09_Infant_TwistyGlasses,2,7220,7232
SA03_Infant_GreenTube,3,8010,8022
AL38_Adult_Slinky,3,8558,8570
OH29_Adult_MassageRoller,3,9137,9149
SF28_Infant_OballStacker,3,9778,9790
HH09_Infant_TwistyGlasses,3,10237,10249
CN14_Adult_StickyBall,3,10725,10737
AL38_Adult_Slinky,4,11515,11527
SA03_Infant_GreenTube,4,12064,12076
SF28_Infant_OballStacker,4,12704,12716
OH29_Adult_MassageRoller,4,13284,13296
CN14_Adult_StickyBall,4,13772,13784
HH09_Infant_TwistyGlasses,4,14231,14243
SA03_Infant_GreenTube,5,15022,15034
AL38_Adult_Slinky,5,15569,15581
OH29_Adult_MassageRoller,5,16149,16161
SF28_Infant_OballStacker,5,16789,16801
HH09_Infant_TwistyGlasses,5,17247,17259
CN14_Adult_StickyBall,5,17736,17748
AL38_Adult_Slinky,6,18525,18537
SA03_Infant_GreenTube,6,19075,19087
SF28_Infant_OballStacker,6,19716,19728
OH29_Adult_MassageRoller,6,20297,20309
CN14_Adult_StickyBall,6,20785,20797
HH09_Infant_TwistyGlasses,6,21244,21256
