vid,block,pi_frame_number,est_flash
AL38_Infant_Slinky,1,881,893
SA03_Adult_GreenTube,1,1432,1444
SF28_Adult_OballStacker,1,2073,2085
OH29_Infant_MassageRoller,1,2654,2666
CN14_Infant_StickyBall,1,3144,3156
HH09_Adult_TwistyGlasses,1,3604,3616
SA03_Adult_GreenTube,2,4394,4406
AL38_Infant_Slinky,2,4944,4956
OH29_Infant_MassageRoller,2,5525,5537
SF28_Adult_OballStacker,2,6166,6178
HH09_Adult_TwistyGlasses,2,6626,6638
CN14_Infant_StickyBall,2,7116,7128
AL38_Infant_Slinky,3,7907,7919
SA03_Adult_GreenTube,3,8458,8470
SF28_Adult_OballStacker,3,9099,9111
OH29_Infant_MassageRoller,3,9681,9693
CN14_Infant_StickyBall,3,10170,10182
HH09_Adult_TwistyGlasses,3,10630,10642
SA03_Adult_GreenTube,4,11423,11435
AL38_Infant_Slinky,4,11974,11986
OH29_Infant_MassageRoller,4,12554,12566
SF28_Adult_OballStacker,4,13195,13207
HH09_Adult_TwistyGlasses,4,13655,13667
CN14_Infant_StickyBall,4,14145,14157
AL38_Infant_Slinky,5,14938,14950
SA03_Adult_GreenTube,5,15489,15501
SF28_Adult_OballStacker,5,16130,16142
OH29_Infant_MassageRoller,5,16711,16723
CN14_Infant_StickyBall,5,17200,17212
HH09_Adult_TwistyGlasses,5,17660,17672
SA03_Adult_GreenTube,6,18453,18465
AL38_Infant_Slinky,6,19003,19015
OH29_Infant_MassageRoller,6,19582,19594
SF28_Adult_OballStacker,6,20224,20236
HH09_Adult_TwistyGlasses,6,20683,20695
CN14_Infant_StickyBall,6,21174,21186
