vid,block,pi_frame_number,est_flash
AL38_Infant_Slinky,1,928,940
SF28_Adult_OballStacker,1,1570,1582
SA03_Adult_GreenTube,1,2122,2134
OH29_Infant_MassageRoller,1,2703,2715
CN14_Infant_StickyBall,1,3194,3206
HH09_Adult_TwistyGlasses,1,3655,3667
SF28_Adult_OballStacker,2,4536,4548
AL38_Infant_Slinky,2,5087,5099
OH29_Infant_MassageRoller,2,5667,5679
SA03_Adult_GreenTube,2,6218,6230
HH09_Adult_TwistyGlasses,2,6679,6691
CN14_Infant_StickyBall,2,7169,7181
AL38_Infant_Slinky,3,7960,7972
SF28_Adult_OballStacker,3,8601,8613
SA03_Adult_GreenTube,3,9152,9164
OH29_Infant_MassageRoller,3,9733,9745
CN14_Infant_StickyBall,3,10224,10236
HH09_Adult_TwistyGlasses,3,10684,10696
SF28_Adult_OballStacker,4,11567,11579
AL38_Infant_Slinky,4,12119,12131
OH29_Infant_MassageRoller,4,12700,12712
SA03_Adult_GreenTube,4,13251,13263
HH09_Adult_TwistyGlasses,4,13712,13724
CN14_Infant_StickyBall,4,14202,14214
AL38_Infant_Slinky,5,14994,15006
SF28_Adult_OballStacker,5,15635,15647
SA03_Adult_GreenTube,5,16187,16199
OH29_Infant_MassageRoller,5,16768,16780
CN14_Infant_StickyBall,5,17258,17270
HH09_Adult_TwistyGlasses,5,17718,17730
SF28_Adult_OballStacker,6,18601,18613
AL38_Infant_Slinky,6,19152,19164
OH29_Infant_MassageRoller,6,19733,19745
SA03_Adult_GreenTube,6,20284,20296
