vid,block,pi_frame_number,est_flash
HH09_Infant_TwistyGlasses,1,706,718
OH29_Adult_MassageRoller,1,1293,1305
CN14_Adult_StickyBall,1,1788,1800
SA03_Infant_GreenTube,1,2344,2356
SF28_Infant_OballStacker,1,2995,3007
AL38_Adult_Slinky,1,3553,3565
OH29_Adult_MassageRoller,2,4383,4395
HH09_Infant_TwistyGlasses,2,4853,4865
SA03_Infant_GreenTube,2,5414,5426
CN14_Adult_StickyBall,2,5912,5924
AL38_Adult_Slinky,2,6468,6480
SF28_Infant_OballStacker,2,7113,7125
HH09_Infant_TwistyGlasses,3,7822,7834
OH29_Adult_MassageRoller,3,8407,8419
CN14_Adult_StickyBall,3,8907,8919
