vid,block,pi_frame_number,est_flash
SA03_Adult_GreenTube,1,1111,1123
AL38_Infant_Slinky,1,1662,1674
CN14_Infant_StickyBall,1,2152,2164
SF28_Adult_OballStacker,1,2793,2805
HH09_Adult_TwistyGlasses,1,3253,3265
OH29_Infant_MassageRoller,1,3833,3845
AL38_Infant_Slinky,2,4625,4637
SA03_Adult_GreenTube,2,5176,5188
SF28_Adult_OballStacker,2,5817,5829
CN14_Infant_StickyBall,2,6307,6319
OH29_Infant_MassageRoller,2,6888,6900
HH09_Adult_TwistyGlasses,2,7348,7360
SA03_Adult_GreenTube,3,8139,8151
AL38_Infant_Slinky,3,8689,8701
CN14_Infant_StickyBall,3,9181,9193
SF28_Adult_OballStacker,3,9822,9834
HH09_Adult_TwistyGlasses,3,10281,10293
OH29_Infant_MassageRoller,3,10862,10874
AL38_Infant_Slinky,4,11656,11668
SA03_Adult_GreenTube,4,12207,12219
SF28_Adult_OballStacker,4,12848,12860
CN14_Infant_StickyBall,4,13338,13350
OH29_Infant_MassageRoller,4,13919,13931
HH09_Adult_TwistyGlasses,4,14379,14391
SA03_Adult_GreenTube,5,15170,15182
AL38_Infant_Slinky,5,15721,15733
CN14_Infant_StickyBall,5,16211,16223
SF28_Adult_OballStacker,5,16851,16863
HH09_Adult_TwistyGlasses,5,17312,17324
OH29_Infant_MassageRoller,5,17892,17904
AL38_Infant_Slinky,6,18685,18697
SA03_Adult_GreenTube,6,19236,19248
SF28_Adult_OballStacker,6,19877,19889
CN14_Infant_StickyBall,6,20367,20379
OH29_Infant_MassageRoller,6,20947,20959
HH09_Adult_TwistyGlasses,6,21407,21419
