vid,block,pi_frame_number,est_flash
SF28_Adult_OballStacker,1,1929,1941
CN14_Infant_StickyBall,1,2419,2431
AL38_Infant_Slinky,1,2968,2980
SA03_Adult_GreenTube,1,3519,3531
HH09_Adult_TwistyGlasses,1,3977,3989
OH29_Infant_MassageRoller,1,4558,4570
CN14_Infant_StickyBall,2,5288,5300
SF28_Adult_OballStacker,2,5928,5940
SA03_Adult_GreenTube,2,6478,6490
AL38_Infant_Slinky,2,7028,7040
OH29_Infant_MassageRoller,2,7609,7621
HH09_Adult_TwistyGlasses,2,8067,8079
SF28_Adult_OballStacker,3,8948,8960
CN14_Infant_StickyBall,3,9438,9450
AL38_Infant_Slinky,3,9988,10000
SA03_Adult_GreenTube,3,10538,10550
HH09_Adult_TwistyGlasses,3,10997,11009
OH29_Infant_MassageRoller,3,11578,11590
CN14_Infant_StickyBall,4,12310,12322
SF28_Adult_OballStacker,4,12949,12961
SA03_Adult_GreenTube,4,13500,13512
AL38_Infant_Slinky,4,14051,14063
OH29_Infant_MassageRoller,4,14632,14644
HH09_Adult_TwistyGlasses,4,15091,15103
SF28_Adult_OballStacker,5,15973,15985
CN14_Infant_StickyBall,5,16462,16474
AL38_Infant_Slinky,5,17013,17025
SA03_Adult_GreenTube,5,17562,17574
HH09_Adult_TwistyGlasses,5,18022,18034
OH29_Infant_MassageRoller,5,18602,18614
CN14_Infant_StickyBall,6,19332,19344
SF28_Adult_OballStacker,6,19973,19985
SA03_Adult_GreenTube,6,20524,20536
AL38_Infant_Slinky,6,21074,21086
OH29_Infant_MassageRoller,6,21654,21666
HH09_Adult_TwistyGlasses,6,22113,22125
