vid,block,pi_frame_number,est_flash
SA03_Adult_GreenTube,1,853,865
AL38_Infant_Slinky,1,1404,1416
OH29_Infant_MassageRoller,1,1985,1997
HH09_Adult_TwistyGlasses,1,2443,2455
SF28_Adult_OballStacker,1,3084,3096
CN14_Infant_StickyBall,1,3574,3586
AL38_Infant_Slinky,2,4366,4378
SA03_Adult_GreenTube,2,4917,4929
HH09_Adult_TwistyGlasses,2,5377,5389
OH29_Infant_MassageRoller,2,5958,5970
CN14_Infant_StickyBall,2,6447,6459
SF28_Adult_OballStacker,2,7088,7100
SA03_Adult_GreenTube,3,7879,7891
AL38_Infant_Slinky,3,8430,8442
OH29_Infant_MassageRoller,3,9010,9022
HH09_Adult_TwistyGlasses,3,9470,9482
SF28_Adult_OballStacker,3,10111,10123
CN14_Infant_StickyBall,3,10601,10613
AL38_Infant_Slinky,4,11392,11404
SA03_Adult_GreenTube,4,11943,11955
HH09_Adult_TwistyGlasses,4,12403,12415
OH29_Infant_MassageRoller,4,12984,12996
CN14_Infant_StickyBall,4,13474,13486
SF28_Adult_OballStacker,4,14115,14127
SA03_Adult_GreenTube,5,14907,14919
