vid,block,pi_frame_number,est_flash
HH09_Adult_TwistyGlasses,1,738,750
AL38_Infant_Slinky,1,1289,1301
OH29_Infant_MassageRoller,1,1871,1883
SA03_Adult_GreenTube,1,2422,2434
SF28_Adult_OballStacker,1,3064,3076
CN14_Infant_StickyBall,1,3555,3567
CN14_Infant_StickyBall,2,4285,4297
HH09_Adult_TwistyGlasses,2,4745,4757
SA03_Adult_GreenTube,2,5295,5307
OH29_Infant_MassageRoller,2,5876,5888
AL38_Infant_Slinky,2,6427,6439
SF28_Adult_OballStacker,2,7068,7080
HH09_Adult_TwistyGlasses,3,7768,7780
AL38_Infant_Slinky,3,8319,8331
OH29_Infant_MassageRoller,3,8900,8912
SA03_Adult_GreenTube,3,9451,9463
SF28_Adult_OballStacker,3,10092,10104
CN14_Infant_StickyBall,3,10583,10595
CN14_Infant_StickyBall,4,11315,11327
HH09_Adult_TwistyGlasses,4,11775,11787
SA03_Adult_GreenTube,4,12325,12337
OH29_Infant_MassageRoller,4,12905,12917
AL38_Infant_Slinky,4,13456,13468
SF28_Adult_OballStacker,4,14097,14109
HH09_Adult_TwistyGlasses,5,14799,14811
AL38_Infant_Slinky,5,15349,15361
OH29_Infant_MassageRoller,5,15930,15942
SA03_Adult_GreenTube,5,16481,16493
SF28_Adult_OballStacker,5,17122,17134
CN14_Infant_StickyBall,5,17612,17624
CN14_Infant_StickyBall,6,18344,18356
HH09_Adult_TwistyGlasses,6,18804,18816
SA03_Adult_GreenTube,6,19354,19366
OH29_Infant_MassageRoller,6,19934,19946
AL38_Infant_Slinky,6,20485,20497
SF28_Adult_OballStacker,6,21126,21138
