vid,block,pi_frame_number,est_flash
CN14_Infant_StickyBall,1,808,820
SA03_Adult_GreenTube,1,1360,1372
HH09_Adult_TwistyGlasses,1,1819,1831
OH29_Infant_MassageRoller,1,2400,2412
AL38_Infant_Slinky,1,2950,2962
SF28_Adult_OballStacker,1,3590,3602
SA03_Adult_GreenTube,2,4380,4392
CN14_Infant_StickyBall,2,4869,4881
OH29_Infant_MassageRoller,2,5449,5461
HH09_Adult_TwistyGlasses,2,5908,5920
SF28_Adult_OballStacker,2,6549,6561
AL38_Infant_Slinky,2,7099,7111
CN14_Infant_StickyBall,3,7828,7840
SA03_Adult_GreenTube,3,8377,8389
HH09_Adult_TwistyGlasses,3,8836,8848
OH29_Infant_MassageRoller,3,9417,9429
AL38_Infant_Slinky,3,9967,9979
SF28_Adult_OballStacker,3,10607,10619
SA03_Adult_GreenTube,4,11401,11413
CN14_Infant_StickyBall,4,11889,11901
OH29_Infant_MassageRoller,4,12469,12481
HH09_Adult_TwistyGlasses,4,12927,12939
SF28_Adult_OballStacker,4,13568,13580
AL38_Infant_Slinky,4,14117,14129
CN14_Infant_StickyBall,5,14848,14860
SA03_Adult_GreenTube,5,15397,15409
HH09_Adult_TwistyGlasses,5,15856,15868
OH29_Infant_MassageRoller,5,16436,16448
AL38_Infant_Slinky,5,16985,16997
SF28_Adult_OballStacker,5,17626,17638
SA03_Adult_GreenTube,6,18418,18430
CN14_Infant_StickyBall,6,18907,18919
OH29_Infant_MassageRoller,6,19486,19498
HH09_Adult_TwistyGlasses,6,19945,19957
SF28_Adult_OballStacker,6,20586,20598
AL38_Infant_Slinky,6,21137,21149
