vid,block,pi_frame_number,est_flash
SA03_Infant_GreenTube,1,885,897
AL38_Adult_Slinky,1,1434,1446
CN14_Adult_StickyBall,1,1924,1936
HH09_Infant_TwistyGlasses,1,2384,2396
SF28_Infant_OballStacker,1,3026,3038
OH29_Adult_MassageRoller,1,3607,3619
AL38_Adult_Slinky,2,4395,4407
SA03_Infant_GreenTube,2,4946,4958
HH09_Infant_TwistyGlasses,2,5406,5418
CN14_Adult_StickyBall,2,5897,5909
OH29_Adult_MassageRoller,2,6476,6488
SF28_Infant_OballStacker,2,7118,7130
SA03_Infant_GreenTube,3,7909,7921
AL38_Adult_Slinky,3,8458,8470
CN14_Adult_StickyBall,3,8949,8961
HH09_Infant_TwistyGlasses,3,9408,9420
SF28_Infant_OballStacker,3,10049,10061
OH29_Adult_MassageRoller,3,10630,10642
AL38_Adult_Slinky,4,11422,11434
SA03_Infant_GreenTube,4,11971,11983
HH09_Infant_TwistyGlasses,4,12432,12444
CN14_Adult_StickyBall,4,12922,12934
OH29_Adult_MassageRoller,4,13503,13515
SF28_Infant_OballStacker,4,14144,14156
SA03_Infant_GreenTube,5,14935,14947
AL38_Adult_Slinky,5,15484,15496
CN14_Adult_StickyBall,5,15974,15986
HH09_Infant_TwistyGlasses,5,16434,16446
SF28_Infant_OballStacker,5,17075,17087
OH29_Adult_MassageRoller,5,17655,17667
AL38_Adult_Slinky,6,18446,18458
SA03_Infant_GreenTube,6,18997,19009
HH09_Infant_TwistyGlasses,6,19456,19468
CN14_Adult_StickyBall,6,19947,19959
OH29_Adult_MassageRoller,6,20528,20540
SF28_Infant_OballStacker,6,21169,21181
