vid,block,pi_frame_number,est_flash
SA03_Infant_GreenTube,1,849,861
AL38_Adult_Slinky,1,1398,1410
CN14_Adult_StickyBall,1,1889,1901
HH09_Infant_TwistyGlasses,1,2349,2361
SF28_Infant_OballStacker,1,2990,3002
OH29_Adult_MassageRoller,1,3571,3583
AL38_Adult_Slinky,2,4359,4371
SA03_Infant_GreenTube,2,4910,4922
HH09_Infant_TwistyGlasses,2,5370,5382
CN14_Adult_StickyBall,2,5860,5872
OH29_Adult_MassageRoller,2,6441,6453
SF28_Infant_OballStacker,2,7082,7094
SA03_Infant_GreenTube,3,7873,7885
AL38_Adult_Slinky,3,8422,8434
CN14_Adult_StickyBall,3,8913,8925
HH09_Infant_TwistyGlasses,3,9373,9385
SF28_Infant_OballStacker,3,10014,10026
OH29_Adult_MassageRoller,3,10596,10608
AL38_Adult_Slinky,4,11386,11398
SA03_Infant_GreenTube,4,11936,11948
HH09_Infant_TwistyGlasses,4,12396,12408
CN14_Adult_StickyBall,4,12885,12897
OH29_Adult_MassageRoller,4,13465,13477
SF28_Infant_OballStacker,4,14106,14118
SA03_Infant_GreenTube,5,14898,14910
AL38_Adult_Slinky,5,15446,15458
CN14_Adult_StickyBall,5,15934,15946
HH09_Infant_TwistyGlasses,5,16393,16405
SF28_Infant_OballStacker,5,17032,17044
OH29_Adult_MassageRoller,5,17613,17625
AL38_Adult_Slinky,6,18403,18415
SA03_Infant_GreenTube,6,18954,18966
HH09_Infant_TwistyGlasses,6,19415,19427
CN14_Adult_StickyBall,6,19905,19917
OH29_Adult_MassageRoller,6,20487,20499
SF28_Infant_OballStacker,6,21126,21138
