vid,block,pi_frame_number,est_flash
SF28_Adult_OballStacker,1,907,919
CN14_Infant_StickyBall,1,1395,1407
OH29_Infant_MassageRoller,1,1975,1987
SA03_Adult_GreenTube,1,2525,2537
HH09_Adult_TwistyGlasses,1,2984,2996
AL38_Infant_Slinky,1,3533,3545
CN14_Infant_StickyBall,2,4262,4274
SF28_Adult_OballStacker,2,4902,4914
SA03_Adult_GreenTube,2,5452,5464
OH29_Infant_MassageRoller,2,6031,6043
AL38_Infant_Slinky,2,6581,6593
HH09_Adult_TwistyGlasses,2,7039,7051
SF28_Adult_OballStacker,3,7920,7932
CN14_Infant_StickyBall,3,8408,8420
OH29_Infant_MassageRoller,3,8988,9000
SA03_Adult_GreenTube,3,9538,9550
HH09_Adult_TwistyGlasses,3,9996,10008
AL38_Infant_Slinky,3,10546,10558
CN14_Infant_StickyBall,4,11277,11289
SF28_Adult_OballStacker,4,11917,11929
SA03_Adult_GreenTube,4,12471,12483
OH29_Infant_MassageRoller,4,13052,13064
AL38_Infant_Slinky,4,13602,13614
HH09_Adult_TwistyGlasses,4,14061,14073
SF28_Adult_OballStacker,5,14942,14954
CN14_Infant_StickyBall,5,15431,15443
OH29_Infant_MassageRoller,5,16012,16024
SA03_Adult_GreenTube,5,16563,16575
HH09_Adult_TwistyGlasses,5,17022,17034
AL38_Infant_Slinky,5,17572,17584
CN14_Infant_StickyBall,6,18302,18314
SF28_Adult_OballStacker,6,18944,18956
SA03_Adult_GreenTube,6,19494,19506
OH29_Infant_MassageRoller,6,20074,20086
AL38_Infant_Slinky,6,20623,20635
HH09_Adult_TwistyGlasses,6,21082,21094
